   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_119.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00249436, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00537851, 0, 1.85425e-18, 0, 1.41421, -1.85425e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2644e-21, 0, 0, 5.00748e-23, 9.40128e-21, 0, 1.83654e-18, 0, 0
0.0132514, 0, 3.47803e-18, 0, 1.41421, -3.47803e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55001e-20, 0, 0, 9.53297e-23, 1.79579e-20, 0, 3.44447e-18, 0, 0
0.0211243, 0, 6.47203e-18, 0, 1.41421, -6.47203e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88403e-20, 0, 0, 1.80073e-22, 3.4037e-20, 0, 6.40897e-18, 0, 0
0.0289971, 0, 1.19501e-17, 0, 1.41421, -1.19501e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3246e-20, 0, 0, 3.37571e-22, 6.40286e-20, 0, 1.18325e-17, 0, 0
0.03687, 0, 2.18974e-17, 0, 1.41421, -2.18974e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75582e-20, 0, 0, 6.28128e-22, 1.19566e-19, 0, 2.16796e-17, 0, 0
0.0447429, 0, 3.98264e-17, 0, 1.41421, -3.98264e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77417e-19, 0, 0, 1.16029e-21, 2.21683e-19, 0, 3.94261e-17, 0, 0
0.0526158, 0, 7.19062e-17, 0, 1.41421, -7.19062e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2029e-19, 0, 0, 2.12808e-21, 4.08155e-19, 0, 7.11756e-17, 0, 0
0.0604886, 0, 1.28894e-16, 0, 1.41421, -1.28894e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74061e-19, 0, 0, 3.87584e-21, 7.46366e-19, 0, 1.27569e-16, 0, 0
0.0683615, 0, 2.29413e-16, 0, 1.41421, -2.29413e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02163e-18, 0, 0, 7.01064e-21, 1.35575e-18, 0, 2.27029e-16, 0, 0
0.0762344, 0, 4.05483e-16, 0, 1.41421, -4.05483e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80548e-18, 0, 0, 1.25954e-20, 2.44665e-18, 0, 4.01218e-16, 0, 0
0.0841073, 0, 7.11763e-16, 0, 1.41421, -7.11763e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16882e-18, 0, 0, 2.24788e-20, 4.38713e-18, 0, 7.04184e-16, 0, 0
0.0919802, 0, 1.24094e-15, 0, 1.41421, -1.24094e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52398e-18, 0, 0, 3.98556e-20, 7.81743e-18, 0, 1.22756e-15, 0, 0
0.099853, 0, 2.14906e-15, 0, 1.41421, -2.14906e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.56508e-18, 0, 0, 7.02097e-20, 1.38443e-17, 0, 2.12558e-15, 0, 0
0.107726, 0, 3.69714e-15, 0, 1.41421, -3.69714e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64528e-17, 0, 0, 1.22895e-19, 2.43696e-17, 0, 3.6562e-15, 0, 0
0.115599, 0, 6.31881e-15, 0, 1.41421, -6.31881e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81152e-17, 0, 0, 2.13766e-19, 4.26424e-17, 0, 6.24784e-15, 0, 0
0.123472, 0, 1.07296e-14, 0, 1.41421, -1.07296e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77328e-17, 0, 0, 3.69533e-19, 7.41816e-17, 0, 1.06073e-14, 0, 0
0.131345, 0, 1.81024e-14, 0, 1.41421, -1.81024e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05182e-17, 0, 0, 6.34906e-19, 1.28307e-16, 0, 1.7893e-14, 0, 0
0.139217, 0, 3.03473e-14, 0, 1.41421, -3.03473e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34958e-16, 0, 0, 1.08428e-18, 2.2067e-16, 0, 2.99905e-14, 0, 0
0.14709, 0, 5.05539e-14, 0, 1.41421, -5.05539e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24776e-16, 0, 0, 1.84072e-18, 3.77408e-16, 0, 4.99499e-14, 0, 0
