   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_120.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00210244, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0057699, 0, 6.02718e-19, 0, 1.41421, -6.02718e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04784e-21, 0, 1.28135e-23, 3.68822e-21, 0, 5.95969e-19, 0, 0
0.0136422, 0, 1.16869e-18, 0, 1.41421, -1.16869e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90918e-21, 0, 2.5216e-23, 7.2814e-21, 0, 1.15547e-18, 0, 0
0.0215146, 0, 2.24595e-18, 0, 1.41421, -2.24595e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13548e-20, 0, 4.91889e-23, 1.42484e-20, 0, 2.2203e-18, 0, 0
0.0293869, 0, 4.27879e-18, 0, 1.41421, -4.27879e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16297e-20, 0, 9.51365e-23, 2.76436e-20, 0, 4.22943e-18, 0, 0
0.0372593, 0, 8.08268e-18, 0, 1.41421, -8.08268e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08537e-20, 0, 1.82478e-22, 5.31875e-20, 0, 7.98846e-18, 0, 0
0.0451316, 0, 1.51422e-17, 0, 1.41421, -1.51422e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.65263e-20, 0, 3.47177e-22, 1.01512e-19, 0, 1.49638e-17, 0, 0
0.0530039, 0, 2.81384e-17, 0, 1.41421, -2.81384e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42189e-19, 0, 6.55309e-22, 1.92226e-19, 0, 2.78033e-17, 0, 0
0.0608763, 0, 5.18748e-17, 0, 1.41421, -5.18748e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62098e-19, 0, 1.22736e-21, 3.61228e-19, 0, 5.12503e-17, 0, 0
0.0687486, 0, 9.48917e-17, 0, 1.41421, -9.48917e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79376e-19, 0, 2.28141e-21, 6.73765e-19, 0, 9.37363e-17, 0, 0
0.0766209, 0, 1.72256e-16, 0, 1.41421, -1.72256e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7008e-19, 0, 4.20918e-21, 1.24759e-18, 0, 1.70134e-16, 0, 0
0.0844933, 0, 3.10348e-16, 0, 1.41421, -3.10348e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56736e-18, 0, 7.70936e-21, 2.29371e-18, 0, 3.06479e-16, 0, 0
0.0923656, 0, 5.55015e-16, 0, 1.41421, -5.55015e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80257e-18, 0, 1.40191e-20, 4.18774e-18, 0, 5.48011e-16, 0, 0
0.100238, 0, 9.85347e-16, 0, 1.41421, -9.85347e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97474e-18, 0, 2.53136e-20, 7.59377e-18, 0, 9.72753e-16, 0, 0
0.10811, 0, 1.73678e-15, 0, 1.41421, -1.73678e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.767e-18, 0, 4.53906e-20, 1.36783e-17, 0, 1.71429e-15, 0, 0
0.115983, 0, 3.03957e-15, 0, 1.41421, -3.03957e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53405e-17, 0, 8.08357e-20, 2.44769e-17, 0, 2.99967e-15, 0, 0
0.123855, 0, 5.28237e-15, 0, 1.41421, -5.28237e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66548e-17, 0, 1.4299e-19, 4.35198e-17, 0, 5.21206e-15, 0, 0
0.131727, 0, 9.11657e-15, 0, 1.41421, -9.11657e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5993e-17, 0, 2.51255e-19, 7.68905e-17, 0, 8.99343e-15, 0, 0
0.1396, 0, 1.5626e-14, 0, 1.41421, -1.5626e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.88163e-17, 0, 4.38605e-19, 1.35008e-16, 0, 1.54117e-14, 0, 0
0.147472, 0, 2.66016e-14, 0, 1.41421, -2.66016e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34148e-16, 0, 7.60723e-19, 2.35611e-16, 0, 2.62311e-14, 0, 0
0.155344, 0, 4.49823e-14, 0, 1.41421, -4.49823e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26786e-16, 0, 1.31101e-18, 4.08717e-16, 0, 4.43455e-14, 0, 0
0.163217, 0, 7.55565e-14, 0, 1.41421, -7.55565e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8084e-16, 0, 2.24518e-18, 7.04823e-16, 0, 7.44686e-14, 0, 0
0.171089, 0, 1.26073e-13, 0, 1.41421, -1.26073e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35307e-16, 0, 3.8212e-18, 1.20839e-15, 0, 1.24226e-13, 0, 0
0.178961, 0, 2.08986e-13, 0, 1.41421, -2.08986e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05284e-15, 0, 6.46382e-18, 2.05989e-15, 0, 2.05867e-13, 0, 0
0.186834, 0, 3.4417e-13, 0, 1.41421, -3.4417e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73339e-15, 0, 1.08682e-17, 3.49163e-15, 0, 3.38934e-13, 0, 0
0.194706, 0, 5.6313e-13, 0, 1.41421, -5.6313e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83535e-15, 0, 1.81657e-17, 5.88603e-15, 0, 5.5439e-13, 0, 0
0.202578, 0, 9.15472e-13, 0, 1.41421, -9.15472e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60798e-15, 0, 3.01865e-17, 9.86851e-15, 0, 9.00965e-13, 0, 0
0.210451, 0, 1.47876e-12, 0, 1.41421, -1.47876e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44088e-15, 0, 4.98761e-17, 1.64571e-14, 0, 1.45481e-12, 0, 0
0.218323, 0, 2.37345e-12, 0, 1.41421, -2.37345e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19389e-14, 0, 8.19489e-17, 2.73006e-14, 0, 2.33412e-12, 0, 0
0.226195, 0, 3.78537e-12, 0, 1.41421, -3.78537e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90346e-14, 0, 1.33918e-16, 4.50558e-14, 0, 3.72115e-12, 0, 0
0.234068, 0, 5.99925e-12, 0, 1.41421, -5.99925e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01564e-14, 0, 2.17692e-16, 7.39833e-14, 0, 5.8949e-12, 0, 0
0.24194, 0, 9.44843e-12, 0, 1.41421, -9.44843e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7477e-14, 0, 3.52067e-16, 1.20885e-13, 0, 9.27972e-12, 0, 0
0.249812, 0, 1.4788e-11, 0, 1.41421, -1.4788e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.42799e-14, 0, 5.66597e-16, 1.96572e-13, 0, 1.45166e-11, 0, 0
0.257685, 0, 2.30018e-11, 0, 1.41421, -2.30018e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15493e-13, 0, 9.07577e-16, 3.18153e-13, 0, 2.25672e-11, 0, 0
0.265557, 0, 3.55571e-11, 0, 1.41421, -3.55571e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78465e-13, 0, 1.4473e-15, 5.12602e-13, 0, 3.48646e-11, 0, 0
0.273429, 0, 5.46283e-11, 0, 1.41421, -5.46283e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74078e-13, 0, 2.29834e-15, 8.22281e-13, 0, 5.35296e-11, 0, 0
0.281302, 0, 8.3416e-11, 1.26117e-44, 1.41421, -8.3416e-11, 1.26117e-44, 0, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 1.26117e-44, 4.18345e-13, 1.26117e-44, 3.63565e-15, 1.3135e-12, 1.26117e-44, 8.16805e-11, 1.26117e-44, 1.26117e-44
