   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_139.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.00246651, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00541125, 0, 4.20889e-19, 0, 1.41421, -4.20889e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32755e-21, 0, 0, 6.5328e-24, 6.44892e-21, 0, 4.12106e-19, 0, 0
0.013289, 0, 8.29606e-19, 0, 1.41421, -8.29606e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5865e-21, 0, 0, 1.30691e-23, 1.29412e-20, 0, 8.12065e-19, 0, 0
0.0211668, 0, 1.61971e-18, 0, 1.41421, -1.61971e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.952e-21, 0, 0, 2.59012e-23, 2.57248e-20, 0, 1.585e-18, 0, 0
0.0290445, 0, 3.13315e-18, 0, 1.41421, -3.13315e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73116e-20, 0, 0, 5.08682e-23, 5.06717e-20, 0, 3.06511e-18, 0, 0
0.0369223, 0, 6.00645e-18, 0, 1.41421, -6.00645e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31774e-20, 0, 0, 9.90235e-23, 9.89331e-20, 0, 5.87424e-18, 0, 0
0.0448, 0, 1.14142e-17, 0, 1.41421, -1.14142e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30278e-20, 0, 0, 1.91115e-22, 1.91512e-19, 0, 1.11594e-17, 0, 0
0.0526778, 0, 2.15055e-17, 0, 1.41421, -2.15055e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18713e-19, 0, 0, 3.65773e-22, 3.67651e-19, 0, 2.10188e-17, 0, 0
0.0605556, 0, 4.01807e-17, 0, 1.41421, -4.01807e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21728e-19, 0, 0, 6.94341e-22, 7.00103e-19, 0, 3.92582e-17, 0, 0
0.0684333, 0, 7.44596e-17, 0, 1.41421, -7.44596e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10746e-19, 0, 0, 1.30754e-21, 1.32271e-18, 0, 7.27249e-17, 0, 0
0.0763111, 0, 1.36877e-16, 0, 1.41421, -1.36877e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5479e-19, 0, 0, 2.44307e-21, 2.47987e-18, 0, 1.3364e-16, 0, 0
0.0841888, 0, 2.49636e-16, 0, 1.41421, -2.49636e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37607e-18, 0, 0, 4.52976e-21, 4.61461e-18, 0, 2.43641e-16, 0, 0
0.0920666, 0, 4.51765e-16, 0, 1.41421, -4.51765e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48929e-18, 0, 0, 8.33564e-21, 8.52426e-18, 0, 4.40743e-16, 0, 0
0.0999444, 0, 8.11326e-16, 0, 1.41421, -8.11326e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46869e-18, 0, 0, 1.52258e-20, 1.56337e-17, 0, 7.91208e-16, 0, 0
0.107822, 0, 1.44613e-15, 0, 1.41421, -1.44613e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9617e-18, 0, 0, 2.76093e-20, 2.84718e-17, 0, 1.40967e-15, 0, 0
0.1157, 0, 2.55855e-15, 0, 1.41421, -2.55855e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40799e-17, 0, 0, 4.97063e-20, 5.14968e-17, 0, 2.49292e-15, 0, 0
0.123578, 0, 4.49362e-15, 0, 1.41421, -4.49362e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4717e-17, 0, 0, 8.88575e-20, 9.25149e-17, 0, 4.3763e-15, 0, 0
0.131455, 0, 7.83528e-15, 0, 1.41421, -7.83528e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30763e-17, 0, 0, 1.57742e-19, 1.65107e-16, 0, 7.62693e-15, 0, 0
0.139333, 0, 1.35645e-14, 0, 1.41421, -1.35645e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.45351e-17, 0, 0, 2.78105e-19, 2.92748e-16, 0, 1.31969e-14, 0, 0
0.147211, 0, 2.33173e-14, 0, 1.41421, -2.33173e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28055e-16, 0, 0, 4.87003e-19, 5.15756e-16, 0, 2.2673e-14, 0, 0
0.155089, 0, 3.98023e-14, 0, 1.41421, -3.98023e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18462e-16, 0, 0, 8.47142e-19, 9.02953e-16, 0, 3.86801e-14, 0, 0
0.162966, 0, 6.74721e-14, 0, 1.41421, -6.74721e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70106e-16, 0, 0, 1.46393e-18, 1.57108e-15, 0, 6.55295e-14, 0, 0
0.170844, 0, 1.13831e-13, 0, 1.41421, -1.13831e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23965e-16, 0, 0, 2.52247e-18, 2.72911e-15, 0, 1.10476e-13, 0, 0
0.178722, 0, 1.90289e-13, 0, 1.41421, -1.90289e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04236e-15, 0, 0, 4.30173e-18, 4.6896e-15, 0, 1.84552e-13, 0, 0
0.1866, 0, 3.15965e-13, 0, 1.41421, -3.15965e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72954e-15, 0, 0, 7.29023e-18, 8.01133e-15, 0, 3.06217e-13, 0, 0
0.194477, 0, 5.21149e-13, 0, 1.41421, -5.21149e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85052e-15, 0, 0, 1.22789e-17, 1.36078e-14, 0, 5.04678e-13, 0, 0
0.202355, 0, 8.53888e-13, 0, 1.41421, -8.53888e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66674e-15, 0, 0, 2.05564e-17, 2.29833e-14, 0, 8.26217e-13, 0, 0
0.210233, 0, 1.38987e-12, 0, 1.41421, -1.38987e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58959e-15, 0, 0, 3.42097e-17, 3.86028e-14, 0, 1.34365e-12, 0, 0
0.218111, 0, 2.24752e-12, 0, 1.41421, -2.24752e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22619e-14, 0, 0, 5.66007e-17, 6.44837e-14, 0, 2.17072e-12, 0, 0
0.225989, 0, 3.61081e-12, 0, 1.41421, -3.61081e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96808e-14, 0, 0, 9.31185e-17, 1.07139e-13, 0, 3.4839e-12, 0, 0
0.233866, 0, 5.7636e-12, 0, 1.41421, -5.7636e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13828e-14, 0, 0, 1.52353e-16, 1.77077e-13, 0, 5.55498e-12, 0, 0
0.241744, 0, 9.14089e-12, 0, 1.41421, -9.14089e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97187e-14, 0, 0, 2.47937e-16, 2.91168e-13, 0, 8.79976e-12, 0, 0
0.249622, 0, 1.44048e-11, 0, 1.41421, -1.44048e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.82606e-14, 0, 0, 4.01413e-16, 4.76368e-13, 0, 1.38498e-11, 0, 0
0.2575, 0, 2.25562e-11, 0, 1.41421, -2.25562e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22399e-13, 0, 0, 6.46691e-16, 7.75567e-13, 0, 2.16576e-11, 0, 0
0.265377, 0, 3.5098e-11, 0, 1.41421, -3.5098e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9021e-13, 0, 0, 1.03696e-15, 1.25671e-12, 0, 3.36501e-11, 0, 0
0.273255, 0, 5.4272e-11, 0, 1.41421, -5.4272e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93719e-13, 0, 0, 1.65538e-15, 2.02703e-12, 0, 5.19496e-11, 0, 0
0.281133, 0, 8.33995e-11, 1.12104e-44, 1.41421, -8.33995e-11, 1.12104e-44, 0, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 1.12104e-44, 4.50698e-13, 1.12104e-44, 1.12104e-44, 2.63172e-15, 3.2551e-12, 1.12104e-44, 7.96911e-11, 1.12104e-44, 1.12104e-44
0.289011, 0, 1.2737e-10, 2.25609e-43, 1.41421, -1.2737e-10, 2.25609e-43, 0, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 2.25609e-43, 6.87244e-13, 2.25609e-43, 2.25609e-43, 4.168e-15, 5.20512e-12, 2.25609e-43, 1.21473e-10, 2.25609e-43, 2.25609e-43
0.296888, 0, 1.93334e-10, 3.28184e-42, 1.41421, -1.93334e-10, 3.28184e-42, 0, 3.28184e-42, 3.28184e-42, 3.28184e-42, 3.28184e-42, 3.28184e-42, 3.28184e-42, 3.28184e-42, 3.28184e-42, 3.28184e-42, 1.04142e-12, 3.28184e-42, 3.28184e-42, 6.57829e-15, 8.28978e-12, 3.28184e-42, 1.83996e-10, 3.28184e-42, 3.28184e-42
0.304766, 0, 2.91681e-10, 4.38789e-41, 1.41421, -2.91681e-10, 4.38789e-41, 0, 4.38789e-41, 4.38789e-41, 4.38789e-41, 4.38789e-41, 4.38789e-41, 4.38789e-41, 4.38789e-41, 4.38789e-41, 4.38789e-41, 1.56836e-12, 4.38789e-41, 4.38789e-41, 1.03505e-14, 1.3152e-11, 4.38789e-41, 2.76951e-10, 4.38789e-41, 4.38789e-41
0.312644, 0, 4.37418e-10, 5.26916e-40, 1.41421, -4.37418e-10, 5.26916e-40, 0, 5.26916e-40, 5.26916e-40, 5.26916e-40, 5.26916e-40, 5.26916e-40, 5.26916e-40, 5.26916e-40, 5.26916e-40, 5.26916e-40, 2.34744e-12, 5.26916e-40, 5.26916e-40, 1.62422e-14, 2.0791e-11, 5.26916e-40, 4.14263e-10, 5.26916e-40, 5.26916e-40
0.320522, 0, 6.52076e-10, 5.70242e-39, 1.41421, -6.52076e-10, 5.70242e-39, 0, 5.70242e-39, 5.70242e-39, 5.70242e-39, 5.70242e-39, 5.70242e-39, 5.70242e-39, 5.70242e-39, 5.70242e-39, 5.70242e-39, 3.49212e-12, 5.70242e-39, 5.70242e-39, 2.543e-14, 3.27562e-11, 5.70242e-39, 6.15802e-10, 5.70242e-39, 5.70242e-39
0.328399, 0, 9.66375e-10, 5.58673e-38, 1.41421, -9.66375e-10, 5.58673e-38, 0, 5.58673e-38, 5.58673e-38, 5.58673e-38, 5.58673e-38, 5.58673e-38, 5.58673e-38, 5.58673e-38, 5.58673e-38, 5.58673e-38, 5.16358e-12, 5.58673e-38, 5.58673e-38, 3.97413e-14, 5.14456e-11, 5.58673e-38, 9.09726e-10, 5.58673e-38, 5.58673e-38
0.336277, 0, 1.42388e-09, 4.98056e-37, 1.41421, -1.42388e-09, 4.98056e-37, 0, 4.98056e-37, 4.98056e-37, 4.98056e-37, 4.98056e-37, 4.98056e-37, 4.98056e-37, 4.98056e-37, 4.98056e-37, 4.98056e-37, 7.58935e-12, 4.98056e-37, 4.98056e-37, 6.20173e-14, 8.05644e-11, 4.98056e-37, 1.33566e-09, 4.98056e-37, 4.98056e-37
0.344155, 0, 2.08602e-09, 4.06168e-36, 1.41421, -2.08602e-09, 4.06168e-36, 0, 4.06168e-36, 4.06168e-36, 4.06168e-36, 4.06168e-36, 4.06168e-36, 4.06168e-36, 4.06168e-36, 4.06168e-36, 4.06168e-36, 1.10886e-11, 4.06168e-36, 4.06168e-36, 9.66777e-14, 1.25829e-10, 4.06168e-36, 1.94901e-09, 4.06168e-36, 4.06168e-36
0.352033, 0, 3.03898e-09, 3.04496e-35, 1.41421, -3.03898e-09, 3.04496e-35, 0, 3.04496e-35, 3.04496e-35, 3.04496e-35, 3.04496e-35, 3.04496e-35, 3.04496e-35, 3.04496e-35, 3.04496e-35, 3.04496e-35, 1.61061e-11, 3.04496e-35, 3.04496e-35, 1.50604e-13, 1.9605e-10, 3.04496e-35, 2.82668e-09, 3.04496e-35, 3.04496e-35
0.35991, 0, 4.40299e-09, 2.1054e-34, 1.41421, -4.40299e-09, 2.1054e-34, 0, 2.1054e-34, 2.1054e-34, 2.1054e-34, 2.1054e-34, 2.1054e-34, 2.1054e-34, 2.1054e-34, 2.1054e-34, 2.1054e-34, 2.32583e-11, 2.1054e-34, 2.1054e-34, 2.34517e-13, 3.04779e-10, 2.1054e-34, 4.07472e-09, 2.1054e-34, 2.1054e-34
0.367788, 0, 6.34502e-09, 1.44115e-33, 1.41421, -6.34502e-09, 1.44115e-33, 0, 1.44115e-33, 1.44115e-33, 1.44115e-33, 1.44115e-33, 1.44115e-33, 1.44115e-33, 1.44115e-33, 1.44115e-33, 1.44115e-33, 3.33941e-11, 1.44115e-33, 1.44115e-33, 3.65126e-13, 4.7285e-10, 1.44115e-33, 5.83841e-09, 1.44115e-33, 1.44115e-33
0.375666, 0, 9.09587e-09, 9.43827e-33, 1.41421, -9.09587e-09, 9.43827e-33, 0, 9.43827e-33, 9.43827e-33, 9.43827e-33, 9.43827e-33, 9.43827e-33, 9.43827e-33, 9.43827e-33, 9.43827e-33, 9.43827e-33, 4.76759e-11, 9.43827e-33, 9.43827e-33, 5.68466e-13, 7.3223e-10, 9.43827e-33, 8.31539e-09, 9.43827e-33, 9.43827e-33
0.383544, 0, 1.29733e-08, 5.79344e-32, 1.41421, -1.29733e-08, 5.79344e-32, 0, 5.79344e-32, 5.79344e-32, 5.79344e-32, 5.79344e-32, 5.79344e-32, 5.79344e-32, 5.79344e-32, 5.79344e-32, 5.79344e-32, 6.76866e-11, 5.79344e-32, 5.79344e-32, 8.85102e-13, 1.1319e-09, 5.79344e-32, 1.17728e-08, 5.79344e-32, 5.79344e-32
0.391421, 0, 1.8413e-08, 3.32228e-31, 1.41421, -1.8413e-08, 3.32228e-31, 0, 3.32228e-31, 3.32228e-31, 3.32228e-31, 3.32228e-31, 3.32228e-31, 3.32228e-31, 3.32228e-31, 3.32228e-31, 3.32228e-31, 9.55688e-11, 3.32228e-31, 3.32228e-31, 1.37815e-12, 1.74677e-09, 3.32228e-31, 1.65692e-08, 3.32228e-31, 3.32228e-31
0.399299, 0, 2.60105e-08, 1.78288e-30, 1.41421, -2.60105e-08, 1.78288e-30, 0, 1.78288e-30, 1.78288e-30, 1.78288e-30, 1.78288e-30, 1.78288e-30, 1.78288e-30, 1.78288e-30, 1.78288e-30, 1.78288e-30, 1.34209e-10, 1.78288e-30, 1.78288e-30, 2.14566e-12, 2.69114e-09, 1.78288e-30, 2.3183e-08, 1.78288e-30, 1.78288e-30
0.407177, 0, 3.65778e-08, 8.97956e-30, 1.41421, -3.65778e-08, 8.97956e-30, 0, 8.97956e-30, 8.97956e-30, 8.97956e-30, 8.97956e-30, 8.97956e-30, 8.97956e-30, 8.97956e-30, 8.97956e-30, 8.97956e-30, 1.87472e-10, 8.97956e-30, 8.97956e-30, 3.33966e-12, 4.13898e-09, 8.97956e-30, 3.2248e-08, 8.97956e-30, 8.97956e-30
0.415055, 0, 5.12184e-08, 4.25808e-29, 1.41421, -5.12184e-08, 4.25808e-29, 0, 4.25808e-29, 4.25808e-29, 4.25808e-29, 4.25808e-29, 4.25808e-29, 4.25808e-29, 4.25808e-29, 4.25808e-29, 4.25808e-29, 2.60512e-10, 4.25808e-29, 4.25808e-29, 5.1951e-12, 6.35423e-09, 4.25808e-29, 4.45985e-08, 4.25808e-29, 4.25808e-29
0.422933, 0, 7.14301e-08, 1.90704e-28, 1.41421, -7.14301e-08, 1.90704e-28, 0, 1.90704e-28, 1.90704e-28, 1.90704e-28, 1.90704e-28, 1.90704e-28, 1.90704e-28, 1.90704e-28, 1.90704e-28, 1.90704e-28, 3.60162e-10, 1.90704e-28, 1.90704e-28, 8.07396e-12, 9.73591e-09, 1.90704e-28, 6.1326e-08, 1.90704e-28, 1.90704e-28
