   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_191.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00361989, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00425516, 0, 2.32707e-18, 0, 1.41421, -2.32707e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26767e-21, 0, 0, 8.3977e-23, 0, 1.82166e-21, 0, 2.31989e-18, 0, 0, 0
0.0121302, 0, 4.66597e-18, 0, 1.41421, -4.66597e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0562e-20, 0, 0, 1.70771e-22, 0, 3.72244e-21, 0, 4.65151e-18, 0, 0, 0
0.0200053, 0, 9.26275e-18, 0, 1.41421, -9.26275e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0967e-20, 0, 0, 3.43882e-22, 0, 7.53084e-21, 0, 9.23391e-18, 0, 0, 0
0.0278803, 0, 1.82109e-17, 0, 1.41421, -1.82109e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12212e-20, 0, 0, 6.85922e-22, 0, 1.50893e-20, 0, 1.81539e-17, 0, 0, 0
0.0357554, 0, 3.54678e-17, 0, 1.41421, -3.54678e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.02816e-20, 0, 0, 1.35561e-21, 0, 2.99532e-20, 0, 3.53562e-17, 0, 0, 0
0.0436304, 0, 6.84462e-17, 0, 1.41421, -6.84462e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54926e-19, 0, 0, 2.65516e-21, 0, 5.89242e-20, 0, 6.82297e-17, 0, 0, 0
0.0515055, 0, 1.30911e-16, 0, 1.41421, -1.30911e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96307e-19, 0, 0, 5.15525e-21, 0, 1.14905e-19, 0, 1.30495e-16, 0, 0, 0
0.0593805, 0, 2.48199e-16, 0, 1.41421, -2.48199e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6177e-19, 0, 0, 9.92429e-21, 0, 2.22168e-19, 0, 2.47405e-16, 0, 0, 0
0.0672556, 0, 4.66554e-16, 0, 1.41421, -4.66554e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05597e-18, 0, 0, 1.89463e-20, 0, 4.26017e-19, 0, 4.65053e-16, 0, 0, 0
