   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_223.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00235969, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00550911, 0, 1.46732e-18, 0, 1.41421, -1.46732e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9031e-21, 0, 0, 2.16256e-23, 0, 9.62198e-23, 0, 1.4643e-18, 0, 0, 0
0.0133779, 0, 2.98339e-18, 0, 1.41421, -2.98339e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90263e-21, 0, 0, 4.45969e-23, 0, 1.99235e-22, 0, 2.97724e-18, 0, 0, 0
0.0212467, 0, 6.00299e-18, 0, 1.41421, -6.00299e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18769e-20, 0, 0, 9.10307e-23, 0, 4.08241e-22, 0, 5.99061e-18, 0, 0, 0
0.0291155, 0, 1.19574e-17, 0, 1.41421, -1.19574e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36576e-20, 0, 0, 1.83975e-22, 0, 8.2809e-22, 0, 1.19327e-17, 0, 0, 0
0.0369843, 0, 2.35856e-17, 0, 1.41421, -2.35856e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66639e-20, 0, 0, 3.68261e-22, 0, 1.66344e-21, 0, 2.35369e-17, 0, 0, 0
0.0448531, 0, 4.60797e-17, 0, 1.41421, -4.60797e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11682e-20, 0, 0, 7.3028e-22, 0, 3.31006e-21, 0, 4.59845e-17, 0, 0, 0
0.0527219, 0, 8.91934e-17, 0, 1.41421, -8.91934e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76468e-19, 0, 0, 1.43507e-21, 0, 6.52673e-21, 0, 8.9009e-17, 0, 0, 0
0.0605907, 0, 1.71085e-16, 0, 1.41421, -1.71085e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38489e-19, 0, 0, 2.79516e-21, 0, 1.27557e-20, 0, 1.70731e-16, 0, 0, 0
0.0684595, 0, 3.25261e-16, 0, 1.41421, -3.25261e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.43522e-19, 0, 0, 5.3973e-21, 0, 2.47152e-20, 0, 3.24587e-16, 0, 0, 0
