   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_235.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.0442197, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0361627, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0281058, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0200488, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0119918, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0039348, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00412217, 0, 8.07958e-24, 0, 1.41421, -8.07958e-24, 0, 0, 0, 0, 0, 0, 0, 0, 2.84289e-26, 0, 0, 1.66369e-29, 4.58337e-28, 0, 8.05068e-24, 0, 0
0.0121792, 0, 2.36293e-23, 0, 1.41421, -2.36293e-23, 0, 0, 0, 0, 0, 0, 0, 0, 8.31422e-26, 0, 0, 4.90746e-29, 1.39587e-27, 0, 2.35447e-23, 0, 0
0.0202361, 0, 6.69331e-23, 0, 1.41421, -6.69331e-23, 0, 0, 0, 0, 0, 0, 0, 0, 2.35511e-25, 0, 0, 1.40239e-28, 4.09741e-27, 0, 6.66934e-23, 0, 0
0.0282931, 0, 1.84319e-22, 0, 1.41421, -1.84319e-22, 0, 0, 0, 0, 0, 0, 0, 0, 6.48544e-25, 0, 0, 3.89678e-28, 1.16495e-26, 0, 1.83659e-22, 0, 0
0.0363501, 0, 4.9487e-22, 0, 1.41421, -4.9487e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.74124e-24, 0, 0, 1.05586e-27, 3.21995e-26, 0, 4.93095e-22, 0, 0
0.0444071, 0, 1.2984e-21, 0, 1.41421, -1.2984e-21, 0, 0, 0, 0, 0, 0, 0, 0, 4.56854e-24, 0, 0, 2.79624e-27, 8.67754e-26, 0, 1.29375e-21, 0, 0
0.0524641, 0, 3.33537e-21, 0, 1.41421, -3.33537e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.17357e-23, 0, 0, 7.25152e-27, 2.28536e-25, 0, 3.32339e-21, 0, 0
0.0605211, 0, 8.40185e-21, 0, 1.41421, -8.40185e-21, 0, 0, 0, 0, 0, 0, 0, 0, 2.95624e-23, 0, 0, 1.84441e-26, 5.89326e-25, 0, 8.37168e-21, 0, 0
0.068578, 0, 2.07814e-20, 0, 1.41421, -2.07814e-20, 0, 0, 0, 0, 0, 0, 0, 0, 7.31204e-23, 0, 0, 4.60712e-26, 1.49034e-24, 0, 2.07067e-20, 0, 0
0.076635, 0, 5.05277e-20, 0, 1.41421, -5.05277e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.77784e-22, 0, 0, 1.13146e-25, 3.70105e-24, 0, 5.03461e-20, 0, 0
0.084692, 0, 1.20882e-19, 0, 1.41421, -1.20882e-19, 0, 0, 0, 0, 0, 0, 0, 0, 4.25328e-22, 0, 0, 2.73469e-25, 9.0358e-24, 0, 1.20447e-19, 0, 0
0.092749, 0, 2.84793e-19, 0, 1.41421, -2.84793e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.00206e-21, 0, 0, 6.51035e-25, 2.17088e-23, 0, 2.83769e-19, 0, 0
0.100806, 0, 6.61232e-19, 0, 1.41421, -6.61232e-19, 0, 0, 0, 0, 0, 0, 0, 0, 2.32657e-21, 0, 0, 1.52773e-24, 5.1369e-23, 0, 6.58853e-19, 0, 0
0.108863, 0, 1.51394e-18, 0, 1.41421, -1.51394e-18, 0, 0, 0, 0, 0, 0, 0, 0, 5.32686e-21, 0, 0, 3.53605e-24, 1.19808e-22, 0, 1.50849e-18, 0, 0
0.11692, 0, 3.42013e-18, 0, 1.41421, -3.42013e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.20338e-20, 0, 0, 8.07731e-24, 2.75594e-22, 0, 3.40781e-18, 0, 0
0.124977, 0, 7.62727e-18, 0, 1.41421, -7.62727e-18, 0, 0, 0, 0, 0, 0, 0, 0, 2.68367e-20, 0, 0, 1.82186e-23, 6.2562e-22, 0, 7.59979e-18, 0, 0
0.133034, 0, 1.67989e-17, 0, 1.41421, -1.67989e-17, 0, 0, 0, 0, 0, 0, 0, 0, 5.91073e-20, 0, 0, 4.05936e-23, 1.40226e-21, 0, 1.67384e-17, 0, 0
0.141091, 0, 3.65551e-17, 0, 1.41421, -3.65551e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.2862e-19, 0, 0, 8.93868e-23, 3.10472e-21, 0, 3.64233e-17, 0, 0
0.149148, 0, 7.86189e-17, 0, 1.41421, -7.86189e-17, 0, 0, 0, 0, 0, 0, 0, 0, 2.76621e-19, 0, 0, 1.9459e-22, 6.79319e-21, 0, 7.83353e-17, 0, 0
0.157205, 0, 1.67166e-16, 0, 1.41421, -1.67166e-16, 0, 0, 0, 0, 0, 0, 0, 0, 5.88175e-19, 0, 0, 4.1893e-22, 1.4694e-20, 0, 1.66563e-16, 0, 0
0.165262, 0, 3.51512e-16, 0, 1.41421, -3.51512e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.23679e-18, 0, 0, 8.92205e-22, 3.1432e-20, 0, 3.50243e-16, 0, 0
0.173319, 0, 7.31155e-16, 0, 1.41421, -7.31155e-16, 0, 0, 0, 0, 0, 0, 0, 0, 2.57256e-18, 0, 0, 1.88021e-21, 6.65117e-20, 0, 7.28514e-16, 0, 0
0.181376, 0, 1.50472e-15, 0, 1.41421, -1.50472e-15, 0, 0, 0, 0, 0, 0, 0, 0, 5.29433e-18, 0, 0, 3.92169e-21, 1.39264e-19, 0, 1.49928e-15, 0, 0
0.189433, 0, 3.06457e-15, 0, 1.41421, -3.06457e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.07826e-17, 0, 0, 8.09769e-21, 2.88607e-19, 0, 3.05349e-15, 0, 0
0.19749, 0, 6.17775e-15, 0, 1.41421, -6.17775e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.17362e-17, 0, 0, 1.65561e-20, 5.92109e-19, 0, 6.15541e-15, 0, 0
0.205547, 0, 1.23285e-14, 0, 1.41421, -1.23285e-14, 0, 0, 0, 0, 0, 0, 0, 0, 4.33774e-17, 0, 0, 3.35229e-20, 1.20286e-18, 0, 1.22839e-14, 0, 0
0.213604, 0, 2.436e-14, 0, 1.41421, -2.436e-14, 0, 0, 0, 0, 0, 0, 0, 0, 8.57092e-17, 0, 0, 6.72339e-20, 2.42013e-18, 0, 2.42718e-14, 0, 0
0.221661, 0, 4.7664e-14, 0, 1.41421, -4.7664e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.67702e-16, 0, 0, 1.33587e-19, 4.82335e-18, 0, 4.74913e-14, 0, 0
0.229718, 0, 9.23631e-14, 0, 1.41421, -9.23631e-14, 0, 0, 0, 0, 0, 0, 0, 0, 3.24971e-16, 0, 0, 2.62984e-19, 9.52399e-18, 0, 9.20283e-14, 0, 0
0.237775, 0, 1.77277e-13, 0, 1.41421, -1.77277e-13, 0, 0, 0, 0, 0, 0, 0, 0, 6.23731e-16, 0, 0, 5.13053e-19, 1.86347e-17, 0, 1.76634e-13, 0, 0
0.245832, 0, 3.37051e-13, 0, 1.41421, -3.37051e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.18588e-15, 0, 0, 9.92024e-19, 3.61349e-17, 0, 3.35828e-13, 0, 0
0.253889, 0, 6.34842e-13, 0, 1.41421, -6.34842e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.23361e-15, 0, 0, 1.90137e-18, 6.94532e-17, 0, 6.32537e-13, 0, 0
0.261946, 0, 1.18467e-12, 0, 1.41421, -1.18467e-12, 0, 0, 0, 0, 0, 0, 0, 0, 4.16812e-15, 0, 0, 3.61291e-18, 1.32337e-16, 0, 1.18037e-12, 0, 0
0.270003, 0, 2.19039e-12, 0, 1.41421, -2.19039e-12, 0, 0, 0, 0, 0, 0, 0, 0, 7.70668e-15, 0, 0, 6.80702e-18, 2.50008e-16, 0, 2.18243e-12, 0, 0
0.27806, 0, 4.01299e-12, 0, 1.41421, -4.01299e-12, 0, 0, 0, 0, 0, 0, 0, 0, 1.41194e-14, 0, 0, 1.27184e-17, 4.68348e-16, 0, 3.99839e-12, 0, 0
0.286117, 0, 7.28549e-12, 0, 1.41421, -7.28549e-12, 0, 0, 0, 0, 0, 0, 0, 0, 2.5634e-14, 0, 0, 2.35697e-17, 8.70164e-16, 0, 7.25897e-12, 0, 0
0.294174, 0, 1.31075e-11, 0, 1.41421, -1.31075e-11, 0, 0, 0, 0, 0, 0, 0, 0, 4.61199e-14, 0, 0, 4.33319e-17, 1.60366e-15, 0, 1.30597e-11, 0, 0
0.302231, 0, 2.33706e-11, 0, 1.41421, -2.33706e-11, 0, 0, 0, 0, 0, 0, 0, 0, 8.2235e-14, 0, 0, 7.90463e-17, 2.93203e-15, 0, 2.32853e-11, 0, 0
0.310287, 0, 4.12977e-11, 0, 1.41421, -4.12977e-11, 0, 0, 0, 0, 0, 0, 0, 0, 1.45325e-13, 0, 0, 1.43113e-16, 5.31916e-15, 0, 4.11469e-11, 0, 0
0.318344, 0, 7.2328e-11, 0, 1.41421, -7.2328e-11, 0, 0, 0, 0, 0, 0, 0, 0, 2.54541e-13, 0, 0, 2.57226e-16, 9.5767e-15, 0, 7.20636e-11, 0, 0
0.326401, 0, 1.25553e-10, 0, 1.41421, -1.25553e-10, 0, 0, 0, 0, 0, 0, 0, 0, 4.41905e-13, 0, 0, 4.59125e-16, 1.71152e-14, 0, 1.25094e-10, 0, 0
0.334458, 0, 2.16025e-10, 8.88423e-43, 1.41421, -2.16025e-10, 8.88423e-43, 0, 8.88423e-43, 8.88423e-43, 8.88423e-43, 8.88423e-43, 8.88423e-43, 8.88423e-43, 7.60455e-13, 8.88423e-43, 8.88423e-43, 8.14099e-16, 3.03701e-14, 8.88423e-43, 2.15233e-10, 8.88423e-43, 8.88423e-43
0.342515, 0, 3.68424e-10, 1.58431e-41, 1.41421, -3.68424e-10, 1.58431e-41, 0, 1.58431e-41, 1.58431e-41, 1.58431e-41, 1.58431e-41, 1.58431e-41, 1.58431e-41, 1.2972e-12, 1.58431e-41, 1.58431e-41, 1.43458e-15, 5.35213e-14, 1.58431e-41, 3.67072e-10, 1.58431e-41, 1.58431e-41
0.350572, 0, 6.22836e-10, 2.36078e-40, 1.41421, -6.22836e-10, 2.36078e-40, 0, 2.36078e-40, 2.36078e-40, 2.36078e-40, 2.36078e-40, 2.36078e-40, 2.36078e-40, 2.19358e-12, 2.36078e-40, 2.36078e-40, 2.51347e-15, 9.37048e-14, 2.36078e-40, 6.20546e-10, 2.36078e-40, 2.36078e-40
0.358629, 0, 1.04374e-09, 3.09491e-39, 1.41421, -1.04374e-09, 3.09491e-39, 0, 3.09491e-39, 3.09491e-39, 3.09491e-39, 3.09491e-39, 3.09491e-39, 3.09491e-39, 3.67729e-12, 3.09491e-39, 3.09491e-39, 4.38065e-15, 1.63045e-13, 3.09491e-39, 1.0399e-09, 3.09491e-39, 3.09491e-39
0.366686, 0, 1.73388e-09, 3.62545e-38, 1.41421, -1.73388e-09, 3.62545e-38, 0, 3.62545e-38, 3.62545e-38, 3.62545e-38, 3.62545e-38, 3.62545e-38, 3.62545e-38, 6.11155e-12, 3.62545e-38, 3.62545e-38, 7.59896e-15, 2.82062e-13, 3.62545e-38, 1.72748e-09, 3.62545e-38, 3.62545e-38
0.374743, 0, 2.8554e-09, 3.82146e-37, 1.41421, -2.8554e-09, 3.82146e-37, 0, 3.82146e-37, 3.82146e-37, 3.82146e-37, 3.82146e-37, 3.82146e-37, 3.82146e-37, 1.00705e-11, 3.82146e-37, 3.82146e-37, 1.31274e-14, 4.85373e-13, 3.82146e-37, 2.84483e-09, 3.82146e-37, 3.82146e-37
0.3828, 0, 4.66172e-09, 3.6459e-36, 1.41421, -4.66172e-09, 3.6459e-36, 0, 3.6459e-36, 3.6459e-36, 3.6459e-36, 3.6459e-36, 3.6459e-36, 3.6459e-36, 1.64531e-11, 3.6459e-36, 3.6459e-36, 2.25985e-14, 8.31251e-13, 3.6459e-36, 4.64441e-09, 3.6459e-36, 3.6459e-36
0.390857, 0, 7.54519e-09, 3.16671e-35, 1.41421, -7.54519e-09, 3.16671e-35, 0, 3.16671e-35, 3.16671e-35, 3.16671e-35, 3.16671e-35, 3.16671e-35, 3.16671e-35, 2.66544e-11, 3.16671e-35, 3.16671e-35, 3.87907e-14, 1.41763e-12, 3.16671e-35, 7.51708e-09, 3.16671e-35, 3.16671e-35
0.398914, 0, 1.21075e-08, 2.5172e-34, 1.41421, -1.21075e-08, 2.5172e-34, 0, 2.5172e-34, 2.5172e-34, 2.5172e-34, 2.5172e-34, 2.5172e-34, 2.5172e-34, 4.28202e-11, 2.5172e-34, 2.5172e-34, 6.64345e-14, 2.40906e-12, 2.5172e-34, 1.20622e-08, 2.5172e-34, 2.5172e-34
0.406971, 0, 1.92627e-08, 1.84052e-33, 1.41421, -1.92627e-08, 1.84052e-33, 0, 1.84052e-33, 1.84052e-33, 1.84052e-33, 1.84052e-33, 1.84052e-33, 1.84052e-33, 6.82215e-11, 1.84052e-33, 1.84052e-33, 1.13586e-13, 4.08201e-12, 1.84052e-33, 1.91903e-08, 1.84052e-33, 1.84052e-33
0.415028, 0, 3.03858e-08, 1.30622e-32, 1.41421, -3.03858e-08, 1.30622e-32, 0, 1.30622e-32, 1.30622e-32, 1.30622e-32, 1.30622e-32, 1.30622e-32, 1.30622e-32, 1.07801e-10, 1.30622e-32, 1.30622e-32, 1.93974e-13, 6.90143e-12, 1.30622e-32, 3.02709e-08, 1.30622e-32, 1.30622e-32
0.423085, 0, 4.75262e-08, 8.93061e-32, 1.41421, -4.75262e-08, 8.93061e-32, 0, 8.93061e-32, 8.93061e-32, 8.93061e-32, 8.93061e-32, 8.93061e-32, 8.93061e-32, 1.68966e-10, 8.93061e-32, 8.93061e-32, 3.30991e-13, 1.16503e-11, 8.93061e-32, 4.73453e-08, 8.93061e-32, 8.93061e-32
0.431142, 0, 7.37098e-08, 5.73075e-31, 1.41421, -7.37098e-08, 5.73075e-31, 0, 5.73075e-31, 5.73075e-31, 5.73075e-31, 5.73075e-31, 5.73075e-31, 5.73075e-31, 2.62723e-10, 5.73075e-31, 5.73075e-31, 5.64499e-13, 1.9649e-11, 5.73075e-31, 7.34268e-08, 5.73075e-31, 5.73075e-31
0.439199, 0, 1.13362e-07, 3.43195e-30, 1.41421, -1.13362e-07, 3.43195e-30, 0, 3.43195e-30, 3.43195e-30, 3.43195e-30, 3.43195e-30, 3.43195e-30, 3.43195e-30, 4.05295e-10, 3.43195e-30, 3.43195e-30, 9.62347e-13, 3.31276e-11, 3.43195e-30, 1.12922e-07, 3.43195e-30, 3.43195e-30
0.447256, 0, 1.72894e-07, 1.91985e-29, 1.41421, -1.72894e-07, 1.91985e-29, 0, 1.91985e-29, 1.91985e-29, 1.91985e-29, 1.91985e-29, 1.91985e-29, 1.91985e-29, 6.20408e-10, 1.91985e-29, 1.91985e-29, 1.63982e-12, 5.58557e-11, 1.91985e-29, 1.72216e-07, 1.91985e-29, 1.91985e-29
0.455313, 0, 2.61512e-07, 1.006e-28, 1.41421, -2.61512e-07, 1.006e-28, 0, 1.006e-28, 1.006e-28, 1.006e-28, 1.006e-28, 1.006e-28, 1.006e-28, 9.42498e-10, 1.006e-28, 1.006e-28, 2.79232e-12, 9.42087e-11, 1.006e-28, 2.60473e-07, 1.006e-28, 1.006e-28
0.46337, 0, 3.92308e-07, 4.95422e-28, 1.41421, -3.92308e-07, 4.95422e-28, 0, 4.95422e-28, 4.95422e-28, 4.95422e-28, 4.95422e-28, 4.95422e-28, 4.95422e-28, 1.42117e-09, 4.95422e-28, 4.95422e-28, 4.74983e-12, 1.58961e-10, 4.95422e-28, 3.90723e-07, 4.95422e-28, 4.95422e-28
