   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
-0.000303007, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00755682, 0, 8.95107e-18, 0, 1.41421, -8.95107e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.56022e-20, 0, 0, 2.49622e-22, 0, 1.15829e-20, 0, 8.84364e-18, 0, 0
0.0154166, 0, 1.69028e-17, 0, 1.41421, -1.69028e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80527e-19, 0, 0, 4.7875e-22, 0, 2.22696e-20, 0, 1.66995e-17, 0, 0
0.0232765, 0, 3.16563e-17, 0, 1.41421, -3.16563e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3809e-19, 0, 0, 9.10784e-22, 0, 4.24732e-20, 0, 3.12749e-17, 0, 0
0.0311363, 0, 5.88121e-17, 0, 1.41421, -5.88121e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28098e-19, 0, 0, 1.71907e-21, 0, 8.03756e-20, 0, 5.81019e-17, 0, 0
0.0389961, 0, 1.08406e-16, 0, 1.41421, -1.08406e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15772e-18, 0, 0, 3.21974e-21, 0, 1.5095e-19, 0, 1.07094e-16, 0, 0
0.0468559, 0, 1.98286e-16, 0, 1.41421, -1.98286e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11752e-18, 0, 0, 5.98514e-21, 0, 2.81402e-19, 0, 1.95881e-16, 0, 0
0.0547158, 0, 3.59954e-16, 0, 1.41421, -3.59954e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.8439e-18, 0, 0, 1.10439e-20, 0, 5.20824e-19, 0, 3.55579e-16, 0, 0
0.0625756, 0, 6.48603e-16, 0, 1.41421, -6.48603e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92614e-18, 0, 0, 2.02317e-20, 0, 9.57187e-19, 0, 6.407e-16, 0, 0
0.0704354, 0, 1.16023e-15, 0, 1.41421, -1.16023e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23892e-17, 0, 0, 3.6801e-20, 0, 1.74709e-18, 0, 1.14605e-15, 0, 0
0.0782952, 0, 2.06058e-15, 0, 1.41421, -2.06058e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20026e-17, 0, 0, 6.64751e-20, 0, 3.16747e-18, 0, 2.03534e-15, 0, 0
0.086155, 0, 3.63383e-15, 0, 1.41421, -3.63383e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88003e-17, 0, 0, 1.19257e-19, 0, 5.70493e-18, 0, 3.58921e-15, 0, 0
0.0940149, 0, 6.36373e-15, 0, 1.41421, -6.36373e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79464e-17, 0, 0, 2.12509e-19, 0, 1.0209e-17, 0, 6.28536e-15, 0, 0
0.101875, 0, 1.10681e-14, 0, 1.41421, -1.10681e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18171e-16, 0, 0, 3.76172e-19, 0, 1.81539e-17, 0, 1.09314e-14, 0, 0
0.109735, 0, 1.91196e-14, 0, 1.41421, -1.91196e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04126e-16, 0, 0, 6.6153e-19, 0, 3.20818e-17, 0, 1.88827e-14, 0, 0
0.117594, 0, 3.2807e-14, 0, 1.41421, -3.2807e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50244e-16, 0, 0, 1.15586e-18, 0, 5.63504e-17, 0, 3.23993e-14, 0, 0
0.125454, 0, 5.59204e-14, 0, 1.41421, -5.59204e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.96974e-16, 0, 0, 2.00675e-18, 0, 9.83857e-17, 0, 5.5223e-14, 0, 0
0.133314, 0, 9.50007e-14, 0, 1.41421, -9.50007e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01413e-15, 0, 0, 3.48022e-18, 0, 1.71836e-16, 0, 9.38113e-14, 0, 0
0.141174, 0, 1.5976e-13, 0, 1.41421, -1.5976e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70535e-15, 0, 0, 5.96437e-18, 0, 2.96367e-16, 0, 1.57752e-13, 0, 0
0.149034, 0, 2.66945e-13, 0, 1.41421, -2.66945e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84937e-15, 0, 0, 1.016e-17, 0, 5.08262e-16, 0, 2.63577e-13, 0, 0
0.156893, 0, 4.43208e-13, 0, 1.41421, -4.43208e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73062e-15, 0, 0, 1.7204e-17, 0, 8.668e-16, 0, 4.37593e-13, 0, 0
0.164753, 0, 7.31217e-13, 0, 1.41421, -7.31217e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.80441e-15, 0, 0, 2.89603e-17, 0, 1.47014e-15, 0, 7.21913e-13, 0, 0
0.172613, 0, 1.19882e-12, 0, 1.41421, -1.19882e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27948e-14, 0, 0, 4.84677e-17, 0, 2.47996e-15, 0, 1.1835e-12, 0, 0
