   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_263.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000499407, 0, 2.75843e-23, 0, 1.41421, -2.75843e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89915e-25, 0, 0, 6.10397e-29, 0, 5.32185e-24, 0, 2.20725e-23, 0, 0, 0
0.00836142, 0, 7.10327e-23, 0, 1.41421, -7.10327e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.86416e-25, 0, 0, 1.58452e-28, 0, 1.40134e-23, 0, 5.65327e-23, 0, 0, 0
0.0162234, 0, 1.78834e-22, 0, 1.41421, -1.78834e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21841e-24, 0, 0, 4.02217e-28, 0, 3.60081e-23, 0, 1.41607e-22, 0, 0, 0
0.0240854, 0, 4.41016e-22, 0, 1.41421, -4.41016e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99019e-24, 0, 0, 1.00026e-27, 0, 9.0496e-23, 0, 3.47529e-22, 0, 0, 0
0.0319474, 0, 1.06692e-21, 0, 1.41421, -1.06692e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20051e-24, 0, 0, 2.44071e-27, 0, 2.22853e-22, 0, 8.36864e-22, 0, 0, 0
0.0398095, 0, 2.53536e-21, 0, 1.41421, -2.53536e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70343e-23, 0, 0, 5.85093e-27, 0, 5.38544e-22, 0, 1.97977e-21, 0, 0, 0
0.0476715, 0, 5.92442e-21, 0, 1.41421, -5.92442e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96309e-23, 0, 0, 1.37946e-26, 0, 1.27875e-21, 0, 4.60603e-21, 0, 0, 0
0.0555335, 0, 1.36257e-20, 0, 1.41421, -1.36257e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.07589e-23, 0, 0, 3.20162e-26, 0, 2.98662e-21, 0, 1.05483e-20, 0, 0, 0
0.0633955, 0, 3.08695e-20, 0, 1.41421, -3.08695e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04753e-22, 0, 0, 7.32093e-26, 0, 6.86766e-21, 0, 2.3797e-20, 0, 0, 0
0.0712575, 0, 6.89399e-20, 0, 1.41421, -6.89399e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55364e-22, 0, 0, 1.65047e-25, 0, 1.55606e-20, 0, 5.29238e-20, 0, 0, 0
0.0791195, 0, 1.51864e-19, 0, 1.41421, -1.51864e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.98941e-22, 0, 0, 3.67086e-25, 0, 3.47653e-20, 0, 1.161e-19, 0, 0, 0
0.0869815, 0, 3.30168e-19, 0, 1.41421, -3.30168e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16279e-21, 0, 0, 8.0593e-25, 0, 7.66386e-20, 0, 2.51366e-19, 0, 0, 0
0.0948435, 0, 7.08805e-19, 0, 1.41421, -7.08805e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.62375e-21, 0, 0, 1.7475e-24, 0, 1.66794e-19, 0, 5.37386e-19, 0, 0, 0
0.102706, 0, 1.50325e-18, 0, 1.41421, -1.50325e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.765e-21, 0, 0, 3.74392e-24, 0, 3.58563e-19, 0, 1.13492e-18, 0, 0, 0
0.110568, 0, 3.15085e-18, 0, 1.41421, -3.15085e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03808e-20, 0, 0, 7.9288e-24, 0, 7.61746e-19, 0, 2.36872e-18, 0, 0, 0
0.11843, 0, 6.52952e-18, 0, 1.41421, -6.52952e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20531e-20, 0, 0, 1.66044e-23, 0, 1.59991e-18, 0, 4.88754e-18, 0, 0, 0
0.126292, 0, 1.33826e-17, 0, 1.41421, -1.33826e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.58113e-20, 0, 0, 3.43972e-23, 0, 3.32347e-18, 0, 9.97324e-18, 0, 0, 0
0.134154, 0, 2.71354e-17, 0, 1.41421, -2.71354e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73216e-19, 0, 0, 7.05084e-23, 0, 6.83041e-18, 0, 2.01317e-17, 0, 0, 0
0.142016, 0, 5.44494e-17, 0, 1.41421, -5.44494e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45974e-19, 0, 0, 1.43053e-22, 0, 1.38931e-17, 0, 4.02102e-17, 0, 0, 0
0.149878, 0, 1.08149e-16, 0, 1.41421, -1.08149e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8394e-19, 0, 0, 2.87346e-22, 0, 2.79754e-17, 0, 7.94895e-17, 0, 0, 0
0.15774, 0, 2.1268e-16, 0, 1.41421, -2.1268e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33845e-18, 0, 0, 5.71561e-22, 0, 5.57821e-17, 0, 1.55559e-16, 0, 0, 0
0.165602, 0, 4.1419e-16, 0, 1.41421, -4.1419e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59351e-18, 0, 0, 1.12606e-21, 0, 1.10169e-16, 0, 3.01426e-16, 0, 0, 0
0.173464, 0, 7.98956e-16, 0, 1.41421, -7.98956e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97676e-18, 0, 0, 2.1978e-21, 0, 2.15562e-16, 0, 5.78415e-16, 0, 0, 0
0.181326, 0, 1.52679e-15, 0, 1.41421, -1.52679e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45917e-18, 0, 0, 4.25028e-21, 0, 4.17947e-16, 0, 1.09938e-15, 0, 0, 0
0.189188, 0, 2.89093e-15, 0, 1.41421, -2.89093e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78102e-17, 0, 0, 8.1455e-21, 0, 8.03142e-16, 0, 2.06997e-15, 0, 0, 0
0.19705, 0, 5.42459e-15, 0, 1.41421, -5.42459e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32241e-17, 0, 0, 1.54723e-20, 0, 1.52991e-15, 0, 3.86144e-15, 0, 0, 0
0.204912, 0, 1.00886e-14, 0, 1.41421, -1.00886e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.14129e-17, 0, 0, 2.9133e-20, 0, 2.88945e-15, 0, 7.13767e-15, 0, 0, 0
0.212774, 0, 1.85988e-14, 0, 1.41421, -1.85988e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12496e-16, 0, 0, 5.4386e-20, 0, 5.41147e-15, 0, 1.30748e-14, 0, 0, 0
0.220636, 0, 3.39929e-14, 0, 1.41421, -3.39929e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04234e-16, 0, 0, 1.00673e-19, 0, 1.00515e-14, 0, 2.3737e-14, 0, 0, 0
0.228498, 0, 6.16015e-14, 0, 1.41421, -6.16015e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67515e-16, 0, 0, 1.84809e-19, 0, 1.85195e-14, 0, 4.27143e-14, 0, 0, 0
0.23636, 0, 1.107e-13, 0, 1.41421, -1.107e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55567e-16, 0, 0, 3.36494e-19, 0, 3.38509e-14, 0, 7.6193e-14, 0, 0, 0
0.244222, 0, 1.97288e-13, 0, 1.41421, -1.97288e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15928e-15, 0, 0, 6.07755e-19, 0, 6.13926e-14, 0, 1.34735e-13, 0, 0, 0
0.252084, 0, 3.48742e-13, 0, 1.41421, -3.48742e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03244e-15, 0, 0, 1.08904e-18, 0, 1.10492e-13, 0, 2.36216e-13, 0, 0, 0
0.259946, 0, 6.11516e-13, 0, 1.41421, -6.11516e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53299e-15, 0, 0, 1.93639e-18, 0, 1.97372e-13, 0, 4.10609e-13, 0, 0, 0
0.267808, 0, 1.06381e-12, 0, 1.41421, -1.06381e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.08958e-15, 0, 0, 3.41698e-18, 0, 3.49993e-13, 0, 7.07724e-13, 0, 0, 0
0.27567, 0, 1.8362e-12, 0, 1.41421, -1.8362e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04083e-14, 0, 0, 5.98516e-18, 0, 6.16183e-13, 0, 1.2096e-12, 0, 0, 0
0.283532, 0, 3.14882e-12, 0, 1.41421, -3.14882e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76546e-14, 0, 0, 1.04294e-17, 0, 1.07955e-12, 0, 2.05161e-12, 0, 0, 0
0.291394, 0, 5.35208e-12, 0, 1.41421, -5.35208e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96743e-14, 0, 0, 1.801e-17, 0, 1.87421e-12, 0, 3.44817e-12, 0, 0, 0
0.299256, 0, 9.02972e-12, 0, 1.41421, -9.02972e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9469e-14, 0, 0, 3.08935e-17, 0, 3.23239e-12, 0, 5.74783e-12, 0, 0, 0
0.307118, 0, 1.51241e-11, 0, 1.41421, -1.51241e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.17975e-14, 0, 0, 5.26558e-17, 0, 5.5393e-12, 0, 9.50299e-12, 0, 0, 0
0.31498, 0, 2.51527e-11, 7.84727e-44, 1.41421, -2.51527e-11, 7.84727e-44, 0, 7.84727e-44, 7.84727e-44, 7.84727e-44, 7.84727e-44, 7.84727e-44, 7.84727e-44, 7.84727e-44, 7.84727e-44, 7.84727e-44, 7.84727e-44, 1.3416e-13, 7.84727e-44, 7.84727e-44, 8.92051e-17, 7.84727e-44, 9.43447e-12, 7.84727e-44, 1.5584e-11, 7.84727e-44, 7.84727e-44, 7.84727e-44
0.322842, 0, 4.15431e-11, 1.4041e-42, 1.41421, -4.15431e-11, 1.4041e-42, 0, 1.4041e-42, 1.4041e-42, 1.4041e-42, 1.4041e-42, 1.4041e-42, 1.4041e-42, 1.4041e-42, 1.4041e-42, 1.4041e-42, 1.4041e-42, 2.18278e-13, 1.4041e-42, 1.4041e-42, 1.50264e-16, 1.4041e-42, 1.59746e-11, 1.4041e-42, 2.53501e-11, 1.4041e-42, 1.4041e-42, 1.4041e-42
0.330704, 0, 6.81558e-11, 2.10279e-41, 1.41421, -6.81558e-11, 2.10279e-41, 0, 2.10279e-41, 2.10279e-41, 2.10279e-41, 2.10279e-41, 2.10279e-41, 2.10279e-41, 2.10279e-41, 2.10279e-41, 2.10279e-41, 2.10279e-41, 3.52306e-13, 2.10279e-41, 2.10279e-41, 2.51777e-16, 2.10279e-41, 2.68979e-11, 2.10279e-41, 4.09053e-11, 2.10279e-41, 2.10279e-41, 2.10279e-41
0.338566, 0, 1.11097e-10, 2.7636e-40, 1.41421, -1.11097e-10, 2.7636e-40, 0, 2.7636e-40, 2.7636e-40, 2.7636e-40, 2.7636e-40, 2.7636e-40, 2.7636e-40, 2.7636e-40, 2.7636e-40, 2.7636e-40, 2.7636e-40, 5.6413e-13, 2.7636e-40, 2.7636e-40, 4.19819e-16, 2.7636e-40, 4.50534e-11, 2.7636e-40, 6.54787e-11, 2.7636e-40, 2.7636e-40, 2.7636e-40
0.346428, 0, 1.79976e-10, 3.25326e-39, 1.41421, -1.79976e-10, 3.25326e-39, 0, 3.25326e-39, 3.25326e-39, 3.25326e-39, 3.25326e-39, 3.25326e-39, 3.25326e-39, 3.25326e-39, 3.25326e-39, 3.25326e-39, 3.25326e-39, 8.96218e-13, 3.25326e-39, 3.25326e-39, 6.96952e-16, 3.25326e-39, 7.50962e-11, 3.25326e-39, 1.03982e-10, 3.25326e-39, 3.25326e-39, 3.25326e-39
