   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_293.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.00114571, 0, 1.03386e-15, 0, 1.41421, -1.03386e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8736e-18, 0, 0, 4.76994e-18, 0, 8.69353e-19, 0, 1.02135e-15, 0, 0
0.00899681, 0, 1.67753e-15, 0, 1.41421, -1.67753e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11518e-17, 0, 0, 7.87728e-18, 0, 1.4475e-18, 0, 1.65705e-15, 0, 0
0.0168479, 0, 2.70792e-15, 0, 1.41421, -2.70792e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79996e-17, 0, 0, 1.29437e-17, 0, 2.39896e-18, 0, 2.67457e-15, 0, 0
0.024699, 0, 4.34895e-15, 0, 1.41421, -4.34895e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89044e-17, 0, 0, 2.11638e-17, 0, 3.95767e-18, 0, 4.29492e-15, 0, 0
0.0325501, 0, 6.94928e-15, 0, 1.41421, -6.94928e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61816e-17, 0, 0, 3.4435e-17, 0, 6.49972e-18, 0, 6.86216e-15, 0, 0
0.0404012, 0, 1.1049e-14, 0, 1.41421, -1.1049e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34178e-17, 0, 0, 5.57583e-17, 0, 1.06271e-17, 0, 1.09092e-14, 0, 0
0.0482523, 0, 1.74806e-14, 0, 1.41421, -1.74806e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1614e-16, 0, 0, 8.98577e-17, 0, 1.72992e-17, 0, 1.72573e-14, 0, 0
0.0561034, 0, 2.75205e-14, 0, 1.41421, -2.75205e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82821e-16, 0, 0, 1.44134e-16, 0, 2.80381e-17, 0, 2.71655e-14, 0, 0
0.0639545, 0, 4.31163e-14, 0, 1.41421, -4.31163e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86388e-16, 0, 0, 2.30129e-16, 0, 4.52488e-17, 0, 4.25545e-14, 0, 0
0.0718056, 0, 6.72243e-14, 0, 1.41421, -6.72243e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4646e-16, 0, 0, 3.65754e-16, 0, 7.27141e-17, 0, 6.63394e-14, 0, 0
0.0796567, 0, 1.0431e-13, 0, 1.41421, -1.0431e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92668e-16, 0, 0, 5.78689e-16, 0, 1.1636e-16, 0, 1.02923e-13, 0, 0
0.0875078, 0, 1.61086e-13, 0, 1.41421, -1.61086e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06953e-15, 0, 0, 9.11519e-16, 0, 1.85433e-16, 0, 1.58919e-13, 0, 0
0.0953589, 0, 2.47588e-13, 0, 1.41421, -2.47588e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64363e-15, 0, 0, 1.42948e-15, 0, 2.9431e-16, 0, 2.44221e-13, 0, 0
0.10321, 0, 3.78753e-13, 0, 1.41421, -3.78753e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51402e-15, 0, 0, 2.23209e-15, 0, 4.65221e-16, 0, 3.73542e-13, 0, 0
0.111061, 0, 5.76697e-13, 0, 1.41421, -5.76697e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82733e-15, 0, 0, 3.47052e-15, 0, 7.32438e-16, 0, 5.68667e-13, 0, 0
0.118912, 0, 8.74009e-13, 0, 1.41421, -8.74009e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79961e-15, 0, 0, 5.37353e-15, 0, 1.14857e-15, 0, 8.61687e-13, 0, 0
0.126763, 0, 1.31846e-12, 0, 1.41421, -1.31846e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74754e-15, 0, 0, 8.28646e-15, 0, 1.79408e-15, 0, 1.29964e-12, 0, 0
0.134614, 0, 1.97978e-12, 0, 1.41421, -1.97978e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31331e-14, 0, 0, 1.27276e-14, 0, 2.79154e-15, 0, 1.95113e-12, 0, 0
0.142466, 0, 2.95916e-12, 0, 1.41421, -2.95916e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96269e-14, 0, 0, 1.94733e-14, 0, 4.32698e-15, 0, 2.91573e-12, 0, 0
0.150317, 0, 4.40281e-12, 0, 1.41421, -4.40281e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91977e-14, 0, 0, 2.96821e-14, 0, 6.68167e-15, 0, 4.33725e-12, 0, 0
0.158168, 0, 6.52095e-12, 0, 1.41421, -6.52095e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32378e-14, 0, 0, 4.50782e-14, 0, 1.02795e-14, 0, 6.42235e-12, 0, 0
0.166019, 0, 9.6143e-12, 0, 1.41421, -9.6143e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.37391e-14, 0, 0, 6.82212e-14, 0, 1.57568e-14, 0, 9.46659e-12, 0, 0
0.17387, 0, 1.4111e-11, 0, 1.41421, -1.4111e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.35373e-14, 0, 0, 1.02901e-13, 0, 2.40662e-14, 0, 1.38905e-11, 0, 0
0.181721, 0, 2.06177e-11, 0, 1.41421, -2.06177e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36649e-13, 0, 0, 1.54718e-13, 0, 3.6628e-14, 0, 2.02897e-11, 0, 0
0.189572, 0, 2.99896e-11, 0, 1.41421, -2.99896e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98736e-13, 0, 0, 2.31936e-13, 0, 5.55546e-14, 0, 2.95033e-11, 0, 0
0.197423, 0, 4.34264e-11, 0, 1.41421, -4.34264e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87745e-13, 0, 0, 3.46727e-13, 0, 8.39774e-14, 0, 4.2708e-11, 0, 0
0.205274, 0, 6.26036e-11, 0, 1.41421, -6.26036e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14766e-13, 0, 0, 5.1701e-13, 0, 1.26524e-13, 0, 6.15453e-11, 0, 0
0.213125, 0, 8.98493e-11, 0, 1.41421, -8.98493e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95214e-13, 0, 0, 7.69144e-13, 0, 1.90019e-13, 0, 8.8295e-11, 0, 0
0.220976, 0, 1.28383e-10, 0, 1.41421, -1.28383e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50405e-13, 0, 0, 1.14189e-12, 0, 2.84492e-13, 0, 1.26106e-10, 0, 0
0.228828, 0, 1.82634e-10, 0, 1.41421, -1.82634e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20968e-12, 0, 0, 1.69225e-12, 0, 4.24656e-13, 0, 1.79308e-10, 0, 0
0.236679, 0, 2.58673e-10, 5.04467e-44, 1.41421, -2.58673e-10, 0, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 1.71323e-12, 5.04467e-44, 5.04467e-44, 2.50412e-12, 5.04467e-44, 6.32037e-13, 5.04467e-44, 2.53824e-10, 5.04467e-44, 5.04467e-44
0.24453, 0, 3.64772e-10, 8.66002e-43, 1.41421, -3.64772e-10, 0, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 8.66002e-43, 2.41584e-12, 8.66002e-43, 8.66002e-43, 3.70098e-12, 8.66002e-43, 9.38064e-13, 8.66002e-43, 3.57717e-10, 8.66002e-43, 8.66002e-43
0.252381, 0, 5.12157e-10, 1.25486e-41, 1.41421, -5.12157e-10, 0, 1.25486e-41, 1.25486e-41, 1.25486e-41, 1.25486e-41, 1.25486e-41, 1.25486e-41, 1.25486e-41, 1.25486e-41, 1.25486e-41, 1.25486e-41, 3.39191e-12, 1.25486e-41, 1.25486e-41, 5.46483e-12, 1.25486e-41, 1.38853e-12, 1.25486e-41, 5.01912e-10, 1.25486e-41, 1.25486e-41
0.260232, 0, 7.15993e-10, 1.61109e-40, 1.41421, -7.15993e-10, 0, 1.61109e-40, 1.61109e-40, 1.61109e-40, 1.61109e-40, 1.61109e-40, 1.61109e-40, 1.61109e-40, 1.61109e-40, 1.61109e-40, 1.61109e-40, 4.74191e-12, 1.61109e-40, 1.61109e-40, 8.06409e-12, 1.61109e-40, 2.05004e-12, 1.61109e-40, 7.01137e-10, 1.61109e-40, 1.61109e-40
