   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_379.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00162964, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00623353, 0, 1.48414e-20, 0, 1.41421, -1.48414e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60127e-22, 0, 0, 3.48575e-26, 0, 4.17473e-21, 0, 1.04065e-20, 0, 0
0.0140967, 0, 3.15897e-20, 0, 1.41421, -3.15897e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50745e-22, 0, 0, 7.48105e-26, 0, 9.00603e-21, 0, 2.20329e-20, 0, 0
0.0219599, 0, 6.64427e-20, 0, 1.41421, -6.64427e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15226e-21, 0, 0, 1.58686e-25, 0, 1.91934e-20, 0, 4.60969e-20, 0, 0
0.029823, 0, 1.3816e-19, 0, 1.41421, -1.3816e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38331e-21, 0, 0, 3.32829e-25, 0, 4.0431e-20, 0, 9.53457e-20, 0, 0
0.0376862, 0, 2.84142e-19, 0, 1.41421, -2.84142e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87543e-21, 0, 0, 6.90537e-25, 0, 8.42217e-20, 0, 1.95044e-19, 0, 0
0.0455494, 0, 5.9358e-19, 0, 1.41421, -5.9358e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01114e-20, 0, 0, 1.46019e-24, 0, 1.78954e-19, 0, 4.04514e-19, 0, 0
0.0534126, 0, 1.19248e-18, 0, 1.41421, -1.19248e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02037e-20, 0, 0, 2.95977e-24, 0, 3.64017e-19, 0, 8.08259e-19, 0, 0
0.0612757, 0, 2.37243e-18, 0, 1.41421, -2.37243e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99739e-20, 0, 0, 5.94192e-24, 0, 7.33277e-19, 0, 1.59918e-18, 0, 0
0.0691389, 0, 4.67541e-18, 0, 1.41421, -4.67541e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83352e-20, 0, 0, 1.18176e-23, 0, 1.46322e-18, 0, 3.13384e-18, 0, 0
