   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_533.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0111556, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00328368, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00458825, 0, 5.88573e-14, 0, 1.41421, -5.88573e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22094e-16, 0, 0, 1.24288e-16, 0, 3.18715e-15, 0, 5.53238e-14, 0, 0, 0
0.0124602, 0, 9.03458e-14, 0, 1.41421, -9.03458e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40296e-16, 0, 0, 1.94037e-16, 0, 5.04356e-15, 0, 8.47679e-14, 0, 0, 0
0.0203321, 0, 1.38091e-13, 0, 1.41421, -1.38091e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19151e-16, 0, 0, 3.01678e-16, 0, 7.95028e-15, 0, 1.2932e-13, 0, 0, 0
0.028204, 0, 2.10179e-13, 0, 1.41421, -2.10179e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.88604e-16, 0, 0, 4.67124e-16, 0, 1.24839e-14, 0, 1.9644e-13, 0, 0, 0
0.0360759, 0, 3.18562e-13, 0, 1.41421, -3.18562e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19279e-15, 0, 0, 7.20392e-16, 0, 1.9528e-14, 0, 2.97121e-13, 0, 0, 0
0.0439479, 0, 4.8083e-13, 0, 1.41421, -4.8083e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79649e-15, 0, 0, 1.10656e-15, 0, 3.04307e-14, 0, 4.47496e-13, 0, 0, 0
0.0518198, 0, 7.22761e-13, 0, 1.41421, -7.22761e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69431e-15, 0, 0, 1.69307e-15, 0, 4.72458e-14, 0, 6.71128e-13, 0, 0, 0
0.0596917, 0, 1.08197e-12, 0, 1.41421, -1.08197e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02384e-15, 0, 0, 2.58041e-15, 0, 7.30803e-14, 0, 1.00229e-12, 0, 0, 0
0.0675636, 0, 1.61313e-12, 0, 1.41421, -1.61313e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98436e-15, 0, 0, 3.91781e-15, 0, 1.12626e-13, 0, 1.4906e-12, 0, 0, 0
0.0754356, 0, 2.3953e-12, 0, 1.41421, -2.3953e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.86307e-15, 0, 0, 5.92608e-15, 0, 1.72937e-13, 0, 2.20758e-12, 0, 0, 0
0.0833075, 0, 3.54246e-12, 0, 1.41421, -3.54246e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30722e-14, 0, 0, 8.93115e-15, 0, 2.64584e-13, 0, 3.25587e-12, 0, 0, 0
0.0911794, 0, 5.21809e-12, 0, 1.41421, -5.21809e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92009e-14, 0, 0, 1.34119e-14, 0, 4.03351e-13, 0, 4.78213e-12, 0, 0, 0
0.0990513, 0, 7.65582e-12, 0, 1.41421, -7.65582e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8087e-14, 0, 0, 2.00699e-14, 0, 6.12717e-13, 0, 6.99494e-12, 0, 0, 0
0.106923, 0, 1.11881e-11, 0, 1.41421, -1.11881e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09178e-14, 0, 0, 2.99307e-14, 0, 9.27495e-13, 0, 1.01898e-11, 0, 0, 0
0.114795, 0, 1.6286e-11, 0, 1.41421, -1.6286e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.9367e-14, 0, 0, 4.44883e-14, 0, 1.39912e-12, 0, 1.47831e-11, 0, 0, 0
0.122667, 0, 2.36147e-11, 0, 1.41421, -2.36147e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57854e-14, 0, 0, 6.59151e-14, 0, 2.10335e-12, 0, 2.13596e-11, 0, 0, 0
0.130539, 0, 3.41087e-11, 0, 1.41421, -3.41087e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23459e-13, 0, 0, 9.73612e-14, 0, 3.15136e-12, 0, 3.07366e-11, 0, 0, 0
0.138411, 0, 4.9077e-11, 0, 1.41421, -4.9077e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76961e-13, 0, 0, 1.43387e-13, 0, 4.70583e-12, 0, 4.40508e-11, 0, 0, 0
0.146283, 0, 7.03448e-11, 0, 1.41421, -7.03448e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52631e-13, 0, 0, 2.10581e-13, 0, 7.00408e-12, 0, 6.28775e-11, 0, 0, 0
0.154155, 0, 1.00448e-10, 0, 1.41421, -1.00448e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59216e-13, 0, 0, 3.08455e-13, 0, 1.03912e-11, 0, 8.93891e-11, 0, 0, 0
0.162027, 0, 1.42895e-10, 0, 1.41421, -1.42895e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08734e-13, 0, 0, 4.50714e-13, 0, 1.53677e-11, 0, 1.26568e-10, 0, 0, 0
0.169899, 0, 2.02525e-10, 0, 1.41421, -2.02525e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.17628e-13, 0, 0, 6.57106e-13, 0, 2.26573e-11, 0, 1.78494e-10, 0, 0, 0
