   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_541.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000915886, 0, 3.98218e-14, 0, 1.41421, -3.98218e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18761e-16, 0, 0, 2.6668e-16, 0, 0, 3.91363e-14, 0, 0, 0
0.00877096, 0, 6.05274e-14, 0, 1.41421, -6.05274e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.36419e-16, 0, 0, 4.13028e-16, 0, 0, 5.9478e-14, 0, 0, 0
0.016626, 0, 9.16139e-14, 0, 1.41421, -9.16139e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.63156e-16, 0, 0, 6.37134e-16, 0, 0, 9.00136e-14, 0, 0, 0
0.0244811, 0, 1.38089e-13, 0, 1.41421, -1.38089e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45157e-15, 0, 0, 9.78966e-16, 0, 0, 1.35659e-13, 0, 0, 0
0.0323362, 0, 2.0728e-13, 0, 1.41421, -2.0728e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1786e-15, 0, 0, 1.49834e-15, 0, 0, 2.03603e-13, 0, 0, 0
0.0401913, 0, 3.0986e-13, 0, 1.41421, -3.0986e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25632e-15, 0, 0, 2.28443e-15, 0, 0, 3.04319e-13, 0, 0, 0
0.0480463, 0, 4.61309e-13, 0, 1.41421, -4.61309e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84724e-15, 0, 0, 3.46973e-15, 0, 0, 4.52992e-13, 0, 0, 0
0.0559014, 0, 6.83985e-13, 0, 1.41421, -6.83985e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18601e-15, 0, 0, 5.25034e-15, 0, 0, 6.71548e-13, 0, 0, 0
0.0637565, 0, 1.01003e-12, 0, 1.41421, -1.01003e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.061e-14, 0, 0, 7.91549e-15, 0, 0, 9.91509e-13, 0, 0, 0
0.0716116, 0, 1.48549e-12, 0, 1.41421, -1.48549e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56023e-14, 0, 0, 1.18912e-14, 0, 0, 1.458e-12, 0, 0, 0
0.0794666, 0, 2.17598e-12, 0, 1.41421, -2.17598e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28512e-14, 0, 0, 1.78009e-14, 0, 0, 2.13532e-12, 0, 0, 0
0.0873217, 0, 3.17465e-12, 0, 1.41421, -3.17465e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33341e-14, 0, 0, 2.65561e-14, 0, 0, 3.11476e-12, 0, 0, 0
0.0951768, 0, 4.61319e-12, 0, 1.41421, -4.61319e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84319e-14, 0, 0, 3.94849e-14, 0, 0, 4.52528e-12, 0, 0, 0
0.103032, 0, 6.67695e-12, 0, 1.41421, -6.67695e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00883e-14, 0, 0, 5.85173e-14, 0, 0, 6.54835e-12, 0, 0, 0
0.110887, 0, 9.62568e-12, 0, 1.41421, -9.62568e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01027e-13, 0, 0, 8.64515e-14, 0, 0, 9.43821e-12, 0, 0, 0
0.118742, 0, 1.38219e-11, 0, 1.41421, -1.38219e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45048e-13, 0, 0, 1.27335e-13, 0, 0, 1.35495e-11, 0, 0, 0
0.126597, 0, 1.97693e-11, 0, 1.41421, -1.97693e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07431e-13, 0, 0, 1.87012e-13, 0, 0, 1.93748e-11, 0, 0, 0
0.134452, 0, 2.8165e-11, 0, 1.41421, -2.8165e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95483e-13, 0, 0, 2.73904e-13, 0, 0, 2.75956e-11, 0, 0, 0
0.142307, 0, 3.99693e-11, 0, 1.41421, -3.99693e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19268e-13, 0, 0, 4.00134e-13, 0, 0, 3.91499e-11, 0, 0, 0
0.150162, 0, 5.65001e-11, 0, 1.41421, -5.65001e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92597e-13, 0, 0, 5.83133e-13, 0, 0, 5.53244e-11, 0, 0, 0
0.158017, 0, 7.95581e-11, 0, 1.41421, -7.95581e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34335e-13, 0, 0, 8.47939e-13, 0, 0, 7.78758e-11, 0, 0, 0
0.165872, 0, 1.11593e-10, 0, 1.41421, -1.11593e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17015e-12, 0, 0, 1.23051e-12, 0, 0, 1.09192e-10, 0, 0, 0
0.173728, 0, 1.55924e-10, 0, 1.41421, -1.55924e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63482e-12, 0, 0, 1.78245e-12, 0, 0, 1.52506e-10, 0, 0, 0
0.181583, 0, 2.17029e-10, 0, 1.41421, -2.17029e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27526e-12, 0, 0, 2.5779e-12, 0, 0, 2.12176e-10, 0, 0, 0
0.189438, 0, 3.00928e-10, 0, 1.41421, -3.00928e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15452e-12, 0, 0, 3.7233e-12, 0, 0, 2.9405e-10, 0, 0, 0
0.197293, 0, 4.15674e-10, 0, 1.41421, -4.15674e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35697e-12, 0, 0, 5.37167e-12, 0, 0, 4.05945e-10, 0, 0, 0
