   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_557.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.001598, 0, 1.16762e-17, 0, 1.41421, -1.16762e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81792e-20, 0, 0, 3.95522e-20, 0, 3.00296e-21, 0, 1.15555e-17, 0, 0, 0
0.00945098, 0, 2.09757e-17, 0, 1.41421, -2.09757e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40436e-19, 0, 0, 7.2257e-20, 0, 5.50138e-21, 0, 2.07575e-17, 0, 0, 0
0.017304, 0, 3.74152e-17, 0, 1.41421, -3.74152e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50485e-19, 0, 0, 1.31083e-19, 0, 1.00101e-20, 0, 3.70236e-17, 0, 0, 0
0.0251569, 0, 6.62765e-17, 0, 1.41421, -6.62765e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43675e-19, 0, 0, 2.36179e-19, 0, 1.80938e-20, 0, 6.55786e-17, 0, 0, 0
0.0330099, 0, 1.16603e-16, 0, 1.41421, -1.16603e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8052e-19, 0, 0, 4.22691e-19, 0, 3.24947e-20, 0, 1.15367e-16, 0, 0, 0
0.0408629, 0, 2.03775e-16, 0, 1.41421, -2.03775e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36394e-18, 0, 0, 7.51543e-19, 0, 5.79903e-20, 0, 2.01601e-16, 0, 0, 0
0.0487159, 0, 3.5378e-16, 0, 1.41421, -3.5378e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36781e-18, 0, 0, 1.32765e-18, 0, 1.02853e-19, 0, 3.49981e-16, 0, 0, 0
0.0565689, 0, 6.10243e-16, 0, 1.41421, -6.10243e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.084e-18, 0, 0, 2.3306e-18, 0, 1.81327e-19, 0, 6.03648e-16, 0, 0, 0
0.0644218, 0, 1.04593e-15, 0, 1.41421, -1.04593e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99927e-18, 0, 0, 4.06581e-18, 0, 3.17788e-19, 0, 1.03455e-15, 0, 0, 0
0.0722748, 0, 1.78144e-15, 0, 1.41421, -1.78144e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19203e-17, 0, 0, 7.04964e-18, 0, 5.53729e-19, 0, 1.76191e-15, 0, 0, 0
0.0801278, 0, 3.01537e-15, 0, 1.41421, -3.01537e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01754e-17, 0, 0, 1.21497e-17, 0, 9.59367e-19, 0, 2.98209e-15, 0, 0, 0
0.0879808, 0, 5.07282e-15, 0, 1.41421, -5.07282e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39386e-17, 0, 0, 2.08154e-17, 0, 1.65291e-18, 0, 5.01641e-15, 0, 0, 0
0.0958338, 0, 8.48251e-15, 0, 1.41421, -8.48251e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67456e-17, 0, 0, 3.5453e-17, 0, 2.83222e-18, 0, 8.38748e-15, 0, 0, 0
0.103687, 0, 1.40992e-14, 0, 1.41421, -1.40992e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43115e-17, 0, 0, 6.00354e-17, 0, 4.82681e-18, 0, 1.394e-14, 0, 0, 0
0.11154, 0, 2.32963e-14, 0, 1.41421, -2.32963e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55818e-16, 0, 0, 1.01087e-16, 0, 8.18252e-18, 0, 2.30313e-14, 0, 0, 0
