   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_630.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00533209, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00253396, 0, 2.03982e-23, 0, 1.41421, -2.03982e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07275e-26, 0, 0, 2.87839e-28, 0, 5.87423e-24, 0, 1.4493e-23, 0, 0
0.0104, 0, 5.35464e-23, 0, 1.41421, -5.35464e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.00265e-26, 0, 0, 7.6255e-28, 0, 1.57203e-23, 0, 3.77453e-23, 0, 0
0.0182661, 0, 1.50754e-22, 0, 1.41421, -1.50754e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22752e-25, 0, 0, 2.18075e-27, 0, 4.5466e-23, 0, 1.05063e-22, 0, 0
0.0261321, 0, 3.73035e-22, 0, 1.41421, -3.73035e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4765e-25, 0, 0, 5.44564e-27, 0, 1.14177e-22, 0, 2.58305e-22, 0, 0
0.0339982, 0, 9.05377e-22, 0, 1.41421, -9.05377e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.321e-24, 0, 0, 1.33397e-26, 0, 2.8098e-22, 0, 6.23062e-22, 0, 0
0.0418643, 0, 2.15811e-21, 0, 1.41421, -2.15811e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13009e-24, 0, 0, 3.20969e-26, 0, 6.78609e-22, 0, 1.47634e-21, 0, 0
0.0497303, 0, 5.0578e-21, 0, 1.41421, -5.0578e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29331e-24, 0, 0, 7.59415e-26, 0, 1.61047e-21, 0, 3.43996e-21, 0, 0
0.0575964, 0, 1.16657e-20, 0, 1.41421, -1.16657e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67264e-23, 0, 0, 1.76851e-25, 0, 3.75959e-21, 0, 7.88918e-21, 0, 0
0.0654624, 0, 2.65019e-20, 0, 1.41421, -2.65019e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77864e-23, 0, 0, 4.05705e-25, 0, 8.64138e-21, 0, 1.78223e-20, 0, 0
0.0733285, 0, 5.93448e-20, 0, 1.41421, -5.93448e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.41447e-23, 0, 0, 9.17497e-25, 0, 1.9572e-20, 0, 3.96877e-20, 0, 0
0.0811946, 0, 1.31072e-19, 0, 1.41421, -1.31072e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84819e-22, 0, 0, 2.04679e-24, 0, 4.37128e-20, 0, 8.71719e-20, 0, 0
0.0890606, 0, 2.85699e-19, 0, 1.41421, -2.85699e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00625e-22, 0, 0, 4.50678e-24, 0, 9.63347e-20, 0, 1.88959e-19, 0, 0
0.0969267, 0, 6.14904e-19, 0, 1.41421, -6.14904e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57461e-22, 0, 0, 9.79969e-24, 0, 2.09606e-19, 0, 4.0443e-19, 0, 0
0.104793, 0, 1.3074e-18, 0, 1.41421, -1.3074e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81287e-21, 0, 0, 2.10528e-23, 0, 4.50503e-19, 0, 8.55061e-19, 0, 0
0.112659, 0, 2.74723e-18, 0, 1.41421, -2.74723e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78769e-21, 0, 0, 4.4704e-23, 0, 9.56897e-19, 0, 1.7865e-18, 0, 0
0.120525, 0, 5.70736e-18, 0, 1.41421, -5.70736e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.82331e-21, 0, 0, 9.38607e-23, 0, 2.0095e-18, 0, 3.68994e-18, 0, 0
0.128391, 0, 1.17268e-17, 0, 1.41421, -1.17268e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59793e-20, 0, 0, 1.94926e-22, 0, 4.1738e-18, 0, 7.53679e-18, 0, 0
0.136257, 0, 2.38374e-17, 0, 1.41421, -2.38374e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2285e-20, 0, 0, 4.00535e-22, 0, 8.57718e-18, 0, 1.52275e-17, 0, 0
0.144123, 0, 4.79515e-17, 0, 1.41421, -4.79515e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4541e-20, 0, 0, 8.14543e-22, 0, 1.74447e-17, 0, 3.04414e-17, 0, 0
0.151989, 0, 9.5482e-17, 0, 1.41421, -9.5482e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27693e-19, 0, 0, 1.63984e-21, 0, 3.5125e-17, 0, 6.02277e-17, 0, 0
0.159855, 0, 1.88244e-16, 0, 1.41421, -1.88244e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50085e-19, 0, 0, 3.26893e-21, 0, 7.0035e-17, 0, 1.17955e-16, 0, 0
0.167721, 0, 3.67529e-16, 0, 1.41421, -3.67529e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84933e-19, 0, 0, 6.45376e-21, 0, 1.38314e-16, 0, 2.28724e-16, 0, 0
0.175587, 0, 7.10764e-16, 0, 1.41421, -7.10764e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.31168e-19, 0, 0, 1.26214e-20, 0, 2.70624e-16, 0, 4.39196e-16, 0, 0
0.183453, 0, 1.36176e-15, 0, 1.41421, -1.36176e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77091e-18, 0, 0, 2.44548e-20, 0, 5.24696e-16, 0, 8.35269e-16, 0, 0
0.191319, 0, 2.58519e-15, 0, 1.41421, -2.58519e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33616e-18, 0, 0, 4.6952e-20, 0, 1.00826e-15, 0, 1.57355e-15, 0, 0
0.199185, 0, 4.86377e-15, 0, 1.41421, -4.86377e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.22647e-18, 0, 0, 8.93388e-20, 0, 1.92065e-15, 0, 2.93681e-15, 0, 0
0.207052, 0, 9.06997e-15, 0, 1.41421, -9.06997e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15142e-17, 0, 0, 1.68493e-19, 0, 3.62745e-15, 0, 5.43084e-15, 0, 0
0.214918, 0, 1.6767e-14, 0, 1.41421, -1.6767e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10994e-17, 0, 0, 3.15035e-19, 0, 6.79373e-15, 0, 9.95186e-15, 0, 0
0.222784, 0, 3.07312e-14, 0, 1.41421, -3.07312e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83173e-17, 0, 0, 5.84014e-19, 0, 1.26193e-14, 0, 1.8073e-14, 0, 0
0.23065, 0, 5.58517e-14, 0, 1.41421, -5.58517e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89687e-17, 0, 0, 1.07359e-18, 0, 2.32514e-14, 0, 3.25302e-14, 0, 0
0.238516, 0, 1.00665e-13, 0, 1.41421, -1.00665e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23049e-16, 0, 0, 1.95729e-18, 0, 4.25022e-14, 0, 5.80379e-14, 0, 0
0.246382, 0, 1.79955e-13, 0, 1.41421, -1.79955e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17625e-16, 0, 0, 3.53953e-18, 0, 7.70876e-14, 0, 1.02646e-13, 0, 0
0.254248, 0, 3.19121e-13, 0, 1.41421, -3.19121e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81575e-16, 0, 0, 6.34997e-18, 0, 1.3876e-13, 0, 1.79973e-13, 0, 0
0.262114, 0, 5.61441e-13, 0, 1.41421, -5.61441e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.63314e-16, 0, 0, 1.13032e-17, 0, 2.47912e-13, 0, 3.12854e-13, 0, 0
0.26998, 0, 9.80087e-13, 0, 1.41421, -9.80087e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14329e-15, 0, 0, 1.99669e-17, 0, 4.39699e-13, 0, 5.39225e-13, 0, 0
0.277846, 0, 1.70041e-12, 0, 1.41421, -1.70041e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9556e-15, 0, 0, 3.50849e-17, 0, 7.76114e-13, 0, 9.22304e-13, 0, 0
0.285712, 0, 2.92328e-12, 0, 1.41421, -2.92328e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31396e-15, 0, 0, 6.10686e-17, 0, 1.35705e-12, 0, 1.56286e-12, 0, 0
0.293578, 0, 4.98889e-12, 0, 1.41421, -4.98889e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56933e-15, 0, 0, 1.0556e-16, 0, 2.3569e-12, 0, 2.62631e-12, 0, 0
0.301444, 0, 8.45328e-12, 0, 1.41421, -8.45328e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28261e-15, 0, 0, 1.81249e-16, 0, 4.06683e-12, 0, 4.37699e-12, 0, 0
0.30931, 0, 1.42238e-11, 0, 1.41421, -1.42238e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53452e-14, 0, 0, 3.09232e-16, 0, 6.97336e-12, 0, 7.23481e-12, 0, 0
