   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_641.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.000791882, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00706984, 0, 4.95711e-19, 0, 1.41421, -4.95711e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83656e-24, 0, 1.22876e-19, 0, 3.72833e-19, 0, 0
0.0149316, 0, 9.69126e-19, 0, 1.41421, -9.69126e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.6298e-24, 0, 2.43546e-19, 0, 7.25577e-19, 0, 0
0.0227933, 0, 1.87757e-18, 0, 1.41421, -1.87757e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.10966e-24, 0, 4.78377e-19, 0, 1.39919e-18, 0, 0
0.030655, 0, 3.6057e-18, 0, 1.41421, -3.6057e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38043e-23, 0, 9.3146e-19, 0, 2.67422e-18, 0, 0
0.0385167, 0, 6.9878e-18, 0, 1.41421, -6.9878e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71329e-23, 0, 1.83791e-18, 0, 5.14986e-18, 0, 0
0.0463784, 0, 1.31718e-17, 0, 1.41421, -1.31718e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1704e-23, 0, 3.51274e-18, 0, 9.65898e-18, 0, 0
0.0542401, 0, 2.46302e-17, 0, 1.41421, -2.46302e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.77444e-23, 0, 6.66125e-18, 0, 1.79688e-17, 0, 0
0.0621019, 0, 4.56965e-17, 0, 1.41421, -4.56965e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83344e-22, 0, 1.25354e-17, 0, 3.3161e-17, 0, 0
0.0699636, 0, 8.41321e-17, 0, 1.41421, -8.41321e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41287e-22, 0, 2.34138e-17, 0, 6.0718e-17, 0, 0
0.0778253, 0, 1.53732e-16, 0, 1.41421, -1.53732e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30535e-22, 0, 4.3414e-17, 0, 1.10318e-16, 0, 0
0.085687, 0, 2.78839e-16, 0, 1.41421, -2.78839e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15636e-21, 0, 7.99244e-17, 0, 1.98913e-16, 0, 0
0.0935487, 0, 5.02093e-16, 0, 1.41421, -5.02093e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10533e-21, 0, 1.46113e-16, 0, 3.55978e-16, 0, 0
0.10141, 0, 8.97653e-16, 0, 1.41421, -8.97653e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80579e-21, 0, 2.65288e-16, 0, 6.32361e-16, 0, 0
0.109272, 0, 1.5936e-15, 0, 1.41421, -1.5936e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.83142e-21, 0, 4.78436e-16, 0, 1.11515e-15, 0, 0
0.117134, 0, 2.80956e-15, 0, 1.41421, -2.80956e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21776e-20, 0, 8.57154e-16, 0, 1.95239e-15, 0, 0
0.124996, 0, 4.91963e-15, 0, 1.41421, -4.91963e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15592e-20, 0, 1.52572e-15, 0, 3.3939e-15, 0, 0
