   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_650.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00272976, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00513159, 0, 8.41576e-19, 0, 1.41421, -8.41576e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08786e-19, 0, 6.3279e-19, 0, 0
0.0129929, 0, 1.62434e-18, 0, 1.41421, -1.62434e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09083e-19, 0, 1.21526e-18, 0, 0
0.0208543, 0, 3.10783e-18, 0, 1.41421, -3.10783e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94554e-19, 0, 2.31328e-18, 0, 0
0.0287156, 0, 5.8957e-18, 0, 1.41421, -5.8957e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53022e-18, 0, 4.36548e-18, 0, 0
0.036577, 0, 1.10918e-17, 0, 1.41421, -1.10918e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92287e-18, 0, 8.16896e-18, 0, 0
0.0444383, 0, 2.06988e-17, 0, 1.41421, -2.06988e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53843e-18, 0, 1.51604e-17, 0, 0
0.0522997, 0, 3.83218e-17, 0, 1.41421, -3.83218e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04131e-17, 0, 2.79087e-17, 0, 0
0.060161, 0, 7.04003e-17, 0, 1.41421, -7.04003e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94301e-17, 0, 5.09702e-17, 0, 0
0.0680224, 0, 1.28353e-16, 0, 1.41421, -1.28353e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59877e-17, 0, 9.23651e-17, 0, 0
0.0758837, 0, 2.32275e-16, 0, 1.41421, -2.32275e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.61747e-17, 0, 1.661e-16, 0, 0
0.0837451, 0, 4.17281e-16, 0, 1.41421, -4.17281e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20826e-16, 0, 2.96455e-16, 0, 0
0.0916064, 0, 7.44293e-16, 0, 1.41421, -7.44293e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19095e-16, 0, 5.25198e-16, 0, 0
0.0994678, 0, 1.31826e-15, 0, 1.41421, -1.31826e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94608e-16, 0, 9.23654e-16, 0, 0
0.107329, 0, 2.31877e-15, 0, 1.41421, -2.31877e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06034e-16, 0, 1.61273e-15, 0, 0
0.11519, 0, 4.05097e-15, 0, 1.41421, -4.05097e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25507e-15, 0, 2.7959e-15, 0, 0
0.123052, 0, 7.03002e-15, 0, 1.41421, -7.03002e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21691e-15, 0, 4.81311e-15, 0, 0
0.130913, 0, 1.21198e-14, 0, 1.41421, -1.21198e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89148e-15, 0, 8.22827e-15, 0, 0
0.138775, 0, 2.07595e-14, 0, 1.41421, -2.07595e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78923e-15, 0, 1.39702e-14, 0, 0
0.146636, 0, 3.53317e-14, 0, 1.41421, -3.53317e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17736e-14, 0, 2.35581e-14, 0, 0
0.154497, 0, 5.97555e-14, 0, 1.41421, -5.97555e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02966e-14, 0, 3.94589e-14, 0, 0
0.162359, 0, 1.00437e-13, 0, 1.41421, -1.00437e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4786e-14, 0, 6.56515e-14, 0, 0
0.17022, 0, 1.67785e-13, 0, 1.41421, -1.67785e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92773e-14, 0, 1.08508e-13, 0, 0
0.178081, 0, 2.78605e-13, 0, 1.41421, -2.78605e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00442e-13, 0, 1.78164e-13, 0, 0
0.185943, 0, 4.59887e-13, 0, 1.41421, -4.59887e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69261e-13, 0, 2.90627e-13, 0, 0
0.193804, 0, 7.54693e-13, 0, 1.41421, -7.54693e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83681e-13, 0, 4.71012e-13, 0, 0
0.201665, 0, 1.23136e-12, 0, 1.41421, -1.23136e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7291e-13, 0, 7.58445e-13, 0, 0
0.209527, 0, 1.99769e-12, 0, 1.41421, -1.99769e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84222e-13, 0, 1.21347e-12, 0, 0
0.217388, 0, 3.2229e-12, 0, 1.41421, -3.2229e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29377e-12, 0, 1.92913e-12, 0, 0
0.225249, 0, 5.17107e-12, 0, 1.41421, -5.17107e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12363e-12, 0, 3.04743e-12, 0, 0
0.233111, 0, 8.25228e-12, 0, 1.41421, -8.25228e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46859e-12, 0, 4.78369e-12, 0, 0
0.240972, 0, 1.31002e-11, 0, 1.41421, -1.31002e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63808e-12, 0, 7.4621e-12, 0, 0
0.248833, 0, 2.06891e-11, 0, 1.41421, -2.06891e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12159e-12, 0, 1.15675e-11, 0, 0
0.256695, 0, 3.25106e-11, 0, 1.41421, -3.25106e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46904e-11, 0, 1.78202e-11, 0, 0
0.264556, 0, 5.08381e-11, 0, 1.41421, -5.08381e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35553e-11, 0, 2.72829e-11, 0, 0
0.272418, 0, 7.91231e-11, 0, 1.41421, -7.91231e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76101e-11, 0, 4.1513e-11, 0, 0
0.280279, 0, 1.22699e-10, 4.11982e-43, 1.41421, -1.22699e-10, 4.11982e-43, 0, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 4.11982e-43, 5.99105e-11, 4.11982e-43, 6.27889e-11, 4.11982e-43, 4.11982e-43
0.28814, 0, 1.89272e-10, 6.80611e-42, 1.41421, -1.89272e-10, 6.80611e-42, 0, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 6.80611e-42, 9.49018e-11, 6.80611e-42, 9.437e-11, 6.80611e-42, 6.80611e-42
0.296002, 0, 2.90756e-10, 9.35549e-41, 1.41421, -2.90756e-10, 9.35549e-41, 0, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 9.35549e-41, 1.49782e-10, 9.35549e-41, 1.40974e-10, 9.35549e-41, 9.35549e-41
0.303863, 0, 4.44905e-10, 1.14427e-39, 1.41421, -4.44905e-10, 1.14427e-39, 0, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 1.14427e-39, 2.35587e-10, 1.14427e-39, 2.09318e-10, 1.14427e-39, 1.14427e-39
0.311724, 0, 6.78279e-10, 1.25301e-38, 1.41421, -6.78279e-10, 1.25301e-38, 0, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 1.25301e-38, 3.69356e-10, 1.25301e-38, 3.08923e-10, 1.25301e-38, 1.25301e-38
0.319586, 0, 1.03054e-09, 1.24301e-37, 1.41421, -1.03054e-09, 1.24301e-37, 0, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 1.24301e-37, 5.7735e-10, 1.24301e-37, 4.53193e-10, 1.24301e-37, 1.24301e-37
0.327447, 0, 1.56086e-09, 1.12219e-36, 1.41421, -1.56086e-09, 1.12219e-36, 0, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 1.12219e-36, 8.99982e-10, 1.12219e-36, 6.60874e-10, 1.12219e-36, 1.12219e-36
0.335308, 0, 2.35734e-09, 9.27256e-36, 1.41421, -2.35734e-09, 9.27256e-36, 0, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 9.27256e-36, 1.39934e-09, 9.27256e-36, 9.58002e-10, 9.27256e-36, 9.27256e-36
0.34317, 0, 3.55124e-09, 7.04057e-35, 1.41421, -3.55124e-09, 7.04057e-35, 0, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 7.04057e-35, 2.17072e-09, 7.04057e-35, 1.38052e-09, 7.04057e-35, 7.04057e-35
0.351031, 0, 5.33785e-09, 4.84779e-34, 1.41421, -5.33785e-09, 4.84779e-34, 0, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 4.84779e-34, 3.36014e-09, 4.84779e-34, 1.97771e-09, 4.84779e-34, 4.84779e-34
0.358892, 0, 8.00781e-09, 3.26799e-33, 1.41421, -8.00781e-09, 3.26799e-33, 0, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 3.26799e-33, 5.19112e-09, 3.26799e-33, 2.81669e-09, 3.26799e-33, 3.26799e-33
0.366754, 0, 1.19936e-08, 1.81775e-32, 1.41421, -1.19936e-08, 1.81775e-32, 0, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 1.81775e-32, 8.00528e-09, 1.81775e-32, 3.9883e-09, 1.81775e-32, 1.81775e-32
0.374615, 0, 1.79386e-08, 9.57665e-32, 1.41421, -1.79386e-08, 9.57665e-32, 0, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 9.57665e-32, 1.23239e-08, 9.57665e-32, 5.6147e-09, 9.57665e-32, 9.57665e-32
0.382476, 0, 2.67999e-08, 5.07833e-31, 1.41421, -2.67999e-08, 5.07833e-31, 0, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 5.07833e-31, 1.89408e-08, 5.07833e-31, 7.85909e-09, 5.07833e-31, 5.07833e-31
0.390338, 0, 4.00004e-08, 2.58957e-30, 1.41421, -4.00004e-08, 2.58957e-30, 0, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.58957e-30, 2.90623e-08, 2.58957e-30, 1.09381e-08, 2.58957e-30, 2.58957e-30
0.398199, 0, 5.96543e-08, 1.25027e-29, 1.41421, -5.96543e-08, 1.25027e-29, 0, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 1.25027e-29, 4.45167e-08, 1.25027e-29, 1.51376e-08, 1.25027e-29, 1.25027e-29
0.40606, 0, 8.8898e-08, 5.73563e-29, 1.41421, -8.8898e-08, 5.73563e-29, 0, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 5.73563e-29, 6.8066e-08, 5.73563e-29, 2.08321e-08, 5.73563e-29, 5.73563e-29
0.413922, 0, 1.32378e-07, 2.5443e-28, 1.41421, -1.32378e-07, 2.5443e-28, 0, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 2.5443e-28, 1.03868e-07, 2.5443e-28, 2.85097e-08, 2.5443e-28, 2.5443e-28
0.421783, 0, 1.96959e-07, 1.07983e-27, 1.41421, -1.96959e-07, 1.07983e-27, 0, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.07983e-27, 1.58157e-07, 1.07983e-27, 3.88024e-08, 1.07983e-27, 1.07983e-27
0.429644, 0, 2.92758e-07, 4.36817e-27, 1.41421, -2.92758e-07, 4.36817e-27, 0, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 4.36817e-27, 2.40234e-07, 4.36817e-27, 5.25231e-08, 4.36817e-27, 4.36817e-27
0.437506, 0, 4.34623e-07, 1.68658e-26, 1.41421, -4.34623e-07, 1.68658e-26, 0, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 1.68658e-26, 3.63912e-07, 1.68658e-26, 7.07116e-08, 1.68658e-26, 1.68658e-26
