   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_678.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00515926, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.002705, 0, 1.30249e-20, 0, 1.41421, -1.30249e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15437e-25, 0, 2.8119e-21, 0, 1.02129e-20, 0, 0, 0
0.0105693, 0, 2.79952e-20, 0, 1.41421, -2.79952e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51424e-25, 0, 6.12735e-21, 0, 2.18676e-20, 0, 0, 0
0.0184335, 0, 5.94309e-20, 0, 1.41421, -5.94309e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40879e-25, 0, 1.31849e-20, 0, 4.62455e-20, 0, 0, 0
0.0262978, 0, 1.24676e-19, 0, 1.41421, -1.24676e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14986e-24, 0, 2.8032e-20, 0, 9.66427e-20, 0, 0, 0
0.034162, 0, 2.66913e-19, 0, 1.41421, -2.66913e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50774e-24, 0, 6.11253e-20, 0, 2.05785e-19, 0, 0, 0
0.0420263, 0, 5.45886e-19, 0, 1.41421, -5.45886e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19653e-24, 0, 1.26659e-19, 0, 4.19221e-19, 0, 0, 0
0.0498906, 0, 1.10495e-18, 0, 1.41421, -1.10495e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06577e-23, 0, 2.59757e-19, 0, 8.45184e-19, 0, 0, 0
0.0577548, 0, 2.21427e-18, 0, 1.41421, -2.21427e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16407e-23, 0, 5.27432e-19, 0, 1.68682e-18, 0, 0, 0
0.0656191, 0, 4.39426e-18, 0, 1.41421, -4.39426e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35169e-23, 0, 1.06064e-18, 0, 3.33357e-18, 0, 0, 0
0.0734834, 0, 8.6382e-18, 0, 1.41421, -8.6382e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66839e-23, 0, 2.11304e-18, 0, 6.52508e-18, 0, 0, 0
0.0813476, 0, 1.68246e-17, 0, 1.41421, -1.68246e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71085e-22, 0, 4.17149e-18, 0, 1.26529e-17, 0, 0, 0
0.0892119, 0, 3.24745e-17, 0, 1.41421, -3.24745e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34638e-22, 0, 8.16262e-18, 0, 2.43115e-17, 0, 0, 0
0.0970761, 0, 6.21308e-17, 0, 1.41421, -6.21308e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48804e-22, 0, 1.58351e-17, 0, 4.6295e-17, 0, 0, 0
0.10494, 0, 1.17847e-16, 0, 1.41421, -1.17847e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24711e-21, 0, 3.04618e-17, 0, 8.73836e-17, 0, 0, 0
0.112805, 0, 2.2164e-16, 0, 1.41421, -2.2164e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37696e-21, 0, 5.81188e-17, 0, 1.63519e-16, 0, 0, 0
0.120669, 0, 4.13397e-16, 0, 1.41421, -4.13397e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49295e-21, 0, 1.09998e-16, 0, 3.03394e-16, 0, 0, 0
0.128533, 0, 7.64791e-16, 0, 1.41421, -7.64791e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.42362e-21, 0, 2.06555e-16, 0, 5.58228e-16, 0, 0, 0
0.136397, 0, 1.40356e-15, 0, 1.41421, -1.40356e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56666e-20, 0, 3.84886e-16, 0, 1.01866e-15, 0, 0, 0
0.144262, 0, 2.55559e-15, 0, 1.41421, -2.55559e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89081e-20, 0, 7.11778e-16, 0, 1.84378e-15, 0, 0, 0
0.152126, 0, 4.61717e-15, 0, 1.41421, -4.61717e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29273e-20, 0, 1.30657e-15, 0, 3.31055e-15, 0, 0, 0
0.15999, 0, 8.27821e-15, 0, 1.41421, -8.27821e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.61619e-20, 0, 2.38098e-15, 0, 5.89713e-15, 0, 0, 0
0.167855, 0, 1.47307e-14, 0, 1.41421, -1.47307e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73401e-19, 0, 4.30797e-15, 0, 1.04225e-14, 0, 0, 0
0.175719, 0, 2.60183e-14, 0, 1.41421, -2.60183e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10363e-19, 0, 7.73987e-15, 0, 1.82781e-14, 0, 0, 0
0.183583, 0, 4.56193e-14, 0, 1.41421, -4.56193e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51445e-19, 0, 1.38099e-14, 0, 3.18089e-14, 0, 0, 0
0.191447, 0, 7.94106e-14, 0, 1.41421, -7.94106e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.72741e-19, 0, 2.44734e-14, 0, 5.49363e-14, 0, 0, 0
0.199312, 0, 1.37248e-13, 0, 1.41421, -1.37248e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70373e-18, 0, 4.30815e-14, 0, 9.41651e-14, 0, 0, 0
0.207176, 0, 2.35546e-13, 0, 1.41421, -2.35546e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96322e-18, 0, 7.53411e-14, 0, 1.60202e-13, 0, 0, 0
0.21504, 0, 4.01455e-13, 0, 1.41421, -4.01455e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11841e-18, 0, 1.30916e-13, 0, 2.70534e-13, 0, 0, 0
0.222904, 0, 6.79556e-13, 0, 1.41421, -6.79556e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.78155e-18, 0, 2.26053e-13, 0, 4.53494e-13, 0, 0, 0
0.230769, 0, 1.14257e-12, 0, 1.41421, -1.14257e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49669e-17, 0, 3.87914e-13, 0, 7.54645e-13, 0, 0, 0
0.238633, 0, 1.90835e-12, 0, 1.41421, -1.90835e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53443e-17, 0, 6.61642e-13, 0, 1.24668e-12, 0, 0, 0
0.246497, 0, 3.16658e-12, 0, 1.41421, -3.16658e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2647e-17, 0, 1.12184e-12, 0, 2.0447e-12, 0, 0, 0
0.254361, 0, 5.22074e-12, 0, 1.41421, -5.22074e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13258e-17, 0, 1.89113e-12, 0, 3.32954e-12, 0, 0, 0
