   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_69.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0105044, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00260127, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00530185, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.013205, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0211081, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0290112, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0369143, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0448175, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0527206, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0606237, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0685268, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0764299, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0843331, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0922362, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.100139, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.108042, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.115946, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.123849, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.131752, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.139655, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.147558, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.155461, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.163364, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.171267, 0, 1.01821e-29, 0, 1.41421, -1.01821e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06659e-32, 0, 0, 2.14789e-34, 1.78574e-35, 0, 1.01312e-29, 0, 0, 0
0.179171, 0, 1.25279e-28, 0, 1.41421, -1.25279e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2337e-31, 0, 0, 2.64266e-33, 3.58107e-33, 0, 1.2465e-28, 0, 0, 0
0.187074, 0, 9.67069e-28, 0, 1.41421, -9.67069e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.81191e-30, 0, 0, 2.03992e-32, 4.27756e-32, 0, 9.62193e-28, 0, 0, 0
0.194977, 0, 5.95534e-27, 0, 1.41421, -5.95534e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9632e-29, 0, 0, 1.25692e-31, 3.26358e-31, 0, 5.92525e-27, 0, 0, 0
0.20288, 0, 4.36757e-26, 0, 1.41421, -4.36757e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17315e-28, 0, 0, 9.25415e-31, 2.96303e-30, 0, 4.34545e-26, 0, 0, 0
0.210783, 0, 1.99351e-25, 0, 1.41421, -1.99351e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91897e-28, 0, 0, 4.2362e-30, 1.45534e-29, 0, 1.98341e-25, 0, 0, 0
0.218686, 0, 8.54412e-25, 0, 1.41421, -8.54412e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25121e-27, 0, 0, 1.8216e-29, 6.62106e-29, 0, 8.50077e-25, 0, 0, 0
0.226589, 0, 3.47207e-24, 0, 1.41421, -3.47207e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72756e-26, 0, 0, 7.42916e-29, 2.82989e-28, 0, 3.45444e-24, 0, 0, 0
0.234492, 0, 1.34704e-23, 0, 1.41421, -1.34704e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.70227e-26, 0, 0, 2.89345e-28, 1.14718e-27, 0, 1.34019e-23, 0, 0, 0
0.242395, 0, 5.01517e-23, 0, 1.41421, -5.01517e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49532e-25, 0, 0, 1.08173e-27, 4.44108e-27, 0, 4.98967e-23, 0, 0, 0
0.250299, 0, 1.79904e-22, 0, 1.41421, -1.79904e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95119e-25, 0, 0, 3.89752e-27, 1.6503e-26, 0, 1.78989e-22, 0, 0, 0
0.258202, 0, 6.23764e-22, 0, 1.41421, -6.23764e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10354e-24, 0, 0, 1.35767e-26, 5.90977e-26, 0, 6.20587e-22, 0, 0, 0
