   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00405626, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0118955, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0197347, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0275738, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.035413, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0432522, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0510914, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0589306, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0667698, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.074609, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0824482, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0902874, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0981266, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.105966, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.113805, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.121644, 0, 5.9772e-30, 0, 1.41421, -5.9772e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.73681e-32, 0, 0, 7.17056e-35, 2.34939e-35, 0, 5.90973e-30, 0, 0, 0
0.129483, 0, 6.76489e-29, 0, 1.41421, -6.76489e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.62411e-31, 0, 0, 8.11499e-34, 4.6936e-33, 0, 6.6881e-29, 0, 0, 0
0.137323, 0, 4.80772e-28, 0, 1.41421, -4.80772e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41815e-30, 0, 0, 5.767e-33, 5.16084e-32, 0, 4.75297e-28, 0, 0, 0
0.145162, 0, 2.73053e-27, 0, 1.41421, -2.73053e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07715e-29, 0, 0, 3.27756e-32, 3.62602e-31, 0, 2.69936e-27, 0, 0, 0
0.153001, 0, 1.34995e-26, 0, 1.41421, -1.34995e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52129e-28, 0, 0, 1.62383e-31, 2.04595e-30, 0, 1.33452e-26, 0, 0, 0
0.16084, 0, 6.0529e-26, 0, 1.41421, -6.0529e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82103e-28, 0, 0, 7.30477e-31, 1.00691e-29, 0, 5.98361e-26, 0, 0, 0
0.168679, 0, 2.51878e-25, 0, 1.41421, -2.51878e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83838e-27, 0, 0, 3.05204e-30, 4.49879e-29, 0, 2.48991e-25, 0, 0, 0
0.176519, 0, 9.86807e-25, 0, 1.41421, -9.86807e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11201e-26, 0, 0, 1.20121e-29, 1.8668e-28, 0, 9.75488e-25, 0, 0, 0
0.184358, 0, 3.6751e-24, 0, 1.41421, -3.6751e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14135e-26, 0, 0, 4.49586e-29, 7.29685e-28, 0, 3.63291e-24, 0, 0, 0
0.192197, 0, 1.31e-23, 0, 1.41421, -1.31e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47619e-25, 0, 0, 1.61107e-28, 2.71225e-27, 0, 1.29496e-23, 0, 0, 0
0.200036, 0, 4.49209e-23, 0, 1.41421, -4.49209e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0619e-25, 0, 0, 5.55537e-28, 9.65205e-27, 0, 4.44045e-23, 0, 0, 0
0.207875, 0, 1.49265e-22, 0, 1.41421, -1.49265e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68197e-24, 0, 0, 1.85795e-27, 3.32225e-26, 0, 1.47548e-22, 0, 0, 0
0.215715, 0, 4.80037e-22, 0, 1.41421, -4.80037e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4092e-24, 0, 0, 6.01501e-27, 1.1029e-25, 0, 4.74511e-22, 0, 0, 0
0.223554, 0, 1.49839e-21, 0, 1.41421, -1.49839e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68842e-23, 0, 0, 1.89041e-26, 3.54403e-25, 0, 1.48113e-21, 0, 0, 0
0.231393, 0, 4.54969e-21, 0, 1.41421, -4.54969e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12666e-23, 0, 0, 5.78063e-26, 1.10542e-24, 0, 4.49726e-21, 0, 0, 0
0.239232, 0, 1.34629e-20, 0, 1.41421, -1.34629e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51701e-22, 0, 0, 1.72303e-25, 3.35426e-24, 0, 1.33076e-20, 0, 0, 0
0.247071, 0, 3.88819e-20, 0, 1.41421, -3.88819e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38122e-22, 0, 0, 5.01391e-25, 9.91968e-24, 0, 3.84334e-20, 0, 0, 0
