   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_764.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0543117, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0463082, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0383047, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0303012, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0222977, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0142942, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00629074, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00171275, 0, 2.23798e-22, 0, 1.41421, -2.23798e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46142e-24, 0, 0, 9.83232e-26, 0, 0, 2.22238e-22, 0, 0, 0
0.00971626, 0, 5.24573e-22, 0, 1.41421, -5.24573e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42548e-24, 0, 0, 2.33264e-25, 0, 0, 5.20915e-22, 0, 0, 0
0.0177198, 0, 1.21005e-21, 0, 1.41421, -1.21005e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.90162e-24, 0, 0, 5.44673e-25, 0, 0, 1.2016e-21, 0, 0, 0
0.0257233, 0, 2.7495e-21, 0, 1.41421, -2.7495e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79542e-23, 0, 0, 1.25295e-24, 0, 0, 2.73029e-21, 0, 0, 0
0.0337268, 0, 6.15905e-21, 0, 1.41421, -6.15905e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02181e-23, 0, 0, 2.84184e-24, 0, 0, 6.11599e-21, 0, 0, 0
0.0417302, 0, 1.36111e-20, 0, 1.41421, -1.36111e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88791e-23, 0, 0, 6.35989e-24, 0, 0, 1.35159e-20, 0, 0, 0
0.0497337, 0, 2.96935e-20, 0, 1.41421, -2.96935e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93894e-22, 0, 0, 1.40525e-23, 0, 0, 2.94856e-20, 0, 0, 0
0.0577372, 0, 6.39825e-20, 0, 1.41421, -6.39825e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17794e-22, 0, 0, 3.06735e-23, 0, 0, 6.3534e-20, 0, 0, 0
0.0657407, 0, 1.36239e-19, 0, 1.41421, -1.36239e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89611e-22, 0, 0, 6.61742e-23, 0, 0, 1.35284e-19, 0, 0, 0
0.0737442, 0, 2.868e-19, 0, 1.41421, -2.868e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87272e-21, 0, 0, 1.41166e-22, 0, 0, 2.84786e-19, 0, 0, 0
0.0817477, 0, 6.12702e-19, 0, 1.41421, -6.12702e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00074e-21, 0, 0, 3.07151e-22, 0, 0, 6.08394e-19, 0, 0, 0
0.0897512, 0, 1.25849e-18, 0, 1.41421, -1.25849e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21746e-21, 0, 0, 6.39418e-22, 0, 0, 1.24963e-18, 0, 0, 0
0.0977547, 0, 2.55895e-18, 0, 1.41421, -2.55895e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67089e-20, 0, 0, 1.31804e-21, 0, 0, 2.54092e-18, 0, 0, 0
0.105758, 0, 5.15228e-18, 0, 1.41421, -5.15228e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36419e-20, 0, 0, 2.69091e-21, 0, 0, 5.11594e-18, 0, 0, 0
0.113762, 0, 1.02745e-17, 0, 1.41421, -1.02745e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.70869e-20, 0, 0, 5.44253e-21, 0, 0, 1.02019e-17, 0, 0, 0
0.121765, 0, 2.02972e-17, 0, 1.41421, -2.02972e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32529e-19, 0, 0, 1.09077e-20, 0, 0, 2.01538e-17, 0, 0, 0
0.129769, 0, 3.97292e-17, 0, 1.41421, -3.97292e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59407e-19, 0, 0, 2.1666e-20, 0, 0, 3.94481e-17, 0, 0, 0
0.137772, 0, 7.70646e-17, 0, 1.41421, -7.70646e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03179e-19, 0, 0, 4.266e-20, 0, 0, 7.65188e-17, 0, 0, 0
0.145776, 0, 1.48164e-16, 0, 1.41421, -1.48164e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67398e-19, 0, 0, 8.32789e-20, 0, 0, 1.47113e-16, 0, 0, 0
0.153779, 0, 2.82377e-16, 0, 1.41421, -2.82377e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84369e-18, 0, 0, 1.61207e-19, 0, 0, 2.80372e-16, 0, 0, 0
