   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_765.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.00695957, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0148854, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0228113, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0307371, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.038663, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0465889, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0545147, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0624406, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0703664, 0, 1.31382e-30, 0, 1.41421, -1.31382e-30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08944e-32, 0, 0, 9.91426e-34, 0, 2.0563e-36, 0, 1.30193e-30, 0, 0
0.0782923, 0, 1.45413e-29, 0, 1.41421, -1.45413e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20578e-31, 0, 0, 1.0973e-32, 0, 2.4543e-34, 0, 1.44095e-29, 0, 0
0.0862182, 0, 1.01027e-28, 0, 1.41421, -1.01027e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.37717e-31, 0, 0, 7.62349e-32, 0, 2.76768e-33, 0, 1.00111e-28, 0, 0
0.094144, 0, 5.60991e-28, 0, 1.41421, -5.60991e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65169e-30, 0, 0, 4.23319e-31, 0, 1.96243e-32, 0, 5.55897e-28, 0, 0
0.10207, 0, 2.71277e-27, 0, 1.41421, -2.71277e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24939e-29, 0, 0, 2.04867e-30, 0, 1.10664e-31, 0, 2.68811e-27, 0, 0
0.109996, 0, 1.19042e-26, 0, 1.41421, -1.19042e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87071e-29, 0, 0, 9.00562e-30, 0, 5.41442e-31, 0, 1.17959e-26, 0, 0
0.117922, 0, 4.8513e-26, 0, 1.41421, -4.8513e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02258e-28, 0, 0, 3.6792e-29, 0, 2.3979e-30, 0, 4.80716e-26, 0, 0
0.125847, 0, 1.86272e-25, 0, 1.41421, -1.86272e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54451e-27, 0, 0, 1.41697e-28, 0, 9.84559e-30, 0, 1.84575e-25, 0, 0
0.133773, 0, 6.80376e-25, 0, 1.41421, -6.80376e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64146e-27, 0, 0, 5.19352e-28, 0, 3.80445e-29, 0, 6.74178e-25, 0, 0
0.141699, 0, 2.38032e-24, 0, 1.41421, -2.38032e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97367e-26, 0, 0, 1.82387e-27, 0, 1.39739e-28, 0, 2.35862e-24, 0, 0
0.149625, 0, 8.01686e-24, 0, 1.41421, -8.01686e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64724e-26, 0, 0, 6.16797e-27, 0, 4.91336e-28, 0, 7.94373e-24, 0, 0
0.157551, 0, 2.60944e-23, 0, 1.41421, -2.60944e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16362e-25, 0, 0, 2.01644e-26, 0, 1.66242e-27, 0, 2.58562e-23, 0, 0
0.165477, 0, 8.23375e-23, 0, 1.41421, -8.23375e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82699e-25, 0, 0, 6.39226e-26, 0, 5.43428e-27, 0, 8.15854e-23, 0, 0
0.173403, 0, 2.52485e-22, 0, 1.41421, -2.52485e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09346e-24, 0, 0, 1.96984e-25, 0, 1.72167e-26, 0, 2.50178e-22, 0, 0
0.181329, 0, 7.53969e-22, 0, 1.41421, -7.53969e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.25144e-24, 0, 0, 5.91295e-25, 0, 5.29995e-26, 0, 7.47073e-22, 0, 0
0.189254, 0, 2.19629e-21, 0, 1.41421, -2.19629e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82102e-23, 0, 0, 1.73189e-24, 0, 1.58861e-25, 0, 2.17619e-21, 0, 0
0.19718, 0, 6.24996e-21, 0, 1.41421, -6.24996e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18201e-23, 0, 0, 4.95689e-24, 0, 4.64459e-25, 0, 6.19272e-21, 0, 0
0.205106, 0, 1.7396e-20, 0, 1.41421, -1.7396e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44234e-22, 0, 0, 1.38808e-23, 0, 1.3265e-24, 0, 1.72366e-20, 0, 0
0.213032, 0, 4.74101e-20, 0, 1.41421, -4.74101e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93085e-22, 0, 0, 3.80714e-23, 0, 3.70548e-24, 0, 4.69753e-20, 0, 0
0.220958, 0, 1.26632e-19, 0, 1.41421, -1.26632e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04992e-21, 0, 0, 1.0237e-22, 0, 1.01354e-23, 0, 1.25469e-19, 0, 0
0.228884, 0, 3.31753e-19, 0, 1.41421, -3.31753e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75057e-21, 0, 0, 2.70081e-22, 0, 2.71706e-23, 0, 3.28705e-19, 0, 0
0.23681, 0, 8.53085e-19, 0, 1.41421, -8.53085e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.07289e-21, 0, 0, 6.99633e-22, 0, 7.14475e-23, 0, 8.45241e-19, 0, 0
0.244735, 0, 2.1545e-18, 0, 1.41421, -2.1545e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78627e-20, 0, 0, 1.78067e-21, 0, 1.84424e-22, 0, 2.13467e-18, 0, 0
0.252661, 0, 5.34708e-18, 0, 1.41421, -5.34708e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43317e-20, 0, 0, 4.45532e-21, 0, 4.67599e-22, 0, 5.29782e-18, 0, 0
0.260587, 0, 1.30472e-17, 0, 1.41421, -1.30472e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08171e-19, 0, 0, 1.09643e-20, 0, 1.16522e-21, 0, 1.29269e-17, 0, 0
0.268513, 0, 3.13141e-17, 0, 1.41421, -3.13141e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59615e-19, 0, 0, 2.65517e-20, 0, 2.85521e-21, 0, 3.10251e-17, 0, 0
0.276439, 0, 7.39526e-17, 0, 1.41421, -7.39526e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13109e-19, 0, 0, 6.32977e-20, 0, 6.88287e-21, 0, 7.32693e-17, 0, 0
0.284365, 0, 1.71913e-16, 0, 1.41421, -1.71913e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42524e-18, 0, 0, 1.48605e-19, 0, 1.63298e-20, 0, 1.70323e-16, 0, 0
0.292291, 0, 3.96513e-16, 0, 1.41421, -3.96513e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28723e-18, 0, 0, 3.46867e-19, 0, 3.85316e-20, 0, 3.92841e-16, 0, 0
0.300216, 0, 8.92867e-16, 0, 1.41421, -8.92867e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40204e-18, 0, 0, 7.89568e-19, 0, 8.85224e-20, 0, 8.84587e-16, 0, 0
0.308142, 0, 1.9811e-15, 0, 1.41421, -1.9811e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64234e-17, 0, 0, 1.77195e-18, 0, 2.00406e-19, 0, 1.9627e-15, 0, 0
0.316068, 0, 4.3322e-15, 0, 1.41421, -4.3322e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59135e-17, 0, 0, 3.92166e-18, 0, 4.47205e-19, 0, 4.29192e-15, 0, 0
0.323994, 0, 9.3385e-15, 0, 1.41421, -9.3385e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74138e-17, 0, 0, 8.56164e-18, 0, 9.83901e-19, 0, 9.25154e-15, 0, 0
0.33192, 0, 1.98468e-14, 0, 1.41421, -1.98468e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64521e-16, 0, 0, 1.84425e-17, 0, 2.13476e-18, 0, 1.96617e-14, 0, 0
0.339846, 0, 4.15926e-14, 0, 1.41421, -4.15926e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44778e-16, 0, 0, 3.92077e-17, 0, 4.56875e-18, 0, 4.1204e-14, 0, 0
0.347772, 0, 8.5965e-14, 0, 1.41421, -8.5965e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12585e-16, 0, 0, 8.22868e-17, 0, 9.64699e-18, 0, 8.51605e-14, 0, 0
0.355697, 0, 1.75253e-13, 0, 1.41421, -1.75253e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45269e-15, 0, 0, 1.70539e-16, 0, 2.01013e-17, 0, 1.73609e-13, 0, 0
0.363623, 0, 3.52452e-13, 0, 1.41421, -3.52452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92148e-15, 0, 0, 3.49137e-16, 0, 4.13413e-17, 0, 3.49141e-13, 0, 0
0.371549, 0, 6.99328e-13, 0, 1.41421, -6.99328e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79671e-15, 0, 0, 7.06337e-16, 0, 8.39421e-17, 0, 6.92741e-13, 0, 0
0.379475, 0, 1.36915e-12, 1.00893e-43, 1.41421, -1.36915e-12, 0, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.00893e-43, 1.1349e-14, 1.00893e-43, 1.00893e-43, 1.41274e-15, 1.00893e-43, 1.68307e-16, 1.00893e-43, 1.35622e-12, 1.00893e-43, 1.00893e-43
0.387401, 0, 2.64522e-12, 1.82309e-42, 1.41421, -2.64522e-12, 0, 1.82309e-42, 1.82309e-42, 1.82309e-42, 1.82309e-42, 1.82309e-42, 1.82309e-42, 1.82309e-42, 1.82309e-42, 1.82309e-42, 2.1927e-14, 1.82309e-42, 1.82309e-42, 2.79498e-15, 1.82309e-42, 3.33323e-16, 1.82309e-42, 2.62017e-12, 1.82309e-42, 1.82309e-42
0.395327, 0, 5.04373e-12, 2.7031e-41, 1.41421, -5.04373e-12, 0, 2.7031e-41, 2.7031e-41, 2.7031e-41, 2.7031e-41, 2.7031e-41, 2.7031e-41, 2.7031e-41, 2.7031e-41, 2.7031e-41, 4.18113e-14, 2.7031e-41, 2.7031e-41, 5.47295e-15, 2.7031e-41, 6.52203e-16, 2.7031e-41, 4.99579e-12, 2.7031e-41, 2.7031e-41
0.403253, 0, 9.49218e-12, 3.52326e-40, 1.41421, -9.49218e-12, 0, 3.52326e-40, 3.52326e-40, 3.52326e-40, 3.52326e-40, 3.52326e-40, 3.52326e-40, 3.52326e-40, 3.52326e-40, 3.52326e-40, 7.86952e-14, 3.52326e-40, 3.52326e-40, 1.06147e-14, 3.52326e-40, 1.26123e-15, 3.52326e-40, 9.4016e-12, 3.52326e-40, 3.52326e-40
0.411178, 0, 1.76337e-11, 4.11499e-39, 1.41421, -1.76337e-11, 0, 4.11499e-39, 4.11499e-39, 4.11499e-39, 4.11499e-39, 4.11499e-39, 4.11499e-39, 4.11499e-39, 4.11499e-39, 4.11499e-39, 1.46214e-13, 4.11499e-39, 4.11499e-39, 2.04082e-14, 4.11499e-39, 2.41134e-15, 4.11499e-39, 1.74647e-11, 4.11499e-39, 4.11499e-39
0.419104, 0, 3.2339e-11, 4.33879e-38, 1.41421, -3.2339e-11, 0, 4.33879e-38, 4.33879e-38, 4.33879e-38, 4.33879e-38, 4.33879e-38, 4.33879e-38, 4.33879e-38, 4.33879e-38, 4.33879e-38, 2.68203e-13, 4.33879e-38, 4.33879e-38, 3.89341e-14, 4.33879e-38, 4.55999e-15, 4.33879e-38, 3.20273e-11, 4.33879e-38, 4.33879e-38
0.42703, 0, 5.85537e-11, 4.15429e-37, 1.41421, -5.85537e-11, 0, 4.15429e-37, 4.15429e-37, 4.15429e-37, 4.15429e-37, 4.15429e-37, 4.15429e-37, 4.15429e-37, 4.15429e-37, 4.15429e-37, 4.85761e-13, 4.15429e-37, 4.15429e-37, 7.37828e-14, 4.15429e-37, 8.53368e-15, 4.15429e-37, 5.79857e-11, 4.15429e-37, 4.15429e-37
0.434956, 0, 1.04681e-10, 3.63137e-36, 1.41421, -1.04681e-10, 0, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 3.63137e-36, 8.68795e-13, 3.63137e-36, 3.63137e-36, 1.39056e-13, 3.63137e-36, 1.58141e-14, 3.63137e-36, 1.03657e-10, 3.63137e-36, 3.63137e-36
0.442882, 0, 1.84803e-10, 2.91338e-35, 1.41421, -1.84803e-10, 0, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 2.91338e-35, 1.53463e-12, 2.91338e-35, 2.91338e-35, 2.60964e-13, 2.91338e-35, 2.90417e-14, 2.91338e-35, 1.82979e-10, 2.91338e-35, 2.91338e-35
0.450808, 0, 3.22197e-10, 2.13988e-34, 1.41421, -3.22197e-10, 0, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.13988e-34, 2.67759e-12, 2.13988e-34, 2.13988e-34, 4.88267e-13, 2.13988e-34, 5.29e-14, 2.13988e-34, 3.18978e-10, 2.13988e-34, 2.13988e-34
