   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_785.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.004768, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00309568, 0, 4.18914e-20, 0, 1.41421, -4.18914e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.90682e-25, 0, 1.39968e-20, 0, 2.78942e-20, 0, 0
0.0109594, 0, 8.65316e-20, 0, 1.41421, -8.65316e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02549e-24, 0, 2.92361e-20, 0, 5.72946e-20, 0, 0
0.0188231, 0, 1.7684e-19, 0, 1.41421, -1.7684e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12034e-24, 0, 6.04143e-20, 0, 1.16424e-19, 0, 0
0.0266867, 0, 3.57691e-19, 0, 1.41421, -3.57691e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33901e-24, 0, 1.23558e-19, 0, 2.34129e-19, 0, 0
0.0345504, 0, 7.16316e-19, 0, 1.41421, -7.16316e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.79079e-24, 0, 2.50193e-19, 0, 4.66114e-19, 0, 0
0.0424141, 0, 1.4207e-18, 0, 1.41421, -1.4207e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7638e-23, 0, 5.01762e-19, 0, 9.18923e-19, 0, 0
0.0502778, 0, 2.79143e-18, 0, 1.41421, -2.79143e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50573e-23, 0, 9.96949e-19, 0, 1.79445e-18, 0, 0
0.0581415, 0, 5.43488e-18, 0, 1.41421, -5.43488e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.90435e-23, 0, 1.96302e-18, 0, 3.47178e-18, 0, 0
0.0660052, 0, 1.04881e-17, 0, 1.41421, -1.04881e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34768e-22, 0, 3.83151e-18, 0, 6.65642e-18, 0, 0
0.0738689, 0, 2.00649e-17, 0, 1.41421, -2.00649e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60771e-22, 0, 7.41495e-18, 0, 1.26497e-17, 0, 0
0.0817326, 0, 3.85875e-17, 0, 1.41421, -3.85875e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0841e-22, 0, 1.44685e-17, 0, 2.41184e-17, 0, 0
0.0895962, 0, 7.2501e-17, 0, 1.41421, -7.2501e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.65804e-22, 0, 2.75044e-17, 0, 4.49956e-17, 0, 0
0.0974599, 0, 1.35139e-16, 0, 1.41421, -1.35139e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81999e-21, 0, 5.18804e-17, 0, 8.32564e-17, 0, 0
0.105324, 0, 2.49931e-16, 0, 1.41421, -2.49931e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40264e-21, 0, 9.71181e-17, 0, 1.52809e-16, 0, 0
0.113187, 0, 4.58701e-16, 0, 1.41421, -4.58701e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.31235e-21, 0, 1.80455e-16, 0, 2.7824e-16, 0, 0
0.121051, 0, 8.35539e-16, 0, 1.41421, -8.35539e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16211e-20, 0, 3.32864e-16, 0, 5.02663e-16, 0, 0
0.128915, 0, 1.51072e-15, 0, 1.41421, -1.51072e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12341e-20, 0, 6.09617e-16, 0, 9.01085e-16, 0, 0
