   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_78.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.000133745, 0, 2.40751e-19, 0, 1.41421, -2.40751e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15773e-21, 0, 5.52832e-24, 1.845e-23, 0, 2.39569e-19, 0, 0
0.00799934, 0, 4.71234e-19, 0, 1.41421, -4.71234e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26608e-21, 0, 1.09878e-23, 3.6755e-23, 0, 4.6892e-19, 0, 0
0.0158649, 0, 9.14006e-19, 0, 1.41421, -9.14006e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39528e-21, 0, 2.16433e-23, 7.25612e-23, 0, 9.09517e-19, 0, 0
0.0237305, 0, 1.75717e-18, 0, 1.41421, -1.75717e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.44987e-21, 0, 4.22611e-23, 1.42e-22, 0, 1.74853e-18, 0, 0
0.0315961, 0, 3.34914e-18, 0, 1.41421, -3.34914e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61053e-20, 0, 8.18223e-23, 2.75543e-22, 0, 3.33267e-18, 0, 0
0.0394617, 0, 6.32995e-18, 0, 1.41421, -6.32995e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04393e-20, 0, 1.57113e-22, 5.30297e-22, 0, 6.29882e-18, 0, 0
0.0473273, 0, 1.18658e-17, 0, 1.41421, -1.18658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.706e-20, 0, 2.99262e-22, 1.01245e-21, 0, 1.18075e-17, 0, 0
0.0551929, 0, 2.20651e-17, 0, 1.41421, -2.20651e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06106e-19, 0, 5.65551e-22, 1.91803e-21, 0, 2.19565e-17, 0, 0
0.0630585, 0, 4.07091e-17, 0, 1.41421, -4.07091e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9576e-19, 0, 1.06059e-21, 3.60613e-21, 0, 4.05087e-17, 0, 0
0.0709241, 0, 7.45282e-17, 0, 1.41421, -7.45282e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58387e-19, 0, 1.97399e-21, 6.73001e-21, 0, 7.41611e-17, 0, 0
0.0787897, 0, 1.35411e-16, 0, 1.41421, -1.35411e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51154e-19, 0, 3.64697e-21, 1.24696e-20, 0, 1.34744e-16, 0, 0
0.0866553, 0, 2.44199e-16, 0, 1.41421, -2.44199e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17428e-18, 0, 6.68908e-21, 2.29416e-20, 0, 2.42995e-16, 0, 0
0.0945209, 0, 4.37161e-16, 0, 1.41421, -4.37161e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10218e-18, 0, 1.21815e-20, 4.19169e-20, 0, 4.35005e-16, 0, 0
0.102386, 0, 7.7695e-16, 0, 1.41421, -7.7695e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73611e-18, 0, 2.20287e-20, 7.60701e-20, 0, 7.73116e-16, 0, 0
0.110252, 0, 1.37102e-15, 0, 1.41421, -1.37102e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59276e-18, 0, 3.9562e-20, 1.37137e-19, 0, 1.36425e-15, 0, 0
0.118118, 0, 2.4023e-15, 0, 1.41421, -2.4023e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15518e-17, 0, 7.05681e-20, 2.45621e-19, 0, 2.39043e-15, 0, 0
0.125983, 0, 4.18007e-15, 0, 1.41421, -4.18007e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01004e-17, 0, 1.25032e-19, 4.37115e-19, 0, 4.15941e-15, 0, 0
0.133849, 0, 7.22347e-15, 0, 1.41421, -7.22347e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47349e-17, 0, 2.20069e-19, 7.73027e-19, 0, 7.18775e-15, 0, 0
0.141714, 0, 1.23978e-14, 0, 1.41421, -1.23978e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.96161e-17, 0, 3.84829e-19, 1.35865e-18, 0, 1.23365e-14, 0, 0
