   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_7.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0026201, 0, 1.11367e-17, 0, 1.41421, -1.11367e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61201e-19, 0, 0, 1.56553e-21, 0, 2.61331e-20, 0, 1.06478e-17, 0, 0, 0
0.0104692, 0, 2.0119e-17, 0, 1.41421, -2.0119e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.33141e-19, 0, 0, 2.87644e-21, 0, 4.81283e-20, 0, 1.92349e-17, 0, 0, 0
0.0183183, 0, 3.60859e-17, 0, 1.41421, -3.60859e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49427e-18, 0, 0, 5.24774e-21, 0, 8.80291e-20, 0, 3.44984e-17, 0, 0, 0
0.0261675, 0, 6.42707e-17, 0, 1.41421, -6.42707e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66122e-18, 0, 0, 9.50777e-21, 0, 1.59936e-19, 0, 6.144e-17, 0, 0, 0
0.0340166, 0, 1.13682e-16, 0, 1.41421, -1.13682e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7069e-18, 0, 0, 1.71095e-20, 0, 2.88687e-19, 0, 1.08669e-16, 0, 0, 0
0.0418657, 0, 1.99722e-16, 0, 1.41421, -1.99722e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.26888e-18, 0, 0, 3.05849e-20, 0, 5.17775e-19, 0, 1.90905e-16, 0, 0, 0
0.0497148, 0, 3.48552e-16, 0, 1.41421, -3.48552e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44299e-17, 0, 0, 5.43177e-20, 0, 9.2288e-19, 0, 3.33145e-16, 0, 0, 0
0.0575639, 0, 6.04311e-16, 0, 1.41421, -6.04311e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50167e-17, 0, 0, 9.58496e-20, 0, 1.63492e-18, 0, 5.77564e-16, 0, 0, 0
0.0654131, 0, 1.041e-15, 0, 1.41421, -1.041e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30914e-17, 0, 0, 1.68074e-19, 0, 2.87908e-18, 0, 9.94859e-16, 0, 0, 0
0.0732622, 0, 1.78185e-15, 0, 1.41421, -1.78185e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37535e-17, 0, 0, 2.92898e-19, 0, 5.04036e-18, 0, 1.70276e-15, 0, 0, 0
