   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_810.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000120909, 0, 3.23123e-15, 0, 1.41421, -3.23123e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27994e-17, 0, 0, 3.46985e-17, 0, 2.6445e-18, 0, 3.16109e-15, 0, 0, 0
0.00797606, 0, 5.14239e-15, 0, 1.41421, -5.14239e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21874e-17, 0, 0, 5.62301e-17, 0, 4.32987e-18, 0, 5.02964e-15, 0, 0, 0
0.0158312, 0, 8.14379e-15, 0, 1.41421, -8.14379e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2628e-17, 0, 0, 9.06885e-17, 0, 7.05809e-18, 0, 7.96341e-15, 0, 0, 0
0.0236864, 0, 1.28344e-14, 0, 1.41421, -1.28344e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30189e-16, 0, 0, 1.45578e-16, 0, 1.14553e-17, 0, 1.25472e-14, 0, 0, 0
0.0315415, 0, 2.01293e-14, 0, 1.41421, -2.01293e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04138e-16, 0, 0, 2.32607e-16, 0, 1.8512e-17, 0, 1.96741e-14, 0, 0, 0
0.0393967, 0, 3.142e-14, 0, 1.41421, -3.142e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18561e-16, 0, 0, 3.69965e-16, 0, 2.97885e-17, 0, 3.07017e-14, 0, 0, 0
0.0472518, 0, 4.88118e-14, 0, 1.41421, -4.88118e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94765e-16, 0, 0, 5.85777e-16, 0, 4.77323e-17, 0, 4.76835e-14, 0, 0, 0
0.055107, 0, 7.54742e-14, 0, 1.41421, -7.54742e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64819e-16, 0, 0, 9.23342e-16, 0, 7.61662e-17, 0, 7.37099e-14, 0, 0, 0
0.0629622, 0, 1.16157e-13, 0, 1.41421, -1.16157e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17676e-15, 0, 0, 1.44903e-15, 0, 1.21037e-16, 0, 1.1341e-13, 0, 0, 0
0.0708173, 0, 1.7794e-13, 0, 1.41421, -1.7794e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80216e-15, 0, 0, 2.26412e-15, 0, 1.91555e-16, 0, 1.73682e-13, 0, 0, 0
0.0786725, 0, 2.7133e-13, 0, 1.41421, -2.7133e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74722e-15, 0, 0, 3.52254e-15, 0, 3.01948e-16, 0, 2.64758e-13, 0, 0, 0
0.0865276, 0, 4.11842e-13, 0, 1.41421, -4.11842e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16867e-15, 0, 0, 5.45722e-15, 0, 4.74057e-16, 0, 4.01742e-13, 0, 0, 0
0.0943828, 0, 6.22274e-13, 0, 1.41421, -6.22274e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29676e-15, 0, 0, 8.41931e-15, 0, 7.41323e-16, 0, 6.06816e-13, 0, 0, 0
0.102238, 0, 9.35971e-13, 0, 1.41421, -9.35971e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.46809e-15, 0, 0, 1.2936e-14, 0, 1.15472e-15, 0, 9.12412e-13, 0, 0, 0
0.110093, 0, 1.40147e-12, 0, 1.41421, -1.40147e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41724e-14, 0, 0, 1.97972e-14, 0, 1.79168e-15, 0, 1.3657e-12, 0, 0, 0
0.117948, 0, 2.08906e-12, 0, 1.41421, -2.08906e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11187e-14, 0, 0, 3.01792e-14, 0, 2.76932e-15, 0, 2.03499e-12, 0, 0, 0
