   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_825.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00420634, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00365493, 0, 1.5049e-15, 0, 1.41421, -1.5049e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9613e-18, 0, 0, 8.61467e-18, 0, 5.46052e-17, 0, 1.43872e-15, 0, 0, 0
0.0115162, 0, 2.45936e-15, 0, 1.41421, -2.45936e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83429e-18, 0, 0, 1.43241e-17, 0, 9.15056e-17, 0, 2.3487e-15, 0, 0, 0
0.0193775, 0, 3.99803e-15, 0, 1.41421, -3.99803e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85003e-18, 0, 0, 2.36937e-17, 0, 1.52606e-16, 0, 3.81388e-15, 0, 0, 0
0.0272387, 0, 6.46551e-15, 0, 1.41421, -6.46551e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26801e-17, 0, 0, 3.89909e-17, 0, 2.53301e-16, 0, 6.16054e-15, 0, 0, 0
0.0351, 0, 1.04021e-14, 0, 1.41421, -1.04021e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03757e-17, 0, 0, 6.38391e-17, 0, 4.18472e-16, 0, 9.89938e-15, 0, 0, 0
0.0429612, 0, 1.66502e-14, 0, 1.41421, -1.66502e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25731e-17, 0, 0, 1.03999e-16, 0, 6.88158e-16, 0, 1.58254e-14, 0, 0, 0
0.0508225, 0, 2.65169e-14, 0, 1.41421, -2.65169e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18069e-17, 0, 0, 1.6859e-16, 0, 1.12649e-15, 0, 2.517e-14, 0, 0, 0
0.0586838, 0, 4.20197e-14, 0, 1.41421, -4.20197e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.19814e-17, 0, 0, 2.71967e-16, 0, 1.83571e-15, 0, 3.98301e-14, 0, 0, 0
0.066545, 0, 6.62566e-14, 0, 1.41421, -6.62566e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29081e-16, 0, 0, 4.36629e-16, 0, 2.9781e-15, 0, 6.27127e-14, 0, 0, 0
0.0744063, 0, 1.0396e-13, 0, 1.41421, -1.0396e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02228e-16, 0, 0, 6.97658e-16, 0, 4.8101e-15, 0, 9.82504e-14, 0, 0, 0
0.0822676, 0, 1.62326e-13, 0, 1.41421, -1.62326e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15262e-16, 0, 0, 1.10951e-15, 0, 7.73511e-15, 0, 1.53166e-13, 0, 0, 0
0.0901288, 0, 2.52235e-13, 0, 1.41421, -2.52235e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89064e-16, 0, 0, 1.75633e-15, 0, 1.23858e-14, 0, 2.37604e-13, 0, 0, 0
0.0979901, 0, 3.90064e-13, 0, 1.41421, -3.90064e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54986e-16, 0, 0, 2.76754e-15, 0, 1.97483e-14, 0, 3.66793e-13, 0, 0, 0
0.105851, 0, 6.00335e-13, 0, 1.41421, -6.00335e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15985e-15, 0, 0, 4.34133e-15, 0, 3.13545e-14, 0, 5.6348e-13, 0, 0, 0
0.113713, 0, 9.19592e-13, 0, 1.41421, -9.19592e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77325e-15, 0, 0, 6.77993e-15, 0, 4.95741e-14, 0, 8.61465e-13, 0, 0, 0
0.121574, 0, 1.40201e-12, 0, 1.41421, -1.40201e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69806e-15, 0, 0, 1.05424e-14, 0, 7.80575e-14, 0, 1.31072e-12, 0, 0, 0
0.129435, 0, 2.12754e-12, 0, 1.41421, -2.12754e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08563e-15, 0, 0, 1.63233e-14, 0, 1.22406e-13, 0, 1.98473e-12, 0, 0, 0
0.137296, 0, 3.21356e-12, 0, 1.41421, -3.21356e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15745e-15, 0, 0, 2.51689e-14, 0, 1.91177e-13, 0, 2.99106e-12, 0, 0, 0
0.145158, 0, 4.83161e-12, 0, 1.41421, -4.83161e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.23611e-15, 0, 0, 3.86505e-14, 0, 2.97401e-13, 0, 4.48632e-12, 0, 0, 0
0.153019, 0, 7.23111e-12, 0, 1.41421, -7.23111e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3789e-14, 0, 0, 5.91189e-14, 0, 4.60834e-13, 0, 6.69737e-12, 0, 0, 0
0.16088, 0, 1.07731e-11, 0, 1.41421, -1.07731e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04898e-14, 0, 0, 9.00808e-14, 0, 7.11326e-13, 0, 9.95117e-12, 0, 0, 0
0.168741, 0, 1.59775e-11, 0, 1.41421, -1.59775e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0305e-14, 0, 0, 1.36752e-13, 0, 1.09381e-12, 0, 1.47166e-11, 0, 0, 0
0.176603, 0, 2.35899e-11, 0, 1.41421, -2.35899e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46142e-14, 0, 0, 2.06868e-13, 0, 1.67571e-12, 0, 2.16627e-11, 0, 0, 0
0.184464, 0, 3.46744e-11, 0, 1.41421, -3.46744e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53765e-14, 0, 0, 3.11879e-13, 0, 2.55781e-12, 0, 3.17393e-11, 0, 0, 0
0.192325, 0, 5.07421e-11, 0, 1.41421, -5.07421e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.53605e-14, 0, 0, 4.68698e-13, 0, 3.89033e-12, 0, 4.62877e-11, 0, 0, 0
0.200187, 0, 7.39302e-11, 0, 1.41421, -7.39302e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38459e-13, 0, 0, 7.02259e-13, 0, 5.89641e-12, 0, 6.71931e-11, 0, 0, 0
0.208048, 0, 1.07248e-10, 0, 1.41421, -1.07248e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0012e-13, 0, 0, 1.0493e-12, 0, 8.90667e-12, 0, 9.70916e-11, 0, 0, 0
0.215909, 0, 1.54912e-10, 0, 1.41421, -1.54912e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87927e-13, 0, 0, 1.56385e-12, 0, 1.34094e-11, 0, 1.3965e-10, 0, 0, 0
0.22377, 0, 2.22808e-10, 0, 1.41421, -2.22808e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12392e-13, 0, 0, 2.32539e-12, 0, 2.01241e-11, 0, 1.99946e-10, 0, 0, 0
0.231632, 0, 3.19116e-10, 0, 1.41421, -3.19116e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88006e-13, 0, 0, 3.45077e-12, 0, 3.0108e-11, 0, 2.84969e-10, 0, 0, 0
0.239493, 0, 4.5516e-10, 3.11088e-43, 1.41421, -4.5516e-10, 0, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 3.11088e-43, 8.34656e-13, 3.11088e-43, 3.11088e-43, 5.11183e-12, 3.11088e-43, 4.49111e-11, 3.11088e-43, 4.04302e-10, 3.11088e-43, 3.11088e-43, 3.11088e-43
0.247354, 0, 6.46551e-10, 5.14557e-42, 1.41421, -6.46551e-10, 0, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 5.14557e-42, 1.1795e-12, 5.14557e-42, 5.14557e-42, 7.56134e-12, 5.14557e-42, 6.68013e-11, 5.14557e-42, 5.71008e-10, 5.14557e-42, 5.14557e-42, 5.14557e-42
0.255215, 0, 9.14733e-10, 7.14452e-41, 1.41421, -9.14733e-10, 0, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 7.14452e-41, 1.65947e-12, 7.14452e-41, 7.14452e-41, 1.11714e-11, 7.14452e-41, 9.9089e-11, 7.14452e-41, 8.02813e-10, 7.14452e-41, 7.14452e-41, 7.14452e-41
0.263077, 0, 1.28905e-09, 8.80956e-40, 1.41421, -1.28905e-09, 0, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 8.80956e-40, 2.32449e-12, 8.80956e-40, 8.80956e-40, 1.64901e-11, 8.80956e-40, 1.46598e-10, 8.80956e-40, 1.12364e-09, 8.80956e-40, 8.80956e-40, 8.80956e-40
0.270938, 0, 1.80954e-09, 9.75395e-39, 1.41421, -1.80954e-09, 0, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 9.75395e-39, 3.24183e-12, 9.75395e-39, 9.75395e-39, 2.43255e-11, 9.75395e-39, 2.16342e-10, 9.75395e-39, 1.56563e-09, 9.75395e-39, 9.75395e-39, 9.75395e-39
