   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_830.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00395991, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00390236, 0, 2.69136e-20, 0, 1.41421, -2.69136e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66107e-22, 0, 0, 0, 4.66317e-21, 0, 2.19844e-20, 0, 0, 0
0.0117646, 0, 5.70873e-20, 0, 1.41421, -5.70873e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62801e-22, 0, 0, 0, 1.00289e-20, 0, 4.64956e-20, 0, 0, 0
0.0196269, 0, 1.19654e-19, 0, 1.41421, -1.19654e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17617e-21, 0, 0, 0, 2.13092e-20, 0, 9.71687e-20, 0, 0, 0
0.0274892, 0, 2.47936e-19, 0, 1.41421, -2.47936e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42995e-21, 0, 0, 0, 4.47559e-20, 0, 2.0075e-19, 0, 0, 0
0.0353515, 0, 5.08105e-19, 0, 1.41421, -5.08105e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96495e-21, 0, 0, 0, 9.29618e-20, 0, 4.10178e-19, 0, 0, 0
0.0432137, 0, 1.03023e-18, 0, 1.41421, -1.03023e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00365e-20, 0, 0, 0, 1.91037e-19, 0, 8.29159e-19, 0, 0, 0
0.051076, 0, 2.06742e-18, 0, 1.41421, -2.06742e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00786e-20, 0, 0, 0, 3.88555e-19, 0, 1.65879e-18, 0, 0, 0
0.0589383, 0, 4.10744e-18, 0, 1.41421, -4.10744e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97654e-20, 0, 0, 0, 7.82463e-19, 0, 3.28521e-18, 0, 0, 0
0.0668005, 0, 8.0814e-18, 0, 1.41421, -8.0814e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79861e-20, 0, 0, 0, 1.56061e-18, 0, 6.4428e-18, 0, 0, 0
