   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_837.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
-0.00821634, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000348703, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00751893, 0, 5.48411e-22, 0, 1.41421, -5.48411e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47507e-25, 0, 0, 0, 1.27346e-22, 0, 4.20917e-22, 0, 0
0.0153866, 0, 1.28888e-21, 0, 1.41421, -1.28888e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44931e-25, 0, 0, 0, 3.04264e-22, 0, 9.84272e-22, 0, 0
0.0232542, 0, 2.98002e-21, 0, 1.41421, -2.98002e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93619e-25, 0, 0, 0, 7.14607e-22, 0, 2.26462e-21, 0, 0
0.0311218, 0, 6.78467e-21, 0, 1.41421, -6.78467e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79822e-24, 0, 0, 0, 1.65158e-21, 0, 5.13129e-21, 0, 0
0.0389895, 0, 1.52224e-20, 0, 1.41421, -1.52224e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01564e-24, 0, 0, 0, 3.7596e-21, 0, 1.14588e-20, 0, 0
0.0468571, 0, 3.36809e-20, 0, 1.41421, -3.36809e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.84379e-24, 0, 0, 0, 8.436e-21, 0, 2.52361e-20, 0, 0
0.0547247, 0, 7.35352e-20, 0, 1.41421, -7.35352e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92198e-23, 0, 0, 0, 1.86717e-20, 0, 5.48443e-20, 0, 0
0.0625924, 0, 1.58508e-19, 0, 1.41421, -1.58508e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12392e-23, 0, 0, 0, 4.07896e-20, 0, 1.17677e-19, 0, 0
0.07046, 0, 3.37492e-19, 0, 1.41421, -3.37492e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74029e-23, 0, 0, 0, 8.79977e-20, 0, 2.49407e-19, 0, 0
0.0783276, 0, 7.10104e-19, 0, 1.41421, -7.10104e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83054e-22, 0, 0, 0, 1.87571e-19, 0, 5.2235e-19, 0, 0
0.0861953, 0, 1.47704e-18, 0, 1.41421, -1.47704e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7899e-22, 0, 0, 0, 3.95205e-19, 0, 1.08146e-18, 0, 0
0.0940629, 0, 3.03837e-18, 0, 1.41421, -3.03837e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75937e-22, 0, 0, 0, 8.23427e-19, 0, 2.21416e-18, 0, 0
