   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_840.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.00607321, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00179141, 0, 5.54503e-23, 0, 1.41421, -5.54503e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87537e-25, 0, 0, 7.19059e-28, 0, 1.02957e-23, 0, 4.41663e-23, 0, 0, 0
0.00965604, 0, 1.38868e-22, 0, 1.41421, -1.38868e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46328e-24, 0, 0, 1.81805e-27, 0, 2.62365e-23, 0, 1.10167e-22, 0, 0, 0
0.0175207, 0, 3.40978e-22, 0, 1.41421, -3.40978e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02494e-24, 0, 0, 4.50796e-27, 0, 6.5491e-23, 0, 2.69458e-22, 0, 0, 0
0.0253853, 0, 8.22023e-22, 0, 1.41421, -8.22023e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.447e-23, 0, 0, 1.09771e-26, 0, 1.60389e-22, 0, 6.47153e-22, 0, 0, 0
0.0332499, 0, 1.94801e-21, 0, 1.41421, -1.94801e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41638e-23, 0, 0, 2.62809e-26, 0, 3.85883e-22, 0, 1.52793e-21, 0, 0, 0
0.0411145, 0, 4.54239e-21, 0, 1.41421, -4.54239e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.93733e-23, 0, 0, 6.19257e-26, 0, 9.13092e-22, 0, 3.54987e-21, 0, 0, 0
0.0489792, 0, 1.04316e-20, 0, 1.41421, -1.04316e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81622e-22, 0, 0, 1.43734e-25, 0, 2.12703e-21, 0, 8.12281e-21, 0, 0, 0
0.0568438, 0, 2.36113e-20, 0, 1.41421, -2.36113e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09612e-22, 0, 0, 3.28879e-25, 0, 4.882e-21, 0, 1.83193e-20, 0, 0, 0
0.0647084, 0, 5.27083e-20, 0, 1.41421, -5.27083e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11104e-22, 0, 0, 7.42305e-25, 0, 1.10485e-20, 0, 4.07479e-20, 0, 0, 0
0.0725731, 0, 1.16114e-19, 0, 1.41421, -1.16114e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99989e-21, 0, 0, 1.65369e-24, 0, 2.46702e-20, 0, 8.94425e-20, 0, 0, 0
0.0804377, 0, 2.5256e-19, 0, 1.41421, -2.5256e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33418e-21, 0, 0, 3.63808e-24, 0, 5.43818e-20, 0, 1.93841e-19, 0, 0, 0
0.0883023, 0, 5.42648e-19, 0, 1.41421, -5.42648e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27825e-21, 0, 0, 7.90747e-24, 0, 1.18405e-19, 0, 4.14958e-19, 0, 0, 0
0.0961669, 0, 1.15219e-18, 0, 1.41421, -1.15219e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96271e-20, 0, 0, 1.69874e-23, 0, 2.5475e-19, 0, 8.77798e-19, 0, 0, 0
0.104032, 0, 2.4185e-18, 0, 1.41421, -2.4185e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10427e-20, 0, 0, 3.60829e-23, 0, 5.41837e-19, 0, 1.83558e-18, 0, 0, 0
0.111896, 0, 5.02023e-18, 0, 1.41421, -5.02023e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.48674e-20, 0, 0, 7.5806e-23, 0, 1.13971e-18, 0, 3.79558e-18, 0, 0, 0
0.119761, 0, 1.03084e-17, 0, 1.41421, -1.03084e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7358e-19, 0, 0, 1.57566e-22, 0, 2.37158e-18, 0, 7.76312e-18, 0, 0, 0
0.127625, 0, 2.09445e-17, 0, 1.41421, -2.09445e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51255e-19, 0, 0, 3.24114e-22, 0, 4.88349e-18, 0, 1.57094e-17, 0, 0, 0
0.13549, 0, 4.21175e-17, 0, 1.41421, -4.21175e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03418e-19, 0, 0, 6.59957e-22, 0, 9.95399e-18, 0, 3.14595e-17, 0, 0, 0
0.143355, 0, 8.38438e-17, 0, 1.41421, -8.38438e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39433e-18, 0, 0, 1.33049e-21, 0, 2.00886e-17, 0, 6.23595e-17, 0, 0, 0
0.151219, 0, 1.65267e-16, 0, 1.41421, -1.65267e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7363e-18, 0, 0, 2.65633e-21, 0, 4.01507e-17, 0, 1.22377e-16, 0, 0, 0
0.159084, 0, 3.22621e-16, 0, 1.41421, -3.22621e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31722e-18, 0, 0, 5.25296e-21, 0, 7.94923e-17, 0, 2.37806e-16, 0, 0, 0
0.166949, 0, 6.23831e-16, 0, 1.41421, -6.23831e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02329e-17, 0, 0, 1.0291e-20, 0, 1.55933e-16, 0, 4.57655e-16, 0, 0, 0
0.174813, 0, 1.19504e-15, 0, 1.41421, -1.19504e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95063e-17, 0, 0, 1.9976e-20, 0, 3.03119e-16, 0, 8.72396e-16, 0, 0, 0
0.182678, 0, 2.26834e-15, 0, 1.41421, -2.26834e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68357e-17, 0, 0, 3.84261e-20, 0, 5.84028e-16, 0, 1.64743e-15, 0, 0, 0
0.190542, 0, 4.26682e-15, 0, 1.41421, -4.26682e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89186e-17, 0, 0, 7.32605e-20, 0, 1.11552e-15, 0, 3.08232e-15, 0, 0, 0
0.198407, 0, 7.9549e-15, 0, 1.41421, -7.9549e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2777e-16, 0, 0, 1.38452e-19, 0, 2.11258e-15, 0, 5.71441e-15, 0, 0, 0
0.206272, 0, 1.47013e-14, 0, 1.41421, -1.47013e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34745e-16, 0, 0, 2.59408e-19, 0, 3.96747e-15, 0, 1.04988e-14, 0, 0, 0
0.214136, 0, 2.6935e-14, 0, 1.41421, -2.6935e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27443e-16, 0, 0, 4.8192e-19, 0, 7.38998e-15, 0, 1.91171e-14, 0, 0, 0
0.222001, 0, 4.89297e-14, 0, 1.41421, -4.89297e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71467e-16, 0, 0, 8.87833e-19, 0, 1.36541e-14, 0, 3.45032e-14, 0, 0, 0
0.229866, 0, 8.83799e-14, 0, 1.41421, -8.83799e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38321e-15, 0, 0, 1.62826e-18, 0, 2.51325e-14, 0, 6.18625e-14, 0, 0, 0
0.23773, 0, 1.57835e-13, 0, 1.41421, -1.57835e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45255e-15, 0, 0, 2.94995e-18, 0, 4.56928e-14, 0, 1.09687e-13, 0, 0, 0
0.245595, 0, 2.79587e-13, 0, 1.41421, -2.79587e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31148e-15, 0, 0, 5.30234e-18, 0, 8.24461e-14, 0, 1.92824e-13, 0, 0, 0
