   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_857.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.157465, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.149264, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.141064, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.132863, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.124663, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.116462, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.108262, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.100061, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0918605, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.08366, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0754594, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0672589, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0590583, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0508578, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0426572, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0344567, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0262561, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0180556, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00985504, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0016545, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00654605, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0147466, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0229471, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0311477, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0393482, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0475488, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0557493, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0639499, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0721504, 0, 1.84291e-30, 0, 1.41421, -1.84291e-30, 0, 0, 0, 0, 0, 0, 0, 0, 1.93292e-32, 0, 0, 8.44221e-35, 0, 0, 1.8235e-30, 0, 0, 0
0.080351, 0, 2.11865e-29, 0, 1.41421, -2.11865e-29, 0, 0, 0, 0, 0, 0, 0, 0, 2.22212e-31, 0, 0, 9.70532e-34, 0, 0, 2.09633e-29, 0, 0, 0
0.0885515, 0, 1.52831e-28, 0, 1.41421, -1.52831e-28, 0, 0, 0, 0, 0, 0, 0, 0, 1.60295e-30, 0, 0, 7.00107e-33, 0, 0, 1.51222e-28, 0, 0, 0
0.096752, 0, 8.80513e-28, 0, 1.41421, -8.80513e-28, 0, 0, 0, 0, 0, 0, 0, 0, 9.23515e-30, 0, 0, 4.03618e-32, 0, 0, 8.71238e-28, 0, 0, 0
0.104953, 0, 4.41367e-27, 0, 1.41421, -4.41367e-27, 0, 0, 0, 0, 0, 0, 0, 0, 4.62922e-29, 0, 0, 2.02764e-31, 0, 0, 4.36718e-27, 0, 0, 0
0.113153, 0, 2.0056e-26, 0, 1.41421, -2.0056e-26, 0, 0, 0, 0, 0, 0, 0, 0, 2.10355e-28, 0, 0, 9.24599e-31, 0, 0, 1.98448e-26, 0, 0, 0
0.121354, 0, 8.45472e-26, 0, 1.41421, -8.45472e-26, 0, 0, 0, 0, 0, 0, 0, 0, 8.86762e-28, 0, 0, 3.9148e-30, 0, 0, 8.36565e-26, 0, 0, 0
0.129554, 0, 3.35435e-25, 0, 1.41421, -3.35435e-25, 0, 0, 0, 0, 0, 0, 0, 0, 3.51817e-27, 0, 0, 1.56093e-29, 0, 0, 3.31901e-25, 0, 0, 0
0.137755, 0, 1.26465e-24, 0, 1.41421, -1.26465e-24, 0, 0, 0, 0, 0, 0, 0, 0, 1.32641e-26, 0, 0, 5.91705e-29, 0, 0, 1.25133e-24, 0, 0, 0
0.145955, 0, 4.56209e-24, 0, 1.41421, -4.56209e-24, 0, 0, 0, 0, 0, 0, 0, 0, 4.78489e-26, 0, 0, 2.14692e-28, 0, 0, 4.51403e-24, 0, 0, 0
0.154156, 0, 1.58272e-23, 0, 1.41421, -1.58272e-23, 0, 0, 0, 0, 0, 0, 0, 0, 1.66001e-25, 0, 0, 7.49403e-28, 0, 0, 1.56604e-23, 0, 0, 0
0.162356, 0, 5.30141e-23, 0, 1.41421, -5.30141e-23, 0, 0, 0, 0, 0, 0, 0, 0, 5.56031e-25, 0, 0, 2.52639e-27, 0, 0, 5.24556e-23, 0, 0, 0
0.170557, 0, 1.7198e-22, 0, 1.41421, -1.7198e-22, 0, 0, 0, 0, 0, 0, 0, 0, 1.80379e-24, 0, 0, 8.25122e-27, 0, 0, 1.70168e-22, 0, 0, 0
0.178758, 0, 5.41696e-22, 0, 1.41421, -5.41696e-22, 0, 0, 0, 0, 0, 0, 0, 0, 5.6815e-24, 0, 0, 2.61734e-26, 0, 0, 5.35989e-22, 0, 0, 0
0.186958, 0, 1.66006e-21, 0, 1.41421, -1.66006e-21, 0, 0, 0, 0, 0, 0, 0, 0, 1.74113e-23, 0, 0, 8.08039e-26, 0, 0, 1.64257e-21, 0, 0, 0
0.195159, 0, 4.95836e-21, 0, 1.41421, -4.95836e-21, 0, 0, 0, 0, 0, 0, 0, 0, 5.20049e-23, 0, 0, 2.43214e-25, 0, 0, 4.90611e-21, 0, 0, 0
0.203359, 0, 1.44554e-20, 0, 1.41421, -1.44554e-20, 0, 0, 0, 0, 0, 0, 0, 0, 1.51613e-22, 0, 0, 7.14776e-25, 0, 0, 1.43031e-20, 0, 0, 0
0.21156, 0, 4.11857e-20, 0, 1.41421, -4.11857e-20, 0, 0, 0, 0, 0, 0, 0, 0, 4.31969e-22, 0, 0, 2.05365e-24, 0, 0, 4.07517e-20, 0, 0, 0
0.21976, 0, 1.14802e-19, 0, 1.41421, -1.14802e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.20409e-21, 0, 0, 5.77466e-24, 0, 0, 1.13593e-19, 0, 0, 0
0.227961, 0, 3.13367e-19, 0, 1.41421, -3.13367e-19, 0, 0, 0, 0, 0, 0, 0, 0, 3.28669e-21, 0, 0, 1.5907e-23, 0, 0, 3.10064e-19, 0, 0, 0
0.236161, 0, 8.38307e-19, 0, 1.41421, -8.38307e-19, 0, 0, 0, 0, 0, 0, 0, 0, 8.79243e-21, 0, 0, 4.29604e-23, 0, 0, 8.29471e-19, 0, 0, 0
0.244362, 0, 2.19943e-18, 0, 1.41421, -2.19943e-18, 0, 0, 0, 0, 0, 0, 0, 0, 2.30683e-20, 0, 0, 1.13838e-22, 0, 0, 2.17625e-18, 0, 0, 0
0.252562, 0, 5.66303e-18, 0, 1.41421, -5.66303e-18, 0, 0, 0, 0, 0, 0, 0, 0, 5.93956e-20, 0, 0, 2.96159e-22, 0, 0, 5.60334e-18, 0, 0, 0
0.260763, 0, 1.43173e-17, 0, 1.41421, -1.43173e-17, 0, 0, 0, 0, 0, 0, 0, 0, 1.50164e-19, 0, 0, 7.56893e-22, 0, 0, 1.41663e-17, 0, 0, 0
0.268964, 0, 3.55595e-17, 0, 1.41421, -3.55595e-17, 0, 0, 0, 0, 0, 0, 0, 0, 3.72958e-19, 0, 0, 1.90125e-21, 0, 0, 3.51847e-17, 0, 0, 0
0.277164, 0, 8.68024e-17, 0, 1.41421, -8.68024e-17, 0, 0, 0, 0, 0, 0, 0, 0, 9.10406e-19, 0, 0, 4.69619e-21, 0, 0, 8.58873e-17, 0, 0, 0
0.285365, 0, 2.08332e-16, 0, 1.41421, -2.08332e-16, 0, 0, 0, 0, 0, 0, 0, 0, 2.18503e-18, 0, 0, 1.14112e-20, 0, 0, 2.06136e-16, 0, 0, 0
0.293565, 0, 4.95718e-16, 0, 1.41421, -4.95718e-16, 0, 0, 0, 0, 0, 0, 0, 0, 5.19917e-18, 0, 0, 2.75578e-20, 0, 0, 4.90492e-16, 0, 0, 0
0.301766, 0, 1.14987e-15, 0, 1.41421, -1.14987e-15, 0, 0, 0, 0, 0, 0, 0, 0, 1.20599e-17, 0, 0, 6.47841e-20, 0, 0, 1.13774e-15, 0, 0, 0
0.309966, 0, 2.62546e-15, 0, 1.41421, -2.62546e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.75359e-17, 0, 0, 1.50007e-19, 0, 0, 2.59778e-15, 0, 0, 0
0.318167, 0, 5.90212e-15, 0, 1.41421, -5.90212e-15, 0, 0, 0, 0, 0, 0, 0, 0, 6.1901e-17, 0, 0, 3.42226e-19, 0, 0, 5.83988e-15, 0, 0, 0
0.326367, 0, 1.30662e-14, 0, 1.41421, -1.30662e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.37036e-16, 0, 0, 7.69469e-19, 0, 0, 1.29284e-14, 0, 0, 0
0.334568, 0, 2.84912e-14, 0, 1.41421, -2.84912e-14, 0, 0, 0, 0, 0, 0, 0, 0, 2.98807e-16, 0, 0, 1.70557e-18, 0, 0, 2.81907e-14, 0, 0, 0
0.342768, 0, 6.1203e-14, 0, 1.41421, -6.1203e-14, 0, 0, 0, 0, 0, 0, 0, 0, 6.41872e-16, 0, 0, 3.72797e-18, 0, 0, 6.05574e-14, 0, 0, 0
0.350969, 0, 1.29539e-13, 0, 1.41421, -1.29539e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.35854e-15, 0, 0, 8.03766e-18, 0, 0, 1.28172e-13, 0, 0, 0
0.35917, 0, 2.70185e-13, 0, 1.41421, -2.70185e-13, 0, 0, 0, 0, 0, 0, 0, 0, 2.83355e-15, 0, 0, 1.71e-17, 0, 0, 2.67334e-13, 0, 0, 0
0.36737, 0, 5.55406e-13, 0, 1.41421, -5.55406e-13, 0, 0, 0, 0, 0, 0, 0, 0, 5.82481e-15, 0, 0, 3.59111e-17, 0, 0, 5.49545e-13, 0, 0, 0
0.375571, 0, 1.12541e-12, 2.66247e-44, 1.41421, -1.12541e-12, 0, 2.66247e-44, 2.66247e-44, 2.66247e-44, 2.66247e-44, 2.66247e-44, 2.66247e-44, 2.66247e-44, 1.18029e-14, 2.66247e-44, 2.66247e-44, 7.44786e-17, 2.66247e-44, 2.66247e-44, 1.11353e-12, 2.66247e-44, 2.66247e-44, 2.66247e-44
0.383771, 0, 2.24806e-12, 5.36697e-43, 1.41421, -2.24806e-12, 0, 5.36697e-43, 5.36697e-43, 5.36697e-43, 5.36697e-43, 5.36697e-43, 5.36697e-43, 5.36697e-43, 2.35775e-14, 5.36697e-43, 5.36697e-43, 1.52625e-16, 5.36697e-43, 5.36697e-43, 2.22433e-12, 5.36697e-43, 5.36697e-43, 5.36697e-43
