SCLK_A,SCLK_B,PMC,real_time_A,real_time_B,live_time_A,live_time_B,yellow_piece_temp,XPERCHAN_A,XPERCHAN_B,OFFSET_A,OFFSET_B
715366907,715366908,335,40,40,35.58706516,35.56362797,0.664,7.862,7.880994,-18.5,-22.399988
715366951,715366952,336,40,40,35.5700081,35.33856558,0.471,7.862,7.880994,-18.5,-22.399988
715367001,715367002,337,40,40,35.57897098,35.55324527,0.504,7.862,7.880994,-18.5,-22.399988
715367055,715367056,338,40,40,35.5591026,35.33802748,0.953,7.862,7.880994,-18.5,-22.399988
715367100,715367101,339,40,40,35.57110673,35.55743823,0.6,7.862,7.880994,-18.5,-22.399988
715367144,715367145,340,40,40,35.57589657,35.37328415,0.504,7.862,7.880994,-18.5,-22.399988
715367194,715367194,341,40,40,35.56048035,35.58354798,0.792,7.862,7.880994,-18.5,-22.399988
715367238,715367239,342,40,40,35.57884883,35.55089223,0.471,7.862,7.880994,-18.5,-22.399988
715367282,715367283,343,40,40,35.5920904,35.35753513,0.696,7.862,7.880994,-18.5,-22.399988
715367327,715367328,344,40,40,35.5743799,35.55855819,0.696,7.862,7.880994,-18.5,-22.399988
715367371,715367372,345,40,40,35.59434828,35.33940466,0.856,7.862,7.880994,-18.5,-22.399988
715367421,715367421,346,40,40,35.5689096,35.55203159,0.792,7.862,7.880994,-18.5,-22.399988
715367631,715367632,347,40,40,35.57418737,35.5595024,0.696,7.862,7.880994,-18.5,-22.399988
715367675,715367676,348,40,40,35.57758953,35.35076823,0.696,7.862,7.880994,-18.5,-22.399988
715367720,715367721,349,40,40,35.57902396,35.56921098,0.92,7.862,7.880994,-18.5,-22.399988
715367764,715367765,350,40,40,35.57417522,35.56122524,0.696,7.862,7.880994,-18.5,-22.399988
715367808,715367809,351,40,40,35.55847114,35.37476449,0.953,7.862,7.880994,-18.5,-22.399988
715367853,715367854,352,40,40,35.5839298,35.56617891,0.696,7.862,7.880994,-18.5,-22.399988
715367897,715367898,353,40,40,35.57731734,35.33665777,0.824,7.862,7.880994,-18.5,-22.399988
715367942,715367943,354,40,40,35.55266447,35.55733297,1.017,7.862,7.880994,-18.5,-22.399988
715367996,715367997,355,40,40,35.56698652,35.3315946,0.76,7.862,7.880994,-18.5,-22.399988
715368040,715368041,356,40,40,35.57326176,35.55542609,0.76,7.862,7.880994,-18.5,-22.399988
715368085,715368086,357,40,40,35.57166272,35.35571837,0.76,7.862,7.880994,-18.5,-22.399988
715368129,715368130,358,40,40,35.570913,35.5711652,0.728,7.862,7.880994,-18.5,-22.399988
715368179,715368180,359,40,40,35.59539136,35.56725057,0.824,7.862,7.880994,-18.5,-22.399988
