Column1,PMC,emblem,Na ox%,Na peak area,Na abs error,Mg ox%,Mg peak area,Mg abs error,Al ox%,Al peak area,Al abs error,Si ox%,Si peak area,Si abs error,P ox%,P peak area,P abs error,S ox%,S peak area,S abs error,Cl ox%,Cl peak area,Cl abs error,K ox%,K peak area,K abs error,Ca ox%,Ca peak area,Ca error,Ti ox%,Ti peak area,Ti abs error,Cr ox%,Cr peak area,Cr abs error,Mn ox%,Mn peak area,Mn abs error,Fe ox%,Fe peak area,Fe abs error,Ni ox%,Ni peak,Ni abs error,Zn ox%,Zn peak area%,Zn abs error,Br ox%,Br peak area,Br abs error
0,70,shot_0,10.84,798.2,0.74%,0.65,268.5,0.24%,22.25,28061.9,1.12%,55.75,137804.1,2.80%,0.13,413.9,0.14%,0.83,5129.3,0.28%,3.4124,42567,0.54%,9.23,83306.9,0.49%,6.71,68430.4,0.34%,0.24,3063.8,0.21%,0,0,,0,0,,0.17,4485.8,0.18%,0.0128,413.3,0.03%,0.0124,323,0.03%,0.0337,348.6,0.04%
1,71,shot_1,9.9,726.4,0.70%,0.69,289.5,0.25%,22.06,27997,1.11%,55.79,138521,2.80%,0.14,431.7,0.15%,0.86,5275.7,0.29%,3.4138,42555.3,0.54%,9.34,84044.6,0.50%,6.77,68659.7,0.34%,0.22,2787,0.20%,0,0,,0,0,,0.17,4444.2,0.17%,0.0157,503.7,0.03%,0.0105,269.9,0.02%,0.0395,406,0.04%
2,72,shot_2,11.06,815.1,0.75%,0.67,278.1,0.24%,22.2,27966.1,1.12%,56.07,138654,2.81%,0.16,498.2,0.17%,0.83,5089.8,0.28%,3.3535,41879.4,0.55%,9.46,85502.1,0.50%,6.67,67909.4,0.34%,0.21,2581.4,0.19%,0,0,,0,0,,0.17,4428.6,0.17%,0.0112,360.5,0.03%,0.0087,226.5,0.02%,0.0352,364.9,0.04%
3,73,shot_3,10.13,743.1,0.71%,0.76,318.1,0.27%,21.67,27402.1,1.09%,55.38,137554,2.78%,0.15,466.5,0.16%,0.85,5223.3,0.29%,3.4116,42591.2,0.54%,9.55,86001.3,0.51%,6.68,67544.2,0.34%,0.18,2256.1,0.18%,0,0,,0,0,,0.18,4620,0.18%,0.013,417,0.03%,0.0135,348.6,0.03%,0.0417,427.7,0.03%
4,74,shot_4,0.8,62.9,0.38%,0.5,245.9,0.19%,52.06,74345.8,2.62%,9.8,16966.7,0.50%,0.18,529.5,0.18%,0.46,2723.4,0.20%,1.0498,12608.2,0.34%,0.22,2064.6,0.20%,0.29,3615.4,0.23%,0.1,1730.9,0.12%,0,0,,0,48.1,,0.12,4465.3,0.14%,0.0301,1379.2,0.03%,0.0143,532.1,0.03%,0.0198,296.8,0.04%
5,75,shot_5,0.91,71.3,0.40%,0.59,289.1,0.22%,49.84,70677.5,2.50%,10.11,17596.3,0.51%,0.18,528.4,0.18%,0.5,2923.8,0.18%,1.0699,12831.7,0.34%,0.26,2444.1,0.22%,0.31,3842.9,0.23%,0.06,996.1,0.07%,0,0,,0,0,,0.13,4913.8,0.15%,0.0332,1509.8,0.03%,0.0158,580.7,0.03%,0.0339,502.6,0.04%
6,76,shot_6,10.59,782.5,0.73%,0.65,273.1,0.24%,21.57,27352.8,1.09%,55.61,138709.3,2.79%,0.14,429.1,0.15%,0.9,5569.9,0.30%,3.3835,42419.2,0.55%,9.31,84304,0.50%,6.66,67984.8,0.33%,0.19,2439.9,0.19%,0,0,,0,0,,0.19,4889.7,0.18%,0.0147,475.3,0.03%,0.0124,323.1,0.03%,0.0392,406.2,0.04%
7,77,shot_7,10.87,803,0.74%,0.69,286.8,0.25%,21.68,27416.1,1.10%,55.6,138422.7,2.79%,0.16,514.5,0.17%,0.9,5579.6,0.30%,3.4041,42702.1,0.55%,9.45,85568.1,0.50%,6.7,68292.1,0.34%,0.23,2870.5,0.21%,0,0,,0,0,,0.18,4760.5,0.18%,0.0124,398.3,0.03%,0.0098,254,0.02%,0.0314,324.7,0.04%
8,78,shot_8,10.86,803.2,0.74%,0.76,319.2,0.27%,21.98,27814.5,1.11%,55.85,138858.1,2.80%,0.17,526.9,0.17%,0.82,5108.8,0.28%,3.4288,42980.6,0.54%,9.26,83891.9,0.49%,6.68,68390.9,0.34%,0.24,3024.5,0.21%,0,0,,0,0,,0.17,4536,0.18%,0.0139,450,0.03%,0.0103,267.7,0.02%,0.0298,309.9,0.04%
9,79,shot_9,11.03,816.7,0.75%,0.64,265.8,0.23%,22.13,28003.3,1.12%,56.29,139858.9,2.82%,0.13,406.3,0.14%,0.86,5322.4,0.29%,3.3645,42145,0.55%,9.2,83494.1,0.49%,6.74,69155.3,0.34%,0.25,3187.5,0.22%,0,0,,0,0,,0.17,4400.8,0.17%,0.0129,419.9,0.03%,0.0115,300.6,0.03%,0.0477,496.3,0.03%
