   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_296.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0205701, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0127006, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00483108, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00303842, 0, 4.97853e-21, 0, 1.41421, -4.97853e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20208e-23, 0, 0, 3.73579e-25, 3.92997e-24, 0, 4.9522e-21, 0, 0, 0
0.0109079, 0, 1.11403e-20, 0, 1.41421, -1.11403e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92745e-23, 0, 0, 8.50814e-25, 8.95127e-24, 0, 1.10812e-20, 0, 0, 0
0.0187774, 0, 2.45801e-20, 0, 1.41421, -2.45801e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08718e-22, 0, 0, 1.9105e-24, 2.00944e-23, 0, 2.44494e-20, 0, 0, 0
0.0266469, 0, 5.35123e-20, 0, 1.41421, -5.35123e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36683e-22, 0, 0, 4.23273e-24, 4.44932e-23, 0, 5.32269e-20, 0, 0, 0
0.0345164, 0, 1.15016e-19, 0, 1.41421, -1.15016e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08705e-22, 0, 0, 9.25806e-24, 9.7238e-23, 0, 1.14401e-19, 0, 0, 0
0.0423859, 0, 2.44189e-19, 0, 1.41421, -2.44189e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08001e-21, 0, 0, 2.00023e-23, 2.09875e-22, 0, 2.42879e-19, 0, 0, 0
0.0502554, 0, 5.12331e-19, 0, 1.41421, -5.12331e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26591e-21, 0, 0, 4.27075e-23, 4.47604e-22, 0, 5.09574e-19, 0, 0, 0
0.0581249, 0, 1.06269e-18, 0, 1.41421, -1.06269e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69996e-21, 0, 0, 9.0152e-23, 9.43714e-22, 0, 1.05696e-18, 0, 0, 0
0.0659944, 0, 2.18001e-18, 0, 1.41421, -2.18001e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64135e-21, 0, 0, 1.88218e-22, 1.96781e-21, 0, 2.16821e-18, 0, 0, 0
0.0738639, 0, 4.4243e-18, 0, 1.41421, -4.4243e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95667e-20, 0, 0, 3.88787e-22, 4.05967e-21, 0, 4.40028e-18, 0, 0, 0
0.0817334, 0, 8.8857e-18, 0, 1.41421, -8.8857e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92967e-20, 0, 0, 7.94799e-22, 8.28912e-21, 0, 8.83732e-18, 0, 0, 0
0.0896029, 0, 1.76653e-17, 0, 1.41421, -1.76653e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.81228e-20, 0, 0, 1.60852e-21, 1.67564e-20, 0, 1.75688e-17, 0, 0, 0
0.0974724, 0, 3.47725e-17, 0, 1.41421, -3.47725e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53775e-19, 0, 0, 3.22353e-21, 3.35451e-20, 0, 3.4582e-17, 0, 0, 0
