   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_307.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0206187, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0127503, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00488187, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00298655, 0, 1.04844e-20, 0, 1.41421, -1.04844e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69786e-23, 0, 0, 5.39593e-25, 0, 6.98787e-24, 0, 1.04099e-20, 0, 0, 0
0.010855, 0, 2.30638e-20, 0, 1.41421, -2.30638e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47339e-22, 0, 0, 1.20603e-24, 0, 1.56282e-23, 0, 2.28996e-20, 0, 0, 0
0.0187234, 0, 5.00511e-20, 0, 1.41421, -5.00511e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1974e-22, 0, 0, 2.65937e-24, 0, 3.44716e-23, 0, 4.96943e-20, 0, 0, 0
0.0265918, 0, 1.07218e-19, 0, 1.41421, -1.07218e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8493e-22, 0, 0, 5.78906e-24, 0, 7.50442e-23, 0, 1.06452e-19, 0, 0, 0
0.0344602, 0, 2.26852e-19, 0, 1.41421, -2.26852e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44915e-21, 0, 0, 1.24481e-23, 0, 1.61344e-22, 0, 2.25229e-19, 0, 0, 0
0.0423286, 0, 4.74293e-19, 0, 1.41421, -4.74293e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02979e-21, 0, 0, 2.64534e-23, 0, 3.42772e-22, 0, 4.70894e-19, 0, 0, 0
0.0501971, 0, 9.80341e-19, 0, 1.41421, -9.80341e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26237e-21, 0, 0, 5.55832e-23, 0, 7.19944e-22, 0, 9.73304e-19, 0, 0, 0
0.0580655, 0, 2.00403e-18, 0, 1.41421, -2.00403e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28015e-20, 0, 0, 1.15522e-22, 0, 1.49563e-21, 0, 1.98962e-18, 0, 0, 0
0.0659339, 0, 4.05305e-18, 0, 1.41421, -4.05305e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.589e-20, 0, 0, 2.37577e-22, 0, 3.07438e-21, 0, 4.02385e-18, 0, 0, 0
0.0738023, 0, 8.11242e-18, 0, 1.41421, -8.11242e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18196e-20, 0, 0, 4.83624e-22, 0, 6.25544e-21, 0, 8.05386e-18, 0, 0, 0
0.0816707, 0, 1.60742e-17, 0, 1.41421, -1.60742e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02675e-19, 0, 0, 9.74761e-22, 0, 1.26028e-20, 0, 1.59579e-17, 0, 0, 0
0.0895392, 0, 3.15378e-17, 0, 1.41421, -3.15378e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01448e-19, 0, 0, 1.9458e-21, 0, 2.51489e-20, 0, 3.13093e-17, 0, 0, 0
0.0974076, 0, 6.12858e-17, 0, 1.41421, -6.12858e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91458e-19, 0, 0, 3.84777e-21, 0, 4.972e-20, 0, 6.08408e-17, 0, 0, 0
0.105276, 0, 1.1798e-16, 0, 1.41421, -1.1798e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53573e-19, 0, 0, 7.53931e-21, 0, 9.74128e-20, 0, 1.17121e-16, 0, 0, 0
0.113144, 0, 2.25039e-16, 0, 1.41421, -2.25039e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43737e-18, 0, 0, 1.46405e-20, 0, 1.89181e-19, 0, 2.23398e-16, 0, 0, 0
0.121013, 0, 4.2539e-16, 0, 1.41421, -4.2539e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71701e-18, 0, 0, 2.81811e-20, 0, 3.64257e-19, 0, 4.2228e-16, 0, 0, 0
0.128881, 0, 7.97014e-16, 0, 1.41421, -7.97014e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09051e-18, 0, 0, 5.37795e-20, 0, 6.95498e-19, 0, 7.91174e-16, 0, 0, 0
0.13675, 0, 1.48033e-15, 0, 1.41421, -1.48033e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45468e-18, 0, 0, 1.01766e-19, 0, 1.31712e-18, 0, 1.46946e-15, 0, 0, 0
0.144618, 0, 2.726e-15, 0, 1.41421, -2.726e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74103e-17, 0, 0, 1.90974e-19, 0, 2.47442e-18, 0, 2.70593e-15, 0, 0, 0
