   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_337.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0220131, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0141425, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00627186, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00159874, 0, 2.53559e-21, 0, 1.41421, -2.53559e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09302e-24, 0, 0, 1.41706e-25, 0, 1.63807e-24, 0, 2.52571e-21, 0, 0, 0
0.00946935, 0, 5.79341e-21, 0, 1.41421, -5.79341e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8491e-23, 0, 0, 3.2892e-25, 0, 3.81435e-24, 0, 5.77078e-21, 0, 0, 0
0.0173399, 0, 1.30416e-20, 0, 1.41421, -1.30416e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16249e-23, 0, 0, 7.52242e-25, 0, 8.74616e-24, 0, 1.29905e-20, 0, 0, 0
0.0252106, 0, 2.8946e-20, 0, 1.41421, -2.8946e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.23855e-23, 0, 0, 1.69634e-24, 0, 1.97647e-23, 0, 2.88322e-20, 0, 0, 0
0.0330812, 0, 6.33842e-20, 0, 1.41421, -6.33842e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02297e-22, 0, 0, 3.77435e-24, 0, 4.4051e-23, 0, 6.31341e-20, 0, 0, 0
0.0409518, 0, 1.37011e-19, 0, 1.41421, -1.37011e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37281e-22, 0, 0, 8.29076e-24, 0, 9.6895e-23, 0, 1.36469e-19, 0, 0, 0
0.0488224, 0, 2.92507e-19, 0, 1.41421, -2.92507e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33543e-22, 0, 0, 1.79886e-23, 0, 2.10465e-22, 0, 2.91345e-19, 0, 0, 0
0.056693, 0, 6.17044e-19, 0, 1.41421, -6.17044e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96928e-21, 0, 0, 3.85702e-23, 0, 4.51666e-22, 0, 6.14584e-19, 0, 0, 0
0.0645636, 0, 1.28668e-18, 0, 1.41421, -1.28668e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10635e-21, 0, 0, 8.17592e-23, 0, 9.58108e-22, 0, 1.28153e-18, 0, 0, 0
0.0724342, 0, 2.65313e-18, 0, 1.41421, -2.65313e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.46717e-21, 0, 0, 1.71403e-22, 0, 2.00983e-21, 0, 2.64248e-18, 0, 0, 0
0.0803048, 0, 5.41158e-18, 0, 1.41421, -5.41158e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72702e-20, 0, 0, 3.55507e-22, 0, 4.17079e-21, 0, 5.38979e-18, 0, 0, 0
0.0881754, 0, 1.09219e-17, 0, 1.41421, -1.09219e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48549e-20, 0, 0, 7.29718e-22, 0, 8.56528e-21, 0, 1.08777e-17, 0, 0, 0
0.096046, 0, 2.1817e-17, 0, 1.41421, -2.1817e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96234e-20, 0, 0, 1.48274e-21, 0, 1.74129e-20, 0, 2.17285e-17, 0, 0, 0
0.103917, 0, 4.31442e-17, 0, 1.41421, -4.31442e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37682e-19, 0, 0, 2.98326e-21, 0, 3.50535e-20, 0, 4.29685e-17, 0, 0, 0
0.111787, 0, 8.44867e-17, 0, 1.41421, -8.44867e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69609e-19, 0, 0, 5.94507e-21, 0, 6.98997e-20, 0, 8.41412e-17, 0, 0, 0
