   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_341.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0202697, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124011, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00453256, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00333599, 0, 1.49415e-21, 0, 1.41421, -1.49415e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0115e-25, 0, 1.27528e-24, 0, 1.49278e-21, 0, 0, 0
0.0112045, 0, 3.45744e-21, 0, 1.41421, -3.45744e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37847e-25, 0, 2.99007e-24, 0, 3.45421e-21, 0, 0, 0
0.0190731, 0, 7.87726e-21, 0, 1.41421, -7.87726e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.50681e-25, 0, 6.90269e-24, 0, 7.8698e-21, 0, 0, 0
0.0269417, 0, 1.76853e-20, 0, 1.41421, -1.76853e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25642e-24, 0, 1.57033e-23, 0, 1.76684e-20, 0, 0, 0
0.0348102, 0, 3.91542e-20, 0, 1.41421, -3.91542e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82701e-24, 0, 3.52306e-23, 0, 3.91162e-20, 0, 0, 0
0.0426788, 0, 8.55352e-20, 0, 1.41421, -8.55352e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27699e-24, 0, 7.80001e-23, 0, 8.54509e-20, 0, 0, 0
0.0505473, 0, 1.84482e-19, 0, 1.41421, -1.84482e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37613e-23, 0, 1.70518e-22, 0, 1.84298e-19, 0, 0, 0
