   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_3.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0232779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0153572, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00743638, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000484393, 0, 3.5263e-18, 0, 1.41421, -3.5263e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08306e-22, 2.58533e-21, 0, 3.52341e-18, 0, 0, 0
0.00840517, 0, 6.74963e-18, 0, 1.41421, -6.74963e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99603e-22, 5.04753e-21, 0, 6.74398e-18, 0, 0, 0
0.0163259, 0, 1.28045e-17, 0, 1.41421, -1.28045e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15594e-21, 9.76928e-21, 0, 1.27936e-17, 0, 0, 0
0.0242467, 0, 2.40806e-17, 0, 1.41421, -2.40806e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20956e-21, 1.87494e-20, 0, 2.40596e-17, 0, 0, 0
0.0321675, 0, 4.49041e-17, 0, 1.41421, -4.49041e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18861e-21, 3.56914e-20, 0, 4.48643e-17, 0, 0, 0
0.0400883, 0, 8.30437e-17, 0, 1.41421, -8.30437e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87623e-21, 6.74054e-20, 0, 8.29685e-17, 0, 0, 0
0.0480091, 0, 1.52336e-16, 0, 1.41421, -1.52336e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46937e-20, 1.2632e-19, 0, 1.52195e-16, 0, 0, 0
0.0559298, 0, 2.77233e-16, 0, 1.41421, -2.77233e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72007e-20, 2.34956e-19, 0, 2.7697e-16, 0, 0, 0
0.0638506, 0, 5.00609e-16, 0, 1.41421, -5.00609e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99733e-20, 4.33825e-19, 0, 5.00125e-16, 0, 0, 0
0.0717714, 0, 8.97059e-16, 0, 1.41421, -8.97059e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11309e-20, 7.95302e-19, 0, 8.96173e-16, 0, 0, 0
0.0796922, 0, 1.5954e-15, 0, 1.41421, -1.5954e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64976e-19, 1.4478e-18, 0, 1.59379e-15, 0, 0, 0
