   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_98.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0224353, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0145539, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0066725, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0012089, 0, 9.44203e-22, 0, 1.41421, -9.44203e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99444e-26, 0, 4.05325e-25, 0, 9.43707e-22, 0, 0, 0
0.0090903, 0, 2.23837e-21, 0, 1.41421, -2.23837e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16664e-25, 0, 9.799e-25, 0, 2.23717e-21, 0, 0, 0
0.0169717, 0, 5.21491e-21, 0, 1.41421, -5.21491e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12839e-25, 0, 2.32605e-24, 0, 5.21207e-21, 0, 0, 0
0.0248531, 0, 1.19526e-20, 0, 1.41421, -1.19526e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1941e-24, 0, 5.42813e-24, 0, 1.1946e-20, 0, 0, 0
0.0327345, 0, 2.69757e-20, 0, 1.41421, -2.69757e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73765e-24, 0, 1.24663e-23, 0, 2.69605e-20, 0, 0, 0
0.0406159, 0, 5.99958e-20, 0, 1.41421, -5.99958e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18524e-24, 0, 2.82023e-23, 0, 5.99614e-20, 0, 0, 0
0.0484973, 0, 1.31586e-19, 0, 1.41421, -1.31586e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37814e-23, 0, 6.28977e-23, 0, 1.31509e-19, 0, 0, 0
0.0563787, 0, 2.84775e-19, 0, 1.41421, -2.84775e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03017e-23, 0, 1.38388e-22, 0, 2.84606e-19, 0, 0, 0
0.0642601, 0, 6.08469e-19, 0, 1.41421, -6.08469e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.57855e-23, 0, 3.00574e-22, 0, 6.08103e-19, 0, 0, 0
0.0721415, 0, 1.2842e-18, 0, 1.41421, -1.2842e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41093e-22, 0, 6.44821e-22, 0, 1.28341e-18, 0, 0, 0
0.0800229, 0, 2.67839e-18, 0, 1.41421, -2.67839e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99086e-22, 0, 1.36705e-21, 0, 2.67673e-18, 0, 0, 0
0.0879043, 0, 5.52252e-18, 0, 1.41421, -5.52252e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.26877e-22, 0, 2.86539e-21, 0, 5.51903e-18, 0, 0, 0
0.0957857, 0, 1.1261e-17, 0, 1.41421, -1.1261e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29965e-21, 0, 5.94044e-21, 0, 1.12537e-17, 0, 0, 0
0.103667, 0, 2.27159e-17, 0, 1.41421, -2.27159e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6661e-21, 0, 1.21857e-20, 0, 2.2701e-17, 0, 0, 0
0.111549, 0, 4.53446e-17, 0, 1.41421, -4.53446e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41334e-21, 0, 2.4742e-20, 0, 4.53144e-17, 0, 0, 0
0.11943, 0, 8.95938e-17, 0, 1.41421, -8.95938e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08821e-20, 0, 4.97392e-20, 0, 8.95332e-17, 0, 0, 0
0.127311, 0, 1.75263e-16, 0, 1.41421, -1.75263e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16636e-20, 0, 9.90309e-20, 0, 1.75142e-16, 0, 0, 0
0.135193, 0, 3.39513e-16, 0, 1.41421, -3.39513e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27184e-20, 0, 1.95327e-19, 0, 3.39275e-16, 0, 0, 0
0.143074, 0, 6.51419e-16, 0, 1.41421, -6.51419e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3456e-20, 0, 3.81752e-19, 0, 6.50954e-16, 0, 0, 0
0.150956, 0, 1.23817e-15, 0, 1.41421, -1.23817e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61562e-19, 0, 7.39473e-19, 0, 1.23727e-15, 0, 0, 0
0.158837, 0, 2.33177e-15, 0, 1.41421, -2.33177e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09983e-19, 0, 1.41996e-18, 0, 2.33004e-15, 0, 0, 0
