   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_127.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0221811, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.014291, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00640092, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00148919, 0, 3.36134e-20, 0, 1.41421, -3.36134e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.56928e-23, 0, 0, 1.46623e-24, 0, 1.90148e-23, 0, 3.34972e-20, 0, 0, 0
0.0093793, 0, 7.23239e-20, 0, 1.41421, -7.23239e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05894e-22, 0, 0, 3.19135e-24, 0, 4.16821e-23, 0, 7.20732e-20, 0, 0, 0
0.0172694, 0, 1.53703e-19, 0, 1.41421, -1.53703e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37562e-22, 0, 0, 6.86226e-24, 0, 9.02397e-23, 0, 1.53168e-19, 0, 0, 0
0.0251595, 0, 3.22791e-19, 0, 1.41421, -3.22791e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.18912e-22, 0, 0, 1.45845e-23, 0, 1.93048e-22, 0, 3.21665e-19, 0, 0, 0
0.0330496, 0, 6.70174e-19, 0, 1.41421, -6.70174e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90781e-21, 0, 0, 3.06506e-23, 0, 4.08286e-22, 0, 6.67828e-19, 0, 0, 0
0.0409398, 0, 1.37609e-18, 0, 1.41421, -1.37609e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91732e-21, 0, 0, 6.37208e-23, 0, 8.54047e-22, 0, 1.37126e-18, 0, 0, 0
0.0488299, 0, 2.79544e-18, 0, 1.41421, -2.79544e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.95768e-21, 0, 0, 1.3109e-22, 0, 1.76761e-21, 0, 2.78558e-18, 0, 0, 0
0.05672, 0, 5.61997e-18, 0, 1.41421, -5.61997e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5998e-20, 0, 0, 2.66961e-22, 0, 3.62106e-21, 0, 5.60008e-18, 0, 0, 0
0.0646101, 0, 1.11847e-17, 0, 1.41421, -1.11847e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18382e-20, 0, 0, 5.38326e-22, 0, 7.34467e-21, 0, 1.11449e-17, 0, 0, 0
