   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_204.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0199962, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0121154, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00423466, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0036461, 0, 3.28986e-21, 0, 1.41421, -3.28986e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35798e-23, 0, 0, 2.0474e-25, 1.77925e-24, 0, 3.2743e-21, 0, 0, 0
0.0115269, 0, 7.56449e-21, 0, 1.41421, -7.56449e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1224e-23, 0, 0, 4.75975e-25, 4.18021e-24, 0, 7.5286e-21, 0, 0, 0
0.0194076, 0, 1.71255e-20, 0, 1.41421, -1.71255e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06882e-23, 0, 0, 1.08971e-24, 9.66273e-24, 0, 1.7044e-20, 0, 0, 0
0.0272884, 0, 3.82064e-20, 0, 1.41421, -3.82064e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57701e-22, 0, 0, 2.45895e-24, 2.19972e-23, 0, 3.80243e-20, 0, 0, 0
0.0351691, 0, 8.4058e-20, 0, 1.41421, -8.4058e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46955e-22, 0, 0, 5.47307e-24, 4.93594e-23, 0, 8.36562e-20, 0, 0, 0
0.0430499, 0, 1.82494e-19, 0, 1.41421, -1.82494e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53247e-22, 0, 0, 1.20236e-23, 1.09252e-22, 0, 1.8162e-19, 0, 0, 0
0.0509306, 0, 3.91195e-19, 0, 1.41421, -3.91195e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61464e-21, 0, 0, 2.60859e-23, 2.38685e-22, 0, 3.89315e-19, 0, 0, 0
0.0588114, 0, 8.28379e-19, 0, 1.41421, -8.28379e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41906e-21, 0, 0, 5.59208e-23, 5.1501e-22, 0, 8.24389e-19, 0, 0, 0
0.0666921, 0, 1.73361e-18, 0, 1.41421, -1.73361e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15521e-21, 0, 0, 1.18504e-22, 1.09805e-21, 0, 1.72523e-18, 0, 0, 0
0.0745729, 0, 3.58699e-18, 0, 1.41421, -3.58699e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48046e-20, 0, 0, 2.48345e-22, 2.31442e-21, 0, 3.56962e-18, 0, 0, 0
0.0824537, 0, 7.34042e-18, 0, 1.41421, -7.34042e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02958e-20, 0, 0, 5.1488e-22, 4.8246e-21, 0, 7.30479e-18, 0, 0, 0
0.0903344, 0, 1.48615e-17, 0, 1.41421, -1.48615e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13362e-20, 0, 0, 1.05639e-21, 9.95036e-21, 0, 1.47891e-17, 0, 0, 0
0.0982152, 0, 2.97767e-17, 0, 1.41421, -2.97767e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22893e-19, 0, 0, 2.14554e-21, 2.03107e-20, 0, 2.96314e-17, 0, 0, 0
0.106096, 0, 5.90579e-17, 0, 1.41421, -5.90579e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43737e-19, 0, 0, 4.31483e-21, 4.10444e-20, 0, 5.87688e-17, 0, 0, 0
0.113977, 0, 1.15976e-16, 0, 1.41421, -1.15976e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78636e-19, 0, 0, 8.5943e-21, 8.21395e-20, 0, 1.15407e-16, 0, 0, 0
0.121857, 0, 2.25548e-16, 0, 1.41421, -2.25548e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30827e-19, 0, 0, 1.6958e-20, 1.62829e-19, 0, 2.24437e-16, 0, 0, 0
0.129738, 0, 4.34483e-16, 0, 1.41421, -4.34483e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79307e-18, 0, 0, 3.31546e-20, 3.19815e-19, 0, 4.32337e-16, 0, 0, 0
0.137619, 0, 8.29181e-16, 0, 1.41421, -8.29181e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42189e-18, 0, 0, 6.42393e-20, 6.2252e-19, 0, 8.25072e-16, 0, 0, 0
0.1455, 0, 1.56797e-15, 0, 1.41421, -1.56797e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47062e-18, 0, 0, 1.23373e-19, 1.20112e-18, 0, 1.56017e-15, 0, 0, 0
0.15338, 0, 2.93832e-15, 0, 1.41421, -2.93832e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21255e-17, 0, 0, 2.34895e-19, 2.29765e-18, 0, 2.92366e-15, 0, 0, 0
0.161261, 0, 5.45754e-15, 0, 1.41421, -5.45754e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25211e-17, 0, 0, 4.4343e-19, 4.35839e-18, 0, 5.43021e-15, 0, 0, 0
0.169142, 0, 1.00481e-14, 0, 1.41421, -1.00481e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.14638e-17, 0, 0, 8.30104e-19, 8.19959e-18, 0, 9.9976e-15, 0, 0, 0
0.177023, 0, 1.83404e-14, 0, 1.41421, -1.83404e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.56808e-17, 0, 0, 1.54118e-18, 1.53022e-17, 0, 1.82479e-14, 0, 0, 0
0.184904, 0, 3.3191e-14, 0, 1.41421, -3.3191e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36958e-16, 0, 0, 2.83817e-18, 2.83321e-17, 0, 3.30229e-14, 0, 0, 0
0.192784, 0, 5.95607e-14, 0, 1.41421, -5.95607e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45763e-16, 0, 0, 5.18504e-18, 5.20517e-17, 0, 5.92577e-14, 0, 0, 0
0.200665, 0, 1.0599e-13, 0, 1.41421, -1.0599e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37335e-16, 0, 0, 9.39823e-18, 9.49043e-17, 0, 1.05449e-13, 0, 0, 0
0.208546, 0, 1.87058e-13, 0, 1.41421, -1.87058e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.7182e-16, 0, 0, 1.69033e-17, 1.71748e-16, 0, 1.86098e-13, 0, 0, 0
0.216427, 0, 3.28062e-13, 0, 1.41421, -3.28062e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35359e-15, 0, 0, 3.02711e-17, 3.09765e-16, 0, 3.26368e-13, 0, 0, 0
0.224307, 0, 5.69452e-13, 0, 1.41421, -5.69452e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34954e-15, 0, 0, 5.36087e-17, 5.52283e-16, 0, 5.66497e-13, 0, 0, 0
0.232188, 0, 9.80555e-13, 0, 1.41421, -9.80555e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04568e-15, 0, 0, 9.42442e-17, 9.77816e-16, 0, 9.75437e-13, 0, 0, 0
0.240069, 0, 1.67504e-12, 0, 1.41421, -1.67504e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.911e-15, 0, 0, 1.64491e-16, 1.71935e-15, 0, 1.66624e-12, 0, 0, 0
0.24795, 0, 2.83884e-12, 0, 1.41421, -2.83884e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17127e-14, 0, 0, 2.85076e-16, 3.00292e-15, 0, 2.82384e-12, 0, 0, 0
0.25583, 0, 4.77355e-12, 0, 1.41421, -4.77355e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96952e-14, 0, 0, 4.90656e-16, 5.21019e-15, 0, 4.74816e-12, 0, 0, 0
0.263711, 0, 7.96434e-12, 0, 1.41421, -7.96434e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28608e-14, 0, 0, 8.38833e-16, 8.98175e-15, 0, 7.92166e-12, 0, 0, 0
0.271592, 0, 1.31851e-11, 0, 1.41421, -1.31851e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44039e-14, 0, 0, 1.42475e-15, 1.53863e-14, 0, 1.31139e-11, 0, 0, 0
0.279473, 0, 2.16604e-11, 0, 1.41421, -2.16604e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.93792e-14, 0, 0, 2.40468e-15, 2.61963e-14, 0, 2.15424e-11, 0, 0, 0
0.287353, 0, 3.53112e-11, 0, 1.41421, -3.53112e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45721e-13, 0, 0, 4.03407e-15, 4.43368e-14, 0, 3.51171e-11, 0, 0, 0
0.295234, 0, 5.71273e-11, 0, 1.41421, -5.71273e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35778e-13, 0, 0, 6.72848e-15, 7.46087e-14, 0, 5.68101e-11, 0, 0, 0
0.303115, 0, 9.17225e-11, 0, 1.41421, -9.17225e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78622e-13, 0, 0, 1.11613e-14, 1.24856e-13, 0, 9.12079e-11, 0, 0, 0
