   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_291.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0207214, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0128402, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00495903, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00292215, 0, 2.02103e-21, 0, 1.41421, -2.02103e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63482e-24, 0, 0, 1.49502e-25, 0, 6.28366e-25, 0, 2.01861e-21, 0, 0, 0
0.0108033, 0, 4.71794e-21, 0, 1.41421, -4.71794e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81633e-24, 0, 0, 3.52918e-25, 0, 1.50353e-24, 0, 4.71227e-21, 0, 0, 0
0.0186845, 0, 1.08361e-20, 0, 1.41421, -1.08361e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76523e-24, 0, 0, 8.19767e-25, 0, 3.53542e-24, 0, 1.0823e-20, 0, 0, 0
0.0265657, 0, 2.45089e-20, 0, 1.41421, -2.45089e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98248e-23, 0, 0, 1.87539e-24, 0, 8.17858e-24, 0, 2.4479e-20, 0, 0, 0
0.0344469, 0, 5.46307e-20, 0, 1.41421, -5.46307e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41895e-23, 0, 0, 4.22883e-24, 0, 1.86309e-23, 0, 5.45636e-20, 0, 0, 0
0.0423281, 0, 1.2009e-19, 0, 1.41421, -1.2009e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.7137e-23, 0, 0, 9.40532e-24, 0, 4.18279e-23, 0, 1.19941e-19, 0, 0, 0
0.0502093, 0, 2.60489e-19, 0, 1.41421, -2.60489e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.107e-22, 0, 0, 2.06451e-23, 0, 9.26161e-23, 0, 2.60165e-19, 0, 0, 0
0.0580905, 0, 5.5785e-19, 0, 1.41421, -5.5785e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51221e-22, 0, 0, 4.47497e-23, 0, 2.02384e-22, 0, 5.57152e-19, 0, 0, 0
0.0659716, 0, 1.18005e-18, 0, 1.41421, -1.18005e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54481e-22, 0, 0, 9.58308e-23, 0, 4.36703e-22, 0, 1.17856e-18, 0, 0, 0
0.0738528, 0, 2.46671e-18, 0, 1.41421, -2.46671e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99518e-21, 0, 0, 2.0284e-22, 0, 9.30977e-22, 0, 2.46358e-18, 0, 0, 0
0.081734, 0, 5.09737e-18, 0, 1.41421, -5.09737e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12294e-21, 0, 0, 4.24534e-22, 0, 1.96174e-21, 0, 5.09086e-18, 0, 0, 0
0.0896152, 0, 1.04168e-17, 0, 1.41421, -1.04168e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.42541e-21, 0, 0, 8.78902e-22, 0, 4.08768e-21, 0, 1.04034e-17, 0, 0, 0
0.0974964, 0, 2.10582e-17, 0, 1.41421, -2.10582e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70324e-20, 0, 0, 1.80046e-21, 0, 8.42589e-21, 0, 2.1031e-17, 0, 0, 0
0.105378, 0, 4.21247e-17, 0, 1.41421, -4.21247e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40711e-20, 0, 0, 3.65071e-21, 0, 1.71876e-20, 0, 4.20698e-17, 0, 0, 0
0.113259, 0, 8.3406e-17, 0, 1.41421, -8.3406e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74594e-20, 0, 0, 7.32897e-21, 0, 3.4707e-20, 0, 8.32965e-17, 0, 0, 0
0.12114, 0, 1.63496e-16, 0, 1.41421, -1.63496e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32235e-19, 0, 0, 1.45711e-20, 0, 6.93988e-20, 0, 1.63279e-16, 0, 0, 0
