   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_349.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0208172, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0129367, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0050563, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00282413, 0, 1.04638e-20, 0, 1.41421, -1.04638e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79058e-25, 4.55558e-24, 0, 1.04585e-20, 0, 0, 0
0.0107046, 0, 2.32583e-20, 0, 1.41421, -2.32583e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75158e-24, 1.03565e-23, 0, 2.32462e-20, 0, 0, 0
0.018585, 0, 5.33366e-20, 0, 1.41421, -5.33366e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0874e-24, 2.45094e-23, 0, 5.3308e-20, 0, 0, 0
0.0264654, 0, 1.14852e-19, 0, 1.41421, -1.14852e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90467e-24, 5.38752e-23, 0, 1.14789e-19, 0, 0, 0
0.0343458, 0, 2.44317e-19, 0, 1.41421, -2.44317e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91682e-23, 1.16945e-22, 0, 2.4418e-19, 0, 0, 0
0.0422263, 0, 5.13713e-19, 0, 1.41421, -5.13713e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07999e-23, 2.50898e-22, 0, 5.13421e-19, 0, 0, 0
0.0501067, 0, 1.06795e-18, 0, 1.41421, -1.06795e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.58802e-23, 5.32084e-22, 0, 1.06733e-18, 0, 0, 0
0.0579871, 0, 2.19584e-18, 0, 1.41421, -2.19584e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78833e-22, 1.11589e-21, 0, 2.19455e-18, 0, 0, 0
0.0658676, 0, 4.46703e-18, 0, 1.41421, -4.46703e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68531e-22, 2.31524e-21, 0, 4.46435e-18, 0, 0, 0
0.073748, 0, 8.99358e-18, 0, 1.41421, -8.99358e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.51801e-22, 4.75402e-21, 0, 8.98807e-18, 0, 0, 0
0.0816284, 0, 1.7925e-17, 0, 1.41421, -1.7925e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51865e-21, 9.66405e-21, 0, 1.79138e-17, 0, 0, 0
0.0895088, 0, 3.53757e-17, 0, 1.41421, -3.53757e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03841e-21, 1.94545e-20, 0, 3.53532e-17, 0, 0, 0
0.0973893, 0, 6.91461e-17, 0, 1.41421, -6.91461e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02242e-21, 3.87938e-20, 0, 6.91013e-17, 0, 0, 0
0.10527, 0, 1.33886e-16, 0, 1.41421, -1.33886e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18283e-20, 7.66472e-20, 0, 1.33797e-16, 0, 0, 0
0.11315, 0, 2.56853e-16, 0, 1.41421, -2.56853e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30243e-20, 1.5008e-19, 0, 2.5668e-16, 0, 0, 0
0.121031, 0, 4.88307e-16, 0, 1.41421, -4.88307e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44264e-20, 2.91297e-19, 0, 4.87971e-16, 0, 0, 0
0.128911, 0, 9.20084e-16, 0, 1.41421, -9.20084e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49877e-20, 5.60563e-19, 0, 9.19438e-16, 0, 0, 0
0.136791, 0, 1.7185e-15, 0, 1.41421, -1.7185e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61213e-19, 1.06972e-18, 0, 1.71727e-15, 0, 0, 0
0.144672, 0, 3.18212e-15, 0, 1.41421, -3.18212e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03271e-19, 2.02465e-18, 0, 3.17979e-15, 0, 0, 0
0.152552, 0, 5.84227e-15, 0, 1.41421, -5.84227e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.65862e-19, 3.80135e-18, 0, 5.8379e-15, 0, 0, 0
0.160433, 0, 1.06364e-14, 0, 1.41421, -1.06364e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04735e-18, 7.08117e-18, 0, 1.06282e-14, 0, 0, 0
0.168313, 0, 1.92042e-14, 0, 1.41421, -1.92042e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9232e-18, 1.30893e-17, 0, 1.91892e-14, 0, 0, 0
0.176194, 0, 3.43901e-14, 0, 1.41421, -3.43901e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50404e-18, 2.40126e-17, 0, 3.43626e-14, 0, 0, 0
0.184074, 0, 6.10862e-14, 0, 1.41421, -6.10862e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.33541e-18, 4.37254e-17, 0, 6.10362e-14, 0, 0, 0
0.191954, 0, 1.07637e-13, 0, 1.41421, -1.07637e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13682e-17, 7.90421e-17, 0, 1.07547e-13, 0, 0, 0
0.199835, 0, 1.88159e-13, 0, 1.41421, -1.88159e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02472e-17, 1.41864e-16, 0, 1.87997e-13, 0, 0, 0
