   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_68.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0205483, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126566, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00476491, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00312682, 0, 9.45716e-20, 0, 1.41421, -9.45716e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47753e-24, 0, 6.15949e-23, 0, 9.45035e-20, 0, 0, 0
0.0110185, 0, 1.97935e-19, 0, 1.41421, -1.97935e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37493e-23, 0, 1.31393e-22, 0, 1.9779e-19, 0, 0, 0
0.0189103, 0, 4.09536e-19, 0, 1.41421, -4.09536e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88544e-23, 0, 2.77011e-22, 0, 4.0923e-19, 0, 0, 0
0.026802, 0, 8.37997e-19, 0, 1.41421, -8.37997e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.98941e-23, 0, 5.77465e-22, 0, 8.37359e-19, 0, 0, 0
0.0346937, 0, 1.69642e-18, 0, 1.41421, -1.69642e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23015e-22, 0, 1.19082e-21, 0, 1.6951e-18, 0, 0, 0
0.0425854, 0, 3.39865e-18, 0, 1.41421, -3.39865e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5008e-22, 0, 2.43015e-21, 0, 3.39597e-18, 0, 0, 0
0.0504771, 0, 6.74044e-18, 0, 1.41421, -6.74044e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03364e-22, 0, 4.90948e-21, 0, 6.73502e-18, 0, 0, 0
0.0583689, 0, 1.32373e-17, 0, 1.41421, -1.32373e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00344e-21, 0, 9.82202e-21, 0, 1.32265e-17, 0, 0, 0
0.0662606, 0, 2.5748e-17, 0, 1.41421, -2.5748e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9816e-21, 0, 1.94652e-20, 0, 2.57266e-17, 0, 0, 0
0.0741523, 0, 4.96158e-17, 0, 1.41421, -4.96158e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87759e-21, 0, 3.82233e-20, 0, 4.95737e-17, 0, 0, 0
0.082044, 0, 9.47374e-17, 0, 1.41421, -9.47374e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.52017e-21, 0, 7.43922e-20, 0, 9.46555e-17, 0, 0, 0
0.0899357, 0, 1.79279e-16, 0, 1.41421, -1.79279e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44577e-20, 0, 1.43535e-19, 0, 1.79121e-16, 0, 0, 0
0.0978275, 0, 3.36298e-16, 0, 1.41421, -3.36298e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75592e-20, 0, 2.74617e-19, 0, 3.35996e-16, 0, 0, 0
0.105719, 0, 6.25424e-16, 0, 1.41421, -6.25424e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20955e-20, 0, 5.21099e-19, 0, 6.24851e-16, 0, 0, 0
0.113611, 0, 1.15332e-15, 0, 1.41421, -1.15332e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.76737e-20, 0, 9.80908e-19, 0, 1.15224e-15, 0, 0, 0
0.121503, 0, 2.10916e-15, 0, 1.41421, -2.10916e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81662e-19, 0, 1.83204e-18, 0, 2.10714e-15, 0, 0, 0
0.129394, 0, 3.82569e-15, 0, 1.41421, -3.82569e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35216e-19, 0, 3.39558e-18, 0, 3.82196e-15, 0, 0, 0
0.137286, 0, 6.88346e-15, 0, 1.41421, -6.88346e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13786e-19, 0, 6.2466e-18, 0, 6.8766e-15, 0, 0, 0
0.145178, 0, 1.2287e-14, 0, 1.41421, -1.2287e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11531e-18, 0, 1.14075e-17, 0, 1.22745e-14, 0, 0, 0
0.15307, 0, 2.17608e-14, 0, 1.41421, -2.17608e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01144e-18, 0, 2.06832e-17, 0, 2.17381e-14, 0, 0, 0
0.160961, 0, 3.82413e-14, 0, 1.41421, -3.82413e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60094e-18, 0, 3.72383e-17, 0, 3.82005e-14, 0, 0, 0
0.168853, 0, 6.66896e-14, 0, 1.41421, -6.66896e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39984e-18, 0, 6.65831e-17, 0, 6.66166e-14, 0, 0, 0
0.176745, 0, 1.15421e-13, 0, 1.41421, -1.15421e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12931e-17, 0, 1.18248e-16, 0, 1.15291e-13, 0, 0, 0
0.184636, 0, 1.98265e-13, 0, 1.41421, -1.98265e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97877e-17, 0, 2.0861e-16, 0, 1.98037e-13, 0, 0, 0
0.192528, 0, 3.38044e-13, 0, 1.41421, -3.38044e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44318e-17, 0, 3.65624e-16, 0, 3.37644e-13, 0, 0, 0
0.20042, 0, 5.72125e-13, 0, 1.41421, -5.72125e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.95054e-17, 0, 6.36707e-16, 0, 5.71429e-13, 0, 0, 0
0.208312, 0, 9.61225e-13, 0, 1.41421, -9.61225e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02149e-16, 0, 1.10179e-15, 0, 9.60022e-13, 0, 0, 0
0.216203, 0, 1.60324e-12, 0, 1.41421, -1.60324e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74198e-16, 0, 1.89491e-15, 0, 1.60117e-12, 0, 0, 0
0.224095, 0, 2.65481e-12, 0, 1.41421, -2.65481e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95147e-16, 0, 3.23921e-15, 0, 2.65128e-12, 0, 0, 0
