   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_87.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0220728, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.014181, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00628923, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00160254, 0, 2.19881e-20, 0, 1.41421, -2.19881e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10361e-22, 0, 0, 2.23439e-24, 1.71e-23, 0, 2.18584e-20, 0, 0, 0
0.00949431, 0, 4.77595e-20, 0, 1.41421, -4.77595e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39707e-22, 0, 0, 4.90939e-24, 3.79295e-23, 0, 4.7477e-20, 0, 0, 0
0.0173861, 0, 1.02393e-19, 0, 1.41421, -1.02393e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13905e-22, 0, 0, 1.06493e-23, 8.30067e-23, 0, 1.01785e-19, 0, 0, 0
0.0252779, 0, 2.16806e-19, 0, 1.41421, -2.16806e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08812e-21, 0, 0, 2.28191e-23, 1.79348e-22, 0, 2.15515e-19, 0, 0, 0
0.0331696, 0, 4.53608e-19, 0, 1.41421, -4.53608e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27655e-21, 0, 0, 4.83261e-23, 3.82812e-22, 0, 4.509e-19, 0, 0, 0
0.0410614, 0, 9.38206e-19, 0, 1.41421, -9.38206e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70855e-21, 0, 0, 1.01198e-22, 8.07624e-22, 0, 9.32589e-19, 0, 0, 0
0.0489532, 0, 1.91911e-18, 0, 1.41421, -1.91911e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.6312e-21, 0, 0, 2.09629e-22, 1.6849e-21, 0, 1.90758e-18, 0, 0, 0
0.0568449, 0, 3.88366e-18, 0, 1.41421, -3.88366e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94901e-20, 0, 0, 4.29711e-22, 3.47748e-21, 0, 3.86026e-18, 0, 0, 0
0.0647367, 0, 7.77791e-18, 0, 1.41421, -7.77791e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90326e-20, 0, 0, 8.71957e-22, 7.10308e-21, 0, 7.7309e-18, 0, 0, 0
0.0726285, 0, 1.54203e-17, 0, 1.41421, -1.54203e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.73837e-20, 0, 0, 1.75202e-21, 1.4364e-20, 0, 1.53268e-17, 0, 0, 0
0.0805202, 0, 3.02723e-17, 0, 1.41421, -3.02723e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51912e-19, 0, 0, 3.48676e-21, 2.87662e-20, 0, 3.00881e-17, 0, 0, 0
0.088412, 0, 5.88602e-17, 0, 1.41421, -5.88602e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95366e-19, 0, 0, 6.87471e-21, 5.70687e-20, 0, 5.85009e-17, 0, 0, 0
0.0963038, 0, 1.13375e-16, 0, 1.41421, -1.13375e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68913e-19, 0, 0, 1.34318e-20, 1.12185e-19, 0, 1.1268e-16, 0, 0, 0
0.104196, 0, 2.16379e-16, 0, 1.41421, -2.16379e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08576e-18, 0, 0, 2.60106e-20, 2.18576e-19, 0, 2.15049e-16, 0, 0, 0
0.112087, 0, 4.09257e-16, 0, 1.41421, -4.09257e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05355e-18, 0, 0, 4.99329e-20, 4.22181e-19, 0, 4.06732e-16, 0, 0, 0
0.119979, 0, 7.67234e-16, 0, 1.41421, -7.67234e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84969e-18, 0, 0, 9.5042e-20, 8.08562e-19, 0, 7.6248e-16, 0, 0, 0
0.127871, 0, 1.42586e-15, 0, 1.41421, -1.42586e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15425e-18, 0, 0, 1.79395e-19, 1.5358e-18, 0, 1.41699e-15, 0, 0, 0
0.135763, 0, 2.62726e-15, 0, 1.41421, -2.62726e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31819e-17, 0, 0, 3.3584e-19, 2.89363e-18, 0, 2.61085e-15, 0, 0, 0
0.143654, 0, 4.80021e-15, 0, 1.41421, -4.80021e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40837e-17, 0, 0, 6.23653e-19, 5.40898e-18, 0, 4.7701e-15, 0, 0, 0
0.151546, 0, 8.6976e-15, 0, 1.41421, -8.6976e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36365e-17, 0, 0, 1.14894e-18, 1.00328e-17, 0, 8.64278e-15, 0, 0, 0
0.159438, 0, 1.56302e-14, 0, 1.41421, -1.56302e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84156e-17, 0, 0, 2.10013e-18, 1.84682e-17, 0, 1.55313e-14, 0, 0, 0
0.16733, 0, 2.78615e-14, 0, 1.41421, -2.78615e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39774e-16, 0, 0, 3.80925e-18, 3.37441e-17, 0, 2.76841e-14, 0, 0, 0
0.175222, 0, 4.92667e-14, 0, 1.41421, -4.92667e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47151e-16, 0, 0, 6.85699e-18, 6.12065e-17, 0, 4.89515e-14, 0, 0, 0
0.183113, 0, 8.64271e-14, 0, 1.41421, -8.64271e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33555e-16, 0, 0, 1.22512e-17, 1.10226e-16, 0, 8.58711e-14, 0, 0, 0
0.191005, 0, 1.50428e-13, 0, 1.41421, -1.50428e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54585e-16, 0, 0, 2.1728e-17, 1.97111e-16, 0, 1.49455e-13, 0, 0, 0
0.198897, 0, 2.59789e-13, 0, 1.41421, -2.59789e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30312e-15, 0, 0, 3.82564e-17, 3.50052e-16, 0, 2.58097e-13, 0, 0, 0
0.206789, 0, 4.45939e-13, 0, 1.41421, -4.45939e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2368e-15, 0, 0, 6.70804e-17, 6.19799e-16, 0, 4.43015e-13, 0, 0, 0
0.21468, 0, 7.58197e-13, 0, 1.41421, -7.58197e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80295e-15, 0, 0, 1.16412e-16, 1.08566e-15, 0, 7.53192e-13, 0, 0, 0
0.222572, 0, 1.27937e-12, 0, 1.41421, -1.27937e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41688e-15, 0, 0, 2.00639e-16, 1.88936e-15, 0, 1.27086e-12, 0, 0, 0
0.230464, 0, 2.1426e-12, 0, 1.41421, -2.1426e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07463e-14, 0, 0, 3.43478e-16, 3.26712e-15, 0, 2.12825e-12, 0, 0, 0
0.238356, 0, 3.56155e-12, 0, 1.41421, -3.56155e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78629e-14, 0, 0, 5.84131e-16, 5.61438e-15, 0, 3.53749e-12, 0, 0, 0
