   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_29.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.000594204, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00729943, 0, 1.07787e-16, 0, 1.41421, -1.07787e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73447e-19, 0, 0, 1.38149e-20, 0, 8.98712e-20, 0, 1.0721e-16, 0, 0, 0
0.0151931, 0, 1.92408e-16, 0, 1.41421, -1.92408e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45112e-19, 0, 0, 2.52284e-20, 0, 1.64982e-19, 0, 1.91372e-16, 0, 0, 0
0.0230867, 0, 3.37218e-16, 0, 1.41421, -3.37218e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48113e-18, 0, 0, 4.50423e-20, 0, 2.95786e-19, 0, 3.35396e-16, 0, 0, 0
0.0309803, 0, 5.87066e-16, 0, 1.41421, -5.87066e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57846e-18, 0, 0, 7.98895e-20, 0, 5.27027e-19, 0, 5.83881e-16, 0, 0, 0
0.0388739, 0, 1.01529e-15, 0, 1.41421, -1.01529e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45917e-18, 0, 0, 1.40779e-19, 0, 9.33358e-19, 0, 1.00976e-15, 0, 0, 0
0.0467676, 0, 1.74448e-15, 0, 1.41421, -1.74448e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.66154e-18, 0, 0, 2.46498e-19, 0, 1.64314e-18, 0, 1.73493e-15, 0, 0, 0
0.0546612, 0, 2.97812e-15, 0, 1.41421, -2.97812e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30792e-17, 0, 0, 4.28898e-19, 0, 2.87576e-18, 0, 2.96174e-15, 0, 0, 0
0.0625548, 0, 5.05194e-15, 0, 1.41421, -5.05194e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21863e-17, 0, 0, 7.41651e-19, 0, 5.0042e-18, 0, 5.02401e-15, 0, 0, 0
0.0704485, 0, 8.51613e-15, 0, 1.41421, -8.51613e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73986e-17, 0, 0, 1.27462e-18, 0, 8.65866e-18, 0, 8.4688e-15, 0, 0, 0
