   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_33.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.000499695, 0, 6.73475e-17, 0, 1.41421, -6.73475e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97634e-19, 0, 0, 8.99697e-21, 6.59941e-20, 0, 6.68748e-17, 0, 0, 0
0.00839065, 0, 1.19433e-16, 0, 1.41421, -1.19433e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05142e-19, 0, 0, 1.62542e-20, 1.19558e-19, 0, 1.18592e-16, 0, 0, 0
0.0162816, 0, 2.10348e-16, 0, 1.41421, -2.10348e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24188e-18, 0, 0, 2.91662e-20, 2.15217e-19, 0, 2.08862e-16, 0, 0, 0
0.0241726, 0, 3.67967e-16, 0, 1.41421, -3.67967e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17239e-18, 0, 0, 5.19862e-20, 3.8499e-19, 0, 3.65357e-16, 0, 0, 0
0.0320635, 0, 6.39415e-16, 0, 1.41421, -6.39415e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77486e-18, 0, 0, 9.20539e-20, 6.84473e-19, 0, 6.34863e-16, 0, 0, 0
0.0399545, 0, 1.10382e-15, 0, 1.41421, -1.10382e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51636e-18, 0, 0, 1.61952e-19, 1.20961e-18, 0, 1.09593e-15, 0, 0, 0
0.0478454, 0, 1.89322e-15, 0, 1.41421, -1.89322e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11762e-17, 0, 0, 2.83118e-19, 2.12508e-18, 0, 1.87963e-15, 0, 0, 0
0.0557364, 0, 3.22641e-15, 0, 1.41421, -3.22641e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90458e-17, 0, 0, 4.91838e-19, 3.71175e-18, 0, 3.20316e-15, 0, 0, 0
0.0636273, 0, 5.46376e-15, 0, 1.41421, -5.46376e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2252e-17, 0, 0, 8.49158e-19, 6.44613e-18, 0, 5.42422e-15, 0, 0, 0
0.0715183, 0, 9.1949e-15, 0, 1.41421, -9.1949e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42746e-17, 0, 0, 1.45714e-18, 1.11321e-17, 0, 9.12804e-15, 0, 0, 0
