   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_75.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.00196659, 0, 6.84689e-18, 0, 1.41421, -6.84689e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.57442e-20, 0, 0, 6.98254e-22, 0, 4.38326e-21, 0, 6.79607e-18, 0, 0, 0
0.00984292, 0, 1.28189e-17, 0, 1.41421, -1.28189e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56424e-20, 0, 0, 1.3318e-21, 0, 8.36407e-21, 0, 1.27236e-17, 0, 0, 0
0.0177192, 0, 2.38027e-17, 0, 1.41421, -2.38027e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59021e-19, 0, 0, 2.51935e-21, 0, 1.5834e-20, 0, 2.36253e-17, 0, 0, 0
0.0255956, 0, 4.38424e-17, 0, 1.41421, -4.38424e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92899e-19, 0, 0, 4.72766e-21, 0, 2.97447e-20, 0, 4.3515e-17, 0, 0, 0
0.0334719, 0, 8.01181e-17, 0, 1.41421, -8.01181e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35238e-19, 0, 0, 8.80219e-21, 0, 5.54579e-20, 0, 7.95186e-17, 0, 0, 0
0.0413482, 0, 1.45279e-16, 0, 1.41421, -1.45279e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.70538e-19, 0, 0, 1.62629e-20, 0, 1.02644e-19, 0, 1.4419e-16, 0, 0, 0
0.0492246, 0, 2.61441e-16, 0, 1.41421, -2.61441e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74653e-18, 0, 0, 2.9822e-20, 0, 1.88624e-19, 0, 2.59476e-16, 0, 0, 0
0.0571009, 0, 4.66985e-16, 0, 1.41421, -4.66985e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11959e-18, 0, 0, 5.42843e-20, 0, 3.44215e-19, 0, 4.63467e-16, 0, 0, 0
0.0649772, 0, 8.28024e-16, 0, 1.41421, -8.28024e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53132e-18, 0, 0, 9.80998e-20, 0, 6.2387e-19, 0, 8.21771e-16, 0, 0, 0
0.0728536, 0, 1.45763e-15, 0, 1.41421, -1.45763e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.73697e-18, 0, 0, 1.76026e-19, 0, 1.1232e-18, 0, 1.44659e-15, 0, 0, 0
0.0807299, 0, 2.54777e-15, 0, 1.41421, -2.54777e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70188e-17, 0, 0, 3.13657e-19, 0, 2.009e-18, 0, 2.52843e-15, 0, 0, 0
0.0886062, 0, 4.42208e-15, 0, 1.41421, -4.42208e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95383e-17, 0, 0, 5.55073e-19, 0, 3.57041e-18, 0, 4.38842e-15, 0, 0, 0
0.0964825, 0, 7.62233e-15, 0, 1.41421, -7.62233e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09139e-17, 0, 0, 9.75685e-19, 0, 6.30557e-18, 0, 7.56413e-15, 0, 0, 0
0.104359, 0, 1.30491e-14, 0, 1.41421, -1.30491e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71606e-17, 0, 0, 1.70364e-18, 0, 1.10675e-17, 0, 1.29492e-14, 0, 0, 0
0.112235, 0, 2.21893e-14, 0, 1.41421, -2.21893e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48208e-16, 0, 0, 2.95526e-18, 0, 1.93082e-17, 0, 2.20189e-14, 0, 0, 0
0.120112, 0, 3.74809e-14, 0, 1.41421, -3.74809e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50337e-16, 0, 0, 5.09352e-18, 0, 3.34846e-17, 0, 3.71919e-14, 0, 0, 0
0.127988, 0, 6.28937e-14, 0, 1.41421, -6.28937e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2006e-16, 0, 0, 8.72334e-18, 0, 5.773e-17, 0, 6.24072e-14, 0, 0, 0
0.135864, 0, 1.04849e-13, 0, 1.41421, -1.04849e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00257e-16, 0, 0, 1.48466e-17, 0, 9.89575e-17, 0, 1.04035e-13, 0, 0, 0
0.143741, 0, 1.73664e-13, 0, 1.41421, -1.73664e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15982e-15, 0, 0, 2.51126e-17, 0, 1.68664e-16, 0, 1.7231e-13, 0, 0, 0
