   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_100.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0369255, 200, 0, 0, 14.2127, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0290402, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0211549, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0132696, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00538424, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00250108, 0, 3.92744e-28, 0, 1.41421, -3.92744e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31524e-33, 0, 3.9274e-28, 0, 0, 0
0.0103864, 0, 2.42042e-27, 0, 1.41421, -2.42042e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04313e-32, 0, 2.4204e-27, 0, 0, 0
0.0182717, 0, 1.19335e-26, 0, 1.41421, -1.19335e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00734e-31, 0, 1.19334e-26, 0, 0, 0
0.0261571, 0, 5.13277e-26, 0, 1.41421, -5.13277e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33723e-31, 0, 5.13272e-26, 0, 0, 0
0.0340424, 0, 2.00783e-25, 0, 1.41421, -2.00783e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70089e-30, 0, 2.00782e-25, 0, 0, 0
0.0419277, 0, 7.31238e-25, 0, 1.41421, -7.31238e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21768e-30, 0, 7.31232e-25, 0, 0, 0
0.049813, 0, 2.57267e-24, 0, 1.41421, -2.57267e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2024e-29, 0, 2.57265e-24, 0, 0, 0
0.0576984, 0, 8.55102e-24, 0, 1.41421, -8.55102e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36917e-29, 0, 8.55094e-24, 0, 0, 0
0.0655837, 0, 2.71444e-23, 0, 1.41421, -2.71444e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35491e-28, 0, 2.71442e-23, 0, 0, 0
0.073469, 0, 8.28841e-23, 0, 1.41421, -8.28841e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2392e-28, 0, 8.28833e-23, 0, 0, 0
0.0813543, 0, 2.44665e-22, 0, 1.41421, -2.44665e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15167e-27, 0, 2.44663e-22, 0, 0, 0
0.0892397, 0, 7.00806e-22, 0, 1.41421, -7.00806e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.20662e-27, 0, 7.008e-22, 0, 0, 0
0.097125, 0, 1.95342e-21, 0, 1.41421, -1.95342e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74258e-26, 0, 1.9534e-21, 0, 0, 0
