   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_102.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0302678, 204, 0, 0, 14.3527, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0223905, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0145132, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00663594, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00124136, 0, 6.253e-21, 0, 1.41421, -6.253e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90605e-23, 0, 0, 8.30922e-26, 1.54239e-25, 0, 6.1937e-21, 0, 0, 0
0.00911866, 0, 1.42483e-20, 0, 1.41421, -1.42483e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34578e-22, 0, 0, 1.92425e-25, 3.5808e-25, 0, 1.41132e-20, 0, 0, 0
0.016996, 0, 3.19894e-20, 0, 1.41421, -3.19894e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02145e-22, 0, 0, 4.3908e-25, 8.18666e-25, 0, 3.1686e-20, 0, 0, 0
0.0248733, 0, 7.08161e-20, 0, 1.41421, -7.08161e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68867e-22, 0, 0, 9.87949e-25, 1.84475e-24, 0, 7.01444e-20, 0, 0, 0
0.0327506, 0, 1.54674e-19, 0, 1.41421, -1.54674e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46092e-21, 0, 0, 2.19339e-24, 4.10009e-24, 0, 1.53207e-19, 0, 0, 0
0.0406279, 0, 3.33513e-19, 0, 1.41421, -3.33513e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15007e-21, 0, 0, 4.80772e-24, 8.9941e-24, 0, 3.30349e-19, 0, 0, 0
0.0485051, 0, 7.10285e-19, 0, 1.41421, -7.10285e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.70873e-21, 0, 0, 1.04095e-23, 1.94841e-23, 0, 7.03547e-19, 0, 0, 0
0.0563824, 0, 1.49477e-18, 0, 1.41421, -1.49477e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41183e-20, 0, 0, 2.22735e-23, 4.17052e-23, 0, 1.48059e-18, 0, 0, 0
0.0642597, 0, 3.10969e-18, 0, 1.41421, -3.10969e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93713e-20, 0, 0, 4.71193e-23, 8.82448e-23, 0, 3.08018e-18, 0, 0, 0
0.072137, 0, 6.39755e-18, 0, 1.41421, -6.39755e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04255e-20, 0, 0, 9.85875e-23, 1.84655e-22, 0, 6.33684e-18, 0, 0, 0
0.0800143, 0, 1.302e-17, 0, 1.41421, -1.302e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22975e-19, 0, 0, 2.04084e-22, 3.82271e-22, 0, 1.28964e-17, 0, 0, 0
0.0878916, 0, 2.62202e-17, 0, 1.41421, -2.62202e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47652e-19, 0, 0, 4.18111e-22, 7.83202e-22, 0, 2.59713e-17, 0, 0, 0
