   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_10.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0294478, 20, 0, 0, 4.69042, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0215399, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.013632, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00572411, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00218377, 0, 1.12945e-18, 0, 1.41421, -1.12945e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02074e-20, 0, 0, 2.27341e-23, 9.9124e-23, 0, 1.11912e-18, 0, 0, 0
0.0100917, 0, 2.2429e-18, 0, 1.41421, -2.2429e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02701e-20, 0, 0, 4.58421e-23, 2.00574e-22, 0, 2.22238e-18, 0, 0, 0
0.0179995, 0, 4.40992e-18, 0, 1.41421, -4.40992e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.98543e-20, 0, 0, 9.15376e-23, 4.01865e-22, 0, 4.36957e-18, 0, 0, 0
0.0259074, 0, 8.58753e-18, 0, 1.41421, -8.58753e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76089e-20, 0, 0, 1.81061e-22, 7.97549e-22, 0, 8.50894e-18, 0, 0, 0
0.0338153, 0, 1.65669e-17, 0, 1.41421, -1.65669e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49722e-19, 0, 0, 3.54866e-22, 1.56837e-21, 0, 1.64153e-17, 0, 0, 0
0.0417232, 0, 3.16712e-17, 0, 1.41421, -3.16712e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86224e-19, 0, 0, 6.89345e-22, 3.05693e-21, 0, 3.13812e-17, 0, 0, 0
