   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_112.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0286446, 224, 0, 0, 15.0333, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0207715, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0128984, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00502529, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00284781, 0, 6.74596e-22, 0, 1.41421, -6.74596e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68802e-24, 0, 0, 2.21592e-26, 0, 9.10958e-26, 0, 6.68795e-22, 0, 0, 0
0.0107209, 0, 1.6412e-21, 0, 1.41421, -1.6412e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38382e-23, 0, 0, 5.48245e-26, 0, 2.26115e-25, 0, 1.62709e-21, 0, 0, 0
0.018594, 0, 3.92086e-21, 0, 1.41421, -3.92086e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30595e-23, 0, 0, 1.33194e-25, 0, 5.506e-25, 0, 3.88712e-21, 0, 0, 0
0.0264671, 0, 9.20848e-21, 0, 1.41421, -9.20848e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76428e-23, 0, 0, 3.18112e-25, 0, 1.317e-24, 0, 9.1292e-21, 0, 0, 0
0.0343402, 0, 2.12815e-20, 0, 1.41421, -2.12815e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79438e-22, 0, 0, 7.47633e-25, 0, 3.09787e-24, 0, 2.10982e-20, 0, 0, 0
0.0422133, 0, 4.84387e-20, 0, 1.41421, -4.84387e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08416e-22, 0, 0, 1.73056e-24, 0, 7.1729e-24, 0, 4.80214e-20, 0, 0, 0
0.0500864, 0, 1.08661e-19, 0, 1.41421, -1.08661e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16188e-22, 0, 0, 3.94819e-24, 0, 1.63623e-23, 0, 1.07725e-19, 0, 0, 0
0.0579595, 0, 2.404e-19, 0, 1.41421, -2.404e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02694e-21, 0, 0, 8.8841e-24, 0, 3.67988e-23, 0, 2.38327e-19, 0, 0, 0
0.0658326, 0, 5.24827e-19, 0, 1.41421, -5.24827e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42509e-21, 0, 0, 1.97281e-23, 0, 8.16488e-23, 0, 5.203e-19, 0, 0, 0
0.0737057, 0, 1.13122e-18, 0, 1.41421, -1.13122e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.53787e-21, 0, 0, 4.32561e-23, 0, 1.78834e-22, 0, 1.12146e-18, 0, 0, 0
0.0815788, 0, 2.40835e-18, 0, 1.41421, -2.40835e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0306e-20, 0, 0, 9.36912e-23, 0, 3.86863e-22, 0, 2.38756e-18, 0, 0, 0
0.0894519, 0, 5.06659e-18, 0, 1.41421, -5.06659e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27187e-20, 0, 0, 2.00552e-22, 0, 8.26952e-22, 0, 5.02285e-18, 0, 0, 0
0.097325, 0, 1.05371e-17, 0, 1.41421, -1.05371e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88427e-20, 0, 0, 4.24491e-22, 0, 1.74777e-21, 0, 1.04461e-17, 0, 0, 0
0.105198, 0, 2.16695e-17, 0, 1.41421, -2.16695e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82704e-19, 0, 0, 8.88578e-22, 0, 3.65303e-21, 0, 2.14823e-17, 0, 0, 0
0.113071, 0, 4.48257e-17, 0, 1.41421, -4.48257e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77942e-19, 0, 0, 1.88028e-21, 0, 7.71556e-21, 0, 4.44382e-17, 0, 0, 0
0.120944, 0, 9.00476e-17, 0, 1.41421, -9.00476e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.59221e-19, 0, 0, 3.84485e-21, 0, 1.57548e-20, 0, 8.92688e-17, 0, 0, 0
0.128817, 0, 1.79054e-16, 0, 1.41421, -1.79054e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50966e-18, 0, 0, 7.78383e-21, 0, 3.18523e-20, 0, 1.77505e-16, 0, 0, 0
0.136691, 0, 3.52497e-16, 0, 1.41421, -3.52497e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97199e-18, 0, 0, 1.56049e-20, 0, 6.3777e-20, 0, 3.49446e-16, 0, 0, 0
0.144564, 0, 6.87174e-16, 0, 1.41421, -6.87174e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.79371e-18, 0, 0, 3.09861e-20, 0, 1.26498e-19, 0, 6.81222e-16, 0, 0, 0
0.152437, 0, 1.32676e-15, 0, 1.41421, -1.32676e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11862e-17, 0, 0, 6.0953e-20, 0, 2.48598e-19, 0, 1.31527e-15, 0, 0, 0
0.16031, 0, 2.53751e-15, 0, 1.41421, -2.53751e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13941e-17, 0, 0, 1.18801e-19, 0, 4.84162e-19, 0, 2.51551e-15, 0, 0, 0
0.168183, 0, 4.80808e-15, 0, 1.41421, -4.80808e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05374e-17, 0, 0, 2.29461e-19, 0, 9.34648e-19, 0, 4.76638e-15, 0, 0, 0
0.176056, 0, 9.02704e-15, 0, 1.41421, -9.02704e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61072e-17, 0, 0, 4.39265e-19, 0, 1.78874e-18, 0, 8.9487e-15, 0, 0, 0
0.183929, 0, 1.67951e-14, 0, 1.41421, -1.67951e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41599e-16, 0, 0, 8.33553e-19, 0, 3.39441e-18, 0, 1.66493e-14, 0, 0, 0
0.191802, 0, 3.09694e-14, 0, 1.41421, -3.09694e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.611e-16, 0, 0, 1.56813e-18, 0, 6.38804e-18, 0, 3.07003e-14, 0, 0, 0
0.199675, 0, 5.66034e-14, 0, 1.41421, -5.66034e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77215e-16, 0, 0, 2.92516e-18, 0, 1.19241e-17, 0, 5.61113e-14, 0, 0, 0
0.207548, 0, 1.02555e-13, 0, 1.41421, -1.02555e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.64617e-16, 0, 0, 5.41105e-18, 0, 2.20802e-17, 0, 1.01662e-13, 0, 0, 0
0.215422, 0, 1.84209e-13, 0, 1.41421, -1.84209e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55302e-15, 0, 0, 9.92741e-18, 0, 4.0566e-17, 0, 1.82605e-13, 0, 0, 0
0.223295, 0, 3.28054e-13, 0, 1.41421, -3.28054e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76572e-15, 0, 0, 1.80662e-17, 0, 7.39541e-17, 0, 3.25196e-13, 0, 0, 0
0.231168, 0, 5.79287e-13, 0, 1.41421, -5.79287e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88378e-15, 0, 0, 3.26161e-17, 0, 1.33802e-16, 0, 5.74237e-13, 0, 0, 0
0.239041, 0, 1.01435e-12, 0, 1.41421, -1.01435e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55165e-15, 0, 0, 5.84237e-17, 0, 2.40281e-16, 0, 1.0055e-12, 0, 0, 0
0.246914, 0, 1.76141e-12, 0, 1.41421, -1.76141e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48499e-14, 0, 0, 1.03849e-16, 0, 4.28376e-16, 0, 1.74603e-12, 0, 0, 0
0.254787, 0, 3.03344e-12, 0, 1.41421, -3.03344e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55741e-14, 0, 0, 1.83206e-16, 0, 7.58269e-16, 0, 3.00692e-12, 0, 0, 0
0.26266, 0, 5.18134e-12, 0, 1.41421, -5.18134e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36832e-14, 0, 0, 3.20831e-16, 0, 1.33285e-15, 0, 5.136e-12, 0, 0, 0
0.270533, 0, 8.7782e-12, 0, 1.41421, -8.7782e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40098e-14, 0, 0, 5.5782e-16, 0, 2.32684e-15, 0, 8.70131e-12, 0, 0, 0
0.278406, 0, 1.4752e-11, 0, 1.41421, -1.4752e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2438e-13, 0, 0, 9.63138e-16, 0, 4.0351e-15, 0, 1.46226e-11, 0, 0, 0
0.286279, 0, 2.45921e-11, 0, 1.41421, -2.45921e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07358e-13, 0, 0, 1.65183e-15, 0, 6.95219e-15, 0, 2.43762e-11, 0, 0, 0
0.294153, 0, 4.06693e-11, 0, 1.41421, -4.06693e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42945e-13, 0, 0, 2.81472e-15, 0, 1.1903e-14, 0, 4.03117e-11, 0, 0, 0
0.302026, 0, 6.67243e-11, 0, 1.41421, -6.67243e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62712e-13, 0, 0, 4.76682e-15, 0, 2.02559e-14, 0, 6.61365e-11, 0, 0, 0
0.309899, 0, 1.08609e-10, 0, 1.41421, -1.08609e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1607e-13, 0, 0, 8.02583e-15, 0, 3.42698e-14, 0, 1.07651e-10, 0, 0, 0
0.317772, 0, 1.75401e-10, 4.41409e-43, 1.41421, -1.75401e-10, 0, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 4.41409e-43, 1.4797e-12, 4.41409e-43, 4.41409e-43, 1.34394e-14, 4.41409e-43, 5.76566e-14, 4.41409e-43, 1.73851e-10, 4.41409e-43, 4.41409e-43, 4.41409e-43
0.325645, 0, 2.81064e-10, 7.57122e-42, 1.41421, -2.81064e-10, 0, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 7.57122e-42, 2.37164e-12, 7.57122e-42, 7.57122e-42, 2.23911e-14, 7.57122e-42, 9.64921e-14, 7.57122e-42, 2.78573e-10, 7.57122e-42, 7.57122e-42, 7.57122e-42
0.333518, 0, 4.4689e-10, 1.07949e-40, 1.41421, -4.4689e-10, 0, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 1.07949e-40, 3.77201e-12, 1.07949e-40, 1.07949e-40, 3.71341e-14, 1.07949e-40, 1.60685e-13, 1.07949e-40, 4.4292e-10, 1.07949e-40, 1.07949e-40, 1.07949e-40
0.341391, 0, 7.05081e-10, 1.36408e-39, 1.41421, -7.05081e-10, 0, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 1.36408e-39, 5.95354e-12, 1.36408e-39, 1.36408e-39, 6.13309e-14, 1.36408e-39, 2.66347e-13, 1.36408e-39, 6.988e-10, 1.36408e-39, 1.36408e-39, 1.36408e-39
0.349264, 0, 1.10392e-09, 1.54359e-38, 1.41421, -1.10392e-09, 0, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 1.54359e-38, 9.32565e-12, 1.54359e-38, 1.54359e-38, 1.00929e-13, 1.54359e-38, 4.39611e-13, 1.54359e-38, 1.09405e-09, 1.54359e-38, 1.54359e-38, 1.54359e-38
0.357137, 0, 1.71522e-09, 1.57868e-37, 1.41421, -1.71522e-09, 0, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.57868e-37, 1.44982e-11, 1.57868e-37, 1.57868e-37, 1.65582e-13, 1.57868e-37, 7.22783e-13, 1.57868e-37, 1.69983e-09, 1.57868e-37, 1.57868e-37, 1.57868e-37
0.36501, 0, 2.64485e-09, 1.4669e-36, 1.41421, -2.64485e-09, 0, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 1.4669e-36, 2.23722e-11, 1.4669e-36, 1.4669e-36, 2.70958e-13, 1.4669e-36, 1.18424e-12, 1.4669e-36, 2.62102e-09, 1.4669e-36, 1.4669e-36, 1.4669e-36
0.372884, 0, 4.04765e-09, 1.24594e-35, 1.41421, -4.04765e-09, 0, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 1.24594e-35, 3.42684e-11, 1.24594e-35, 1.24594e-35, 4.42498e-13, 1.24594e-35, 1.9344e-12, 1.24594e-35, 4.011e-09, 1.24594e-35, 1.24594e-35, 1.24594e-35
0.380757, 0, 6.14818e-09, 9.71459e-35, 1.41421, -6.14818e-09, 0, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 9.71459e-35, 5.21079e-11, 9.71459e-35, 9.71459e-35, 7.21525e-13, 9.71459e-35, 3.15137e-12, 9.71459e-35, 6.0922e-09, 9.71459e-35, 9.71459e-35, 9.71459e-35
