   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0284493, 250, 0, 0, 15.8745, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0205764, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0127036, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00483075, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0030421, 0, 7.86724e-22, 0, 1.41421, -7.86724e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50933e-24, 0, 0, 1.8235e-26, 0, 0, 7.80196e-22, 0, 0, 0
0.0109149, 0, 1.8995e-21, 0, 1.41421, -1.8995e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57164e-23, 0, 0, 4.44298e-26, 0, 0, 1.88374e-21, 0, 0, 0
0.0187878, 0, 4.50842e-21, 0, 1.41421, -4.50842e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73025e-23, 0, 0, 1.0644e-25, 0, 0, 4.47101e-21, 0, 0, 0
0.0266606, 0, 1.05293e-20, 0, 1.41421, -1.05293e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.7119e-23, 0, 0, 2.50973e-25, 0, 0, 1.04419e-20, 0, 0, 0
0.0345335, 0, 2.42175e-20, 0, 1.41421, -2.42175e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00375e-22, 0, 0, 5.82908e-25, 0, 0, 2.40165e-20, 0, 0, 0
0.0424063, 0, 5.4895e-20, 0, 1.41421, -5.4895e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54199e-22, 0, 0, 1.33459e-24, 0, 0, 5.44395e-20, 0, 0, 0
