   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_126.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0302475, 252, 0, 0, 15.9374, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0223724, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0144972, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00662199, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0012532, 0, 6.50438e-22, 0, 1.41421, -6.50438e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24089e-24, 0, 0, 4.81145e-27, 0, 0, 6.48192e-22, 0, 0, 0
0.00912838, 0, 1.58325e-21, 0, 1.41421, -1.58325e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45463e-24, 0, 0, 1.18915e-26, 0, 0, 1.57779e-21, 0, 0, 0
0.0170036, 0, 3.78447e-21, 0, 1.41421, -3.78447e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30382e-23, 0, 0, 2.88621e-26, 0, 0, 3.7714e-21, 0, 0, 0
0.0248787, 0, 8.89316e-21, 0, 1.41421, -8.89316e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06387e-23, 0, 0, 6.8872e-26, 0, 0, 8.86245e-21, 0, 0, 0
0.0327539, 0, 2.05648e-20, 0, 1.41421, -2.05648e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08498e-23, 0, 0, 1.61736e-25, 0, 0, 2.04938e-20, 0, 0, 0
0.0406291, 0, 4.68358e-20, 0, 1.41421, -4.68358e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61359e-22, 0, 0, 3.74105e-25, 0, 0, 4.66741e-20, 0, 0, 0
0.0485043, 0, 1.05132e-19, 0, 1.41421, -1.05132e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62199e-22, 0, 0, 8.52952e-25, 0, 0, 1.04768e-19, 0, 0, 0
0.0563795, 0, 2.3274e-19, 0, 1.41421, -2.3274e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01837e-22, 0, 0, 1.91818e-24, 0, 0, 2.31937e-19, 0, 0, 0
0.0642547, 0, 5.08445e-19, 0, 1.41421, -5.08445e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75169e-21, 0, 0, 4.25735e-24, 0, 0, 5.06689e-19, 0, 0, 0
0.0721299, 0, 1.09665e-18, 0, 1.41421, -1.09665e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77819e-21, 0, 0, 9.33046e-24, 0, 0, 1.09287e-18, 0, 0, 0
0.080005, 0, 2.3364e-18, 0, 1.41421, -2.3364e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04936e-21, 0, 0, 2.02015e-23, 0, 0, 2.32833e-18, 0, 0, 0
0.0878802, 0, 4.91876e-18, 0, 1.41421, -4.91876e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69461e-20, 0, 0, 4.32278e-23, 0, 0, 4.90177e-18, 0, 0, 0
