   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_12.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.030252, 24, 0, 0, 5.09902, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0223464, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0144408, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00653524, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00137034, 0, 1.40892e-19, 0, 1.41421, -1.40892e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44612e-21, 0, 0, 1.50902e-24, 0, 1.39444e-19, 0, 0, 0
0.00927593, 0, 3.08759e-19, 0, 1.41421, -3.08759e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16912e-21, 0, 0, 3.37591e-24, 0, 3.05586e-19, 0, 0, 0
0.0171815, 0, 6.41781e-19, 0, 1.41421, -6.41781e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58728e-21, 0, 0, 7.11656e-24, 0, 6.35187e-19, 0, 0, 0
0.0250871, 0, 1.31917e-18, 0, 1.41421, -1.31917e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35401e-20, 0, 0, 1.48377e-23, 0, 1.30562e-18, 0, 0, 0
0.0329927, 0, 2.6824e-18, 0, 1.41421, -2.6824e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75323e-20, 0, 0, 3.06087e-23, 0, 2.65484e-18, 0, 0, 0
0.0408983, 0, 5.39753e-18, 0, 1.41421, -5.39753e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54005e-20, 0, 0, 6.24957e-23, 0, 5.34207e-18, 0, 0, 0
0.0488039, 0, 1.07509e-17, 0, 1.41421, -1.07509e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10348e-19, 0, 0, 1.26333e-22, 0, 1.06404e-17, 0, 0, 0
0.0567094, 0, 2.12026e-17, 0, 1.41421, -2.12026e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17624e-19, 0, 0, 2.52907e-22, 0, 2.09847e-17, 0, 0, 0
0.064615, 0, 4.14126e-17, 0, 1.41421, -4.14126e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25061e-19, 0, 0, 5.01527e-22, 0, 4.0987e-17, 0, 0, 0
0.0725206, 0, 8.01255e-17, 0, 1.41421, -8.01255e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.22412e-19, 0, 0, 9.85407e-22, 0, 7.93021e-17, 0, 0, 0
0.0804262, 0, 1.53602e-16, 0, 1.41421, -1.53602e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57658e-18, 0, 0, 1.91876e-21, 0, 1.52023e-16, 0, 0, 0
