   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_144.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0285301, 288, 0, 0, 17.0294, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0206588, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0127875, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00491622, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00295507, 0, 9.19825e-23, 0, 1.41421, -9.19825e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02524e-27, 2.5301e-27, 0, 9.19789e-23, 0, 0, 0
0.0108264, 0, 2.39526e-22, 0, 1.41421, -2.39526e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71503e-27, 6.75647e-27, 0, 2.39516e-22, 0, 0, 0
0.0186976, 0, 6.11611e-22, 0, 1.41421, -6.11611e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06182e-27, 1.76863e-26, 0, 6.11586e-22, 0, 0, 0
0.0265689, 0, 1.52716e-21, 0, 1.41421, -1.52716e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79536e-26, 4.51826e-26, 0, 1.52709e-21, 0, 0, 0
0.0344402, 0, 4.01883e-21, 0, 1.41421, -4.01883e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85868e-26, 1.22807e-25, 0, 4.01866e-21, 0, 0, 0
0.0423115, 0, 9.56608e-21, 0, 1.41421, -9.56608e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17608e-25, 2.97913e-25, 0, 9.56566e-21, 0, 0, 0
0.0501828, 0, 2.23927e-20, 0, 1.41421, -2.23927e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79931e-25, 7.10152e-25, 0, 2.23917e-20, 0, 0, 0
0.0580541, 0, 5.15947e-20, 0, 1.41421, -5.15947e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55799e-25, 1.66519e-24, 0, 5.15924e-20, 0, 0, 0
0.0659254, 0, 1.17102e-19, 0, 1.41421, -1.17102e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51335e-24, 3.8443e-24, 0, 1.17097e-19, 0, 0, 0
0.0737967, 0, 2.61986e-19, 0, 1.41421, -2.61986e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44244e-24, 8.74483e-24, 0, 2.61974e-19, 0, 0, 0
