   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_150.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0282786, 300, 0, 0, 17.3781, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0204073, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.012536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00466471, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00320658, 0, 5.55916e-22, 0, 1.41421, -5.55916e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2716e-24, 0, 0, 1.2364e-26, 1.36467e-26, 0, 5.52618e-22, 0, 0, 0
0.0110779, 0, 1.33395e-21, 0, 1.41421, -1.33395e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85037e-24, 0, 0, 2.99479e-26, 3.36387e-26, 0, 1.32604e-21, 0, 0, 0
0.0189492, 0, 3.14676e-21, 0, 1.41421, -3.14676e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85188e-23, 0, 0, 7.13286e-26, 8.14098e-26, 0, 3.12809e-21, 0, 0, 0
0.0268205, 0, 7.30469e-21, 0, 1.41421, -7.30469e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29884e-23, 0, 0, 1.67214e-25, 1.93667e-25, 0, 7.26134e-21, 0, 0, 0
0.0346918, 0, 1.67e-20, 0, 1.41421, -1.67e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.82803e-23, 0, 0, 3.86154e-25, 4.53336e-25, 0, 1.66009e-20, 0, 0, 0
0.0425631, 0, 3.76297e-20, 0, 1.41421, -3.76297e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21452e-22, 0, 0, 8.79118e-25, 1.04509e-24, 0, 3.74063e-20, 0, 0, 0
0.0504343, 0, 8.36227e-20, 0, 1.41421, -8.36227e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92122e-22, 0, 0, 1.97432e-24, 2.37465e-24, 0, 8.31263e-20, 0, 0, 0
0.0583056, 0, 1.83377e-19, 0, 1.41421, -1.83377e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07918e-21, 0, 0, 4.37643e-24, 5.32167e-24, 0, 1.82288e-19, 0, 0, 0
0.0661769, 0, 3.97021e-19, 0, 1.41421, -3.97021e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33647e-21, 0, 0, 9.58034e-24, 1.17698e-23, 0, 3.94663e-19, 0, 0, 0
0.0740482, 0, 8.4904e-19, 0, 1.41421, -8.4904e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99661e-21, 0, 0, 2.07205e-23, 2.57038e-23, 0, 8.43997e-19, 0, 0, 0
0.0819195, 0, 1.79419e-18, 0, 1.41421, -1.79419e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05588e-20, 0, 0, 4.42954e-23, 5.54561e-23, 0, 1.78353e-18, 0, 0, 0
0.0897908, 0, 3.74792e-18, 0, 1.41421, -3.74792e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20565e-20, 0, 0, 9.3631e-23, 1.18253e-22, 0, 3.72565e-18, 0, 0, 0
0.0976621, 0, 7.74175e-18, 0, 1.41421, -7.74175e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55602e-20, 0, 0, 1.95763e-22, 2.49325e-22, 0, 7.69575e-18, 0, 0, 0
0.105533, 0, 1.58178e-17, 0, 1.41421, -1.58178e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30877e-20, 0, 0, 4.04974e-22, 5.19953e-22, 0, 1.57238e-17, 0, 0, 0
0.113405, 0, 3.19763e-17, 0, 1.41421, -3.19763e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8818e-19, 0, 0, 8.29143e-22, 1.07288e-21, 0, 3.17862e-17, 0, 0, 0
0.121276, 0, 6.39727e-17, 0, 1.41421, -6.39727e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76478e-19, 0, 0, 1.68056e-21, 2.19113e-21, 0, 6.35923e-17, 0, 0, 0
0.129147, 0, 1.2669e-16, 0, 1.41421, -1.2669e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.45565e-19, 0, 0, 3.37288e-21, 4.43026e-21, 0, 1.25936e-16, 0, 0, 0
0.137019, 0, 2.50989e-16, 0, 1.41421, -2.50989e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47706e-18, 0, 0, 6.79359e-21, 9.00143e-21, 0, 2.49496e-16, 0, 0, 0
0.14489, 0, 4.86741e-16, 0, 1.41421, -4.86741e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86445e-18, 0, 0, 1.33592e-20, 1.78275e-20, 0, 4.83845e-16, 0, 0, 0
0.152761, 0, 9.3503e-16, 0, 1.41421, -9.3503e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5026e-18, 0, 0, 2.6032e-20, 3.49863e-20, 0, 9.29466e-16, 0, 0, 0
0.160632, 0, 1.77951e-15, 0, 1.41421, -1.77951e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04723e-17, 0, 0, 5.02744e-20, 6.80487e-20, 0, 1.76892e-15, 0, 0, 0
0.168504, 0, 3.35569e-15, 0, 1.41421, -3.35569e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9748e-17, 0, 0, 9.62418e-20, 1.31201e-19, 0, 3.33572e-15, 0, 0, 0
0.176375, 0, 6.27082e-15, 0, 1.41421, -6.27082e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69032e-17, 0, 0, 1.82649e-19, 2.50801e-19, 0, 6.23348e-15, 0, 0, 0
0.184246, 0, 1.16139e-14, 0, 1.41421, -1.16139e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.83465e-17, 0, 0, 3.4369e-19, 4.75409e-19, 0, 1.15447e-14, 0, 0, 0
