   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_154.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0308215, 308, 0, 0, 17.6068, 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.022947, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150724, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00719792, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000676592, 0, 3.96232e-22, 0, 1.41421, -3.96232e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48632e-24, 0, 0, 2.53138e-26, 0, 4.45648e-26, 0, 3.91676e-22, 0, 0, 0
0.00855111, 0, 9.34583e-22, 0, 1.41421, -9.34583e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05817e-23, 0, 0, 6.06089e-26, 0, 1.07301e-25, 0, 9.23833e-22, 0, 0, 0
0.0164256, 0, 2.1669e-21, 0, 1.41421, -2.1669e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45344e-23, 0, 0, 1.42645e-25, 0, 2.53734e-25, 0, 2.14197e-21, 0, 0, 0
0.0243001, 0, 4.94382e-21, 0, 1.41421, -4.94382e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.59757e-23, 0, 0, 3.30359e-25, 0, 5.90002e-25, 0, 4.88693e-21, 0, 0, 0
0.0321747, 0, 1.11092e-20, 0, 1.41421, -1.11092e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25782e-22, 0, 0, 7.53582e-25, 0, 1.35047e-24, 0, 1.09813e-20, 0, 0, 0
0.0400492, 0, 2.46061e-20, 0, 1.41421, -2.46061e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78597e-22, 0, 0, 1.69451e-24, 0, 3.04557e-24, 0, 2.43227e-20, 0, 0, 0
0.0479237, 0, 5.37572e-20, 0, 1.41421, -5.37572e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.08652e-22, 0, 0, 3.75869e-24, 0, 6.77254e-24, 0, 5.3138e-20, 0, 0, 0
0.0557982, 0, 1.15914e-19, 0, 1.41421, -1.15914e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3124e-21, 0, 0, 8.2297e-24, 0, 1.48607e-23, 0, 1.14578e-19, 0, 0, 0
