   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0291744, 328, 0, 0, 18.1659, 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.021303, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0134316, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00556018, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00231122, 0, 3.38086e-23, 0, 1.41421, -3.38086e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40965e-24, 0, 0, 0, 1.93369e-26, 0, 3.23797e-23, 0, 0, 0
0.0101826, 0, 8.61294e-23, 0, 1.41421, -8.61294e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59112e-24, 0, 0, 0, 5.04367e-26, 0, 8.24879e-23, 0, 0, 0
0.018054, 0, 2.14633e-22, 0, 1.41421, -2.14633e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.94886e-24, 0, 0, 0, 1.28459e-25, 0, 2.05555e-22, 0, 0, 0
0.0259254, 0, 5.24124e-22, 0, 1.41421, -5.24124e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.18525e-23, 0, 0, 0, 3.20173e-25, 0, 5.01951e-22, 0, 0, 0
0.0337968, 0, 1.25603e-21, 0, 1.41421, -1.25603e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23677e-23, 0, 0, 0, 7.82286e-25, 0, 1.20288e-21, 0, 0, 0
0.0416682, 0, 2.95758e-21, 0, 1.41421, -2.95758e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23309e-22, 0, 0, 0, 1.87647e-24, 0, 2.8324e-21, 0, 0, 0
0.0495396, 0, 6.85011e-21, 0, 1.41421, -6.85011e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85594e-22, 0, 0, 0, 4.42434e-24, 0, 6.56009e-21, 0, 0, 0
0.057411, 0, 1.56198e-20, 0, 1.41421, -1.56198e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.51213e-22, 0, 0, 0, 1.02646e-23, 0, 1.49584e-20, 0, 0, 0
0.0652824, 0, 3.50929e-20, 0, 1.41421, -3.50929e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46306e-21, 0, 0, 0, 2.34543e-23, 0, 3.36064e-20, 0, 0, 0
0.0731538, 0, 7.77376e-20, 0, 1.41421, -7.77376e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24092e-21, 0, 0, 0, 5.28249e-23, 0, 7.44439e-20, 0, 0, 0
0.0810252, 0, 1.69894e-19, 0, 1.41421, -1.69894e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08289e-21, 0, 0, 0, 1.17353e-22, 0, 1.62694e-19, 0, 0, 0
0.0888966, 0, 3.66521e-19, 0, 1.41421, -3.66521e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52801e-20, 0, 0, 0, 2.57315e-22, 0, 3.50984e-19, 0, 0, 0
0.096768, 0, 7.80921e-19, 0, 1.41421, -7.80921e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25559e-20, 0, 0, 0, 5.57179e-22, 0, 7.47808e-19, 0, 0, 0
0.104639, 0, 1.64396e-18, 0, 1.41421, -1.64396e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.85345e-20, 0, 0, 0, 1.19206e-21, 0, 1.57424e-18, 0, 0, 0
0.112511, 0, 3.42077e-18, 0, 1.41421, -3.42077e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42605e-19, 0, 0, 0, 2.521e-21, 0, 3.27564e-18, 0, 0, 0
0.120382, 0, 7.03809e-18, 0, 1.41421, -7.03809e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93401e-19, 0, 0, 0, 5.27225e-21, 0, 6.73942e-18, 0, 0, 0
0.128254, 0, 1.43226e-17, 0, 1.41421, -1.43226e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97068e-19, 0, 0, 0, 1.09075e-20, 0, 1.37146e-17, 0, 0, 0
0.136125, 0, 2.88369e-17, 0, 1.41421, -2.88369e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20211e-18, 0, 0, 0, 2.23307e-20, 0, 2.76125e-17, 0, 0, 0
0.143996, 0, 5.74576e-17, 0, 1.41421, -5.74576e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39517e-18, 0, 0, 0, 4.52548e-20, 0, 5.50172e-17, 0, 0, 0
0.151868, 0, 1.13322e-16, 0, 1.41421, -1.13322e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72388e-18, 0, 0, 0, 9.08091e-20, 0, 1.08508e-16, 0, 0, 0
0.159739, 0, 2.21281e-16, 0, 1.41421, -2.21281e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.22405e-18, 0, 0, 0, 1.80471e-19, 0, 2.11877e-16, 0, 0, 0
0.167611, 0, 4.27875e-16, 0, 1.41421, -4.27875e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78356e-17, 0, 0, 0, 3.55306e-19, 0, 4.09684e-16, 0, 0, 0
0.175482, 0, 8.19419e-16, 0, 1.41421, -8.19419e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41562e-17, 0, 0, 0, 6.93118e-19, 0, 7.84569e-16, 0, 0, 0
0.183353, 0, 1.55446e-15, 0, 1.41421, -1.55446e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47939e-17, 0, 0, 0, 1.34001e-18, 0, 1.48832e-15, 0, 0, 0
0.191225, 0, 2.92144e-15, 0, 1.41421, -2.92144e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21771e-16, 0, 0, 0, 2.56799e-18, 0, 2.7971e-15, 0, 0, 0
0.199096, 0, 5.44022e-15, 0, 1.41421, -5.44022e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26754e-16, 0, 0, 0, 4.87904e-18, 0, 5.20858e-15, 0, 0, 0
0.206968, 0, 1.00389e-14, 0, 1.41421, -1.00389e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18425e-16, 0, 0, 0, 9.19192e-18, 0, 9.61133e-15, 0, 0, 0
0.214839, 0, 1.83594e-14, 0, 1.41421, -1.83594e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.65208e-16, 0, 0, 0, 1.71744e-17, 0, 1.75771e-14, 0, 0, 0
0.22271, 0, 3.32793e-14, 0, 1.41421, -3.32793e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38703e-15, 0, 0, 0, 3.1829e-17, 0, 3.18605e-14, 0, 0, 0
0.230582, 0, 5.97959e-14, 0, 1.41421, -5.97959e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49214e-15, 0, 0, 0, 5.85192e-17, 0, 5.72453e-14, 0, 0, 0
0.238453, 0, 1.06509e-13, 0, 1.41421, -1.06509e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.43894e-15, 0, 0, 0, 1.06749e-16, 0, 1.01964e-13, 0, 0, 0
0.246325, 0, 1.88086e-13, 0, 1.41421, -1.88086e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83861e-15, 0, 0, 0, 1.93235e-16, 0, 1.80054e-13, 0, 0, 0
0.254196, 0, 3.29314e-13, 0, 1.41421, -3.29314e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37241e-14, 0, 0, 0, 3.47153e-16, 0, 3.15243e-13, 0, 0, 0
0.262067, 0, 5.71713e-13, 0, 1.41421, -5.71713e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38257e-14, 0, 0, 0, 6.1911e-16, 0, 5.47268e-13, 0, 0, 0
0.269939, 0, 9.85186e-13, 0, 1.41421, -9.85186e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10568e-14, 0, 0, 0, 1.09898e-15, 0, 9.4303e-13, 0, 0, 0
0.27781, 0, 1.68163e-12, 0, 1.41421, -1.68163e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00806e-14, 0, 0, 0, 1.93173e-15, 0, 1.60962e-12, 0, 0, 0
0.285682, 0, 2.84672e-12, 0, 1.41421, -2.84672e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18636e-13, 0, 0, 0, 3.37229e-15, 0, 2.72471e-12, 0, 0, 0
0.293553, 0, 4.77949e-12, 0, 1.41421, -4.77949e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99189e-13, 0, 0, 0, 5.84799e-15, 0, 4.57445e-12, 0, 0, 0
0.301424, 0, 7.95907e-12, 0, 1.41421, -7.95907e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31715e-13, 0, 0, 0, 1.00758e-14, 0, 7.61728e-12, 0, 0, 0
0.309296, 0, 1.31465e-11, 0, 1.41421, -1.31465e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4795e-13, 0, 0, 0, 1.72523e-14, 0, 1.25812e-11, 0, 0, 0
0.317167, 0, 2.15397e-11, 1.66755e-43, 1.41421, -2.15397e-11, 0, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 1.66755e-43, 8.97873e-13, 1.66755e-43, 1.66755e-43, 1.66755e-43, 2.93641e-14, 1.66755e-43, 2.06124e-11, 1.66755e-43, 1.66755e-43, 1.66755e-43
0.325039, 0, 3.50086e-11, 2.90489e-42, 1.41421, -3.50086e-11, 0, 2.90489e-42, 2.90489e-42, 2.90489e-42, 2.90489e-42, 2.90489e-42, 2.90489e-42, 2.90489e-42, 2.90489e-42, 2.90489e-42, 2.90489e-42, 1.45952e-12, 2.90489e-42, 2.90489e-42, 2.90489e-42, 4.96946e-14, 2.90489e-42, 3.34994e-11, 2.90489e-42, 2.90489e-42, 2.90489e-42
0.33291, 0, 5.64459e-11, 4.18554e-41, 1.41421, -5.64459e-11, 0, 4.18554e-41, 4.18554e-41, 4.18554e-41, 4.18554e-41, 4.18554e-41, 4.18554e-41, 4.18554e-41, 4.18554e-41, 4.18554e-41, 4.18554e-41, 2.35369e-12, 4.18554e-41, 4.18554e-41, 4.18554e-41, 8.36488e-14, 4.18554e-41, 5.40086e-11, 4.18554e-41, 4.18554e-41, 4.18554e-41
0.340781, 0, 9.02888e-11, 5.34053e-40, 1.41421, -9.02888e-11, 0, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 5.34053e-40, 3.76579e-12, 5.34053e-40, 5.34053e-40, 5.34053e-40, 1.40094e-13, 5.34053e-40, 8.63829e-11, 5.34053e-40, 5.34053e-40, 5.34053e-40
0.348653, 0, 1.43284e-10, 6.09898e-39, 1.41421, -1.43284e-10, 0, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 6.09898e-39, 5.97803e-12, 6.09898e-39, 6.09898e-39, 6.09898e-39, 2.33532e-13, 6.09898e-39, 1.37073e-10, 6.09898e-39, 6.09898e-39, 6.09898e-39
