   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_165.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.027146, 330, 0, 0, 18.2209, 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0192769, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0114078, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00353866, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00433043, 0, 7.39687e-25, 0, 1.41421, -7.39687e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28235e-26, 0, 0, 1.76162e-29, 0, 1.91446e-28, 0, 6.96654e-25, 0, 0, 0
0.0121995, 0, 2.14944e-24, 0, 1.41421, -2.14944e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24439e-25, 0, 0, 5.15508e-29, 0, 5.78963e-28, 0, 2.02437e-24, 0, 0, 0
0.0200686, 0, 6.06028e-24, 0, 1.41421, -6.06028e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50847e-25, 0, 0, 1.46415e-28, 0, 1.69219e-27, 0, 5.7076e-24, 0, 0, 0
0.0279377, 0, 1.66302e-23, 0, 1.41421, -1.66302e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62762e-25, 0, 0, 4.04852e-28, 0, 4.79899e-27, 0, 1.56622e-23, 0, 0, 0
0.0358068, 0, 4.45264e-23, 0, 1.41421, -4.45264e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57772e-24, 0, 0, 1.09254e-27, 0, 1.3246e-26, 0, 4.19344e-23, 0, 0, 0
0.0436759, 0, 1.16554e-22, 0, 1.41421, -1.16554e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74745e-24, 0, 0, 2.88319e-27, 0, 3.56719e-26, 0, 1.09768e-22, 0, 0, 0
0.051545, 0, 2.98773e-22, 0, 1.41421, -2.98773e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72962e-23, 0, 0, 7.45292e-27, 0, 9.39159e-26, 0, 2.81375e-22, 0, 0, 0
0.0594141, 0, 7.51049e-22, 0, 1.41421, -7.51049e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34785e-23, 0, 0, 1.88973e-26, 0, 2.4213e-25, 0, 7.0731e-22, 0, 0, 0
0.0672832, 0, 1.85362e-21, 0, 1.41421, -1.85362e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07306e-22, 0, 0, 4.70556e-26, 0, 6.1217e-25, 0, 1.74566e-21, 0, 0, 0
0.0751523, 0, 4.49617e-21, 0, 1.41421, -4.49617e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60281e-22, 0, 0, 1.15186e-25, 0, 1.51961e-24, 0, 4.23426e-21, 0, 0, 0
0.0830214, 0, 1.07279e-20, 0, 1.41421, -1.07279e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21028e-22, 0, 0, 2.7743e-25, 0, 3.70746e-24, 0, 1.01029e-20, 0, 0, 0
0.0908905, 0, 2.51983e-20, 0, 1.41421, -2.51983e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45869e-21, 0, 0, 6.57969e-25, 0, 8.89805e-24, 0, 2.37301e-20, 0, 0, 0
0.0987596, 0, 5.8305e-20, 0, 1.41421, -5.8305e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37516e-21, 0, 0, 1.53764e-24, 0, 2.10249e-23, 0, 5.49073e-20, 0, 0, 0
0.106629, 0, 1.32977e-19, 0, 1.41421, -1.32977e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69771e-21, 0, 0, 3.5429e-24, 0, 4.89436e-23, 0, 1.25227e-19, 0, 0, 0
0.114498, 0, 2.99096e-19, 0, 1.41421, -2.99096e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73138e-20, 0, 0, 8.05292e-24, 0, 1.12318e-22, 0, 2.81662e-19, 0, 0, 0
0.122367, 0, 6.6377e-19, 0, 1.41421, -6.6377e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84234e-20, 0, 0, 1.80654e-23, 0, 2.54234e-22, 0, 6.25074e-19, 0, 0, 0
