   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0287227, 372, 0, 0, 19.3391, 372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0208518, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0129808, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00510991, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00276102, 0, 1.07941e-23, 0, 1.41421, -1.07941e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91335e-26, 0, 0, 1.75951e-28, 0, 1.06948e-23, 0, 0, 0
0.010632, 0, 3.006e-23, 0, 1.41421, -3.006e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76073e-25, 0, 0, 4.96974e-28, 0, 2.97834e-23, 0, 0, 0
0.0185029, 0, 8.12949e-23, 0, 1.41421, -8.12949e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.46617e-25, 0, 0, 1.36291e-27, 0, 8.05469e-23, 0, 0, 0
0.0263738, 0, 2.14183e-22, 0, 1.41421, -2.14183e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96707e-24, 0, 0, 3.64091e-27, 0, 2.12212e-22, 0, 0, 0
0.0342447, 0, 5.51096e-22, 0, 1.41421, -5.51096e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0613e-24, 0, 0, 9.49874e-27, 0, 5.46025e-22, 0, 0, 0
0.0421157, 0, 1.38757e-21, 0, 1.41421, -1.38757e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27435e-23, 0, 0, 2.42508e-26, 0, 1.3748e-21, 0, 0, 0
0.0499866, 0, 3.4244e-21, 0, 1.41421, -3.4244e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14499e-23, 0, 0, 6.06905e-26, 0, 3.39289e-21, 0, 0, 0
0.0578575, 0, 8.29486e-21, 0, 1.41421, -8.29486e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61804e-23, 0, 0, 1.49094e-25, 0, 8.21853e-21, 0, 0, 0
0.0657285, 0, 1.97439e-20, 0, 1.41421, -1.97439e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81329e-22, 0, 0, 3.59966e-25, 0, 1.95622e-20, 0, 0, 0
0.0735994, 0, 4.62267e-20, 0, 1.41421, -4.62267e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24548e-22, 0, 0, 8.55007e-25, 0, 4.58013e-20, 0, 0, 0
0.0814703, 0, 1.06553e-19, 0, 1.41421, -1.06553e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.78583e-22, 0, 0, 1.99971e-24, 0, 1.05572e-19, 0, 0, 0
0.0893413, 0, 2.41975e-19, 0, 1.41421, -2.41975e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22231e-21, 0, 0, 4.60875e-24, 0, 2.39749e-19, 0, 0, 0
0.0972122, 0, 5.41753e-19, 0, 1.41421, -5.41753e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97548e-21, 0, 0, 1.0474e-23, 0, 5.36768e-19, 0, 0, 0
0.105083, 0, 1.19649e-18, 0, 1.41421, -1.19649e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09886e-20, 0, 0, 2.34863e-23, 0, 1.18548e-18, 0, 0, 0
0.112954, 0, 2.60802e-18, 0, 1.41421, -2.60802e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39521e-20, 0, 0, 5.19892e-23, 0, 2.58401e-18, 0, 0, 0
0.120825, 0, 5.61315e-18, 0, 1.41421, -5.61315e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15513e-20, 0, 0, 1.13661e-22, 0, 5.56149e-18, 0, 0, 0
0.128696, 0, 1.19336e-17, 0, 1.41421, -1.19336e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09598e-19, 0, 0, 2.45519e-22, 0, 1.18237e-17, 0, 0, 0
0.136567, 0, 2.50703e-17, 0, 1.41421, -2.50703e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30247e-19, 0, 0, 5.24203e-22, 0, 2.48396e-17, 0, 0, 0
0.144438, 0, 5.20611e-17, 0, 1.41421, -5.20611e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78131e-19, 0, 0, 1.10662e-21, 0, 5.15819e-17, 0, 0, 0
0.152309, 0, 1.06895e-16, 0, 1.41421, -1.06895e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.81727e-19, 0, 0, 2.31054e-21, 0, 1.05911e-16, 0, 0, 0
0.16018, 0, 2.17073e-16, 0, 1.41421, -2.17073e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9936e-18, 0, 0, 4.77268e-21, 0, 2.15075e-16, 0, 0, 0
0.168051, 0, 4.36074e-16, 0, 1.41421, -4.36074e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00491e-18, 0, 0, 9.75557e-21, 0, 4.3206e-16, 0, 0, 0
0.175922, 0, 8.66789e-16, 0, 1.41421, -8.66789e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.96058e-18, 0, 0, 1.9737e-20, 0, 8.58809e-16, 0, 0, 0
