   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_194.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0299989, 388, 0, 0, 19.7484, 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0221269, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0142549, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00638292, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00148907, 0, 6.18457e-23, 0, 1.41421, -6.18457e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0954e-27, 1.65333e-26, 0, 6.1828e-23, 0, 0, 0
0.00936105, 0, 1.61371e-22, 0, 1.41421, -1.61371e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90043e-27, 4.43054e-26, 0, 1.61323e-22, 0, 0, 0
0.017233, 0, 4.11374e-22, 0, 1.41421, -4.11374e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50367e-27, 1.15762e-25, 0, 4.11251e-22, 0, 0, 0
0.025105, 0, 1.02654e-21, 0, 1.41421, -1.02654e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90036e-26, 2.95587e-25, 0, 1.02622e-21, 0, 0, 0
0.032977, 0, 2.51143e-21, 0, 1.41421, -2.51143e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71885e-26, 7.38992e-25, 0, 2.51064e-21, 0, 0, 0
0.040849, 0, 6.03188e-21, 0, 1.41421, -6.03188e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15043e-25, 1.81186e-24, 0, 6.02995e-21, 0, 0, 0
0.048721, 0, 1.51127e-20, 0, 1.41421, -1.51127e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95302e-25, 4.67951e-24, 0, 1.51077e-20, 0, 0, 0
0.0565929, 0, 3.48999e-20, 0, 1.41421, -3.48999e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.924e-25, 1.10112e-23, 0, 3.48882e-20, 0, 0, 0
0.0644649, 0, 7.9402e-20, 0, 1.41421, -7.9402e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59957e-24, 2.55131e-23, 0, 7.93749e-20, 0, 0, 0
0.0723369, 0, 1.78097e-19, 0, 1.41421, -1.78097e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64339e-24, 5.82546e-23, 0, 1.78035e-19, 0, 0, 0
0.0802089, 0, 3.94052e-19, 0, 1.41421, -3.94052e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.18702e-24, 1.31169e-22, 0, 3.93912e-19, 0, 0, 0
0.0880809, 0, 8.60499e-19, 0, 1.41421, -8.60499e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81592e-23, 2.91423e-22, 0, 8.60189e-19, 0, 0, 0
0.0959529, 0, 1.85544e-18, 0, 1.41421, -1.85544e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97764e-23, 6.39214e-22, 0, 1.85476e-18, 0, 0, 0
0.103825, 0, 3.95206e-18, 0, 1.41421, -3.95206e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.60786e-23, 1.38485e-21, 0, 3.95059e-18, 0, 0, 0
0.111697, 0, 8.31839e-18, 0, 1.41421, -8.31839e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84108e-22, 2.96471e-21, 0, 8.31524e-18, 0, 0, 0
0.119569, 0, 1.73076e-17, 0, 1.41421, -1.73076e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89321e-22, 6.27409e-21, 0, 1.7301e-17, 0, 0, 0
0.127441, 0, 3.56083e-17, 0, 1.41421, -3.56083e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14215e-22, 1.313e-20, 0, 3.55943e-17, 0, 0, 0
0.135313, 0, 7.24602e-17, 0, 1.41421, -7.24602e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68459e-21, 2.71814e-20, 0, 7.24313e-17, 0, 0, 0
0.143185, 0, 1.45879e-16, 0, 1.41421, -1.45879e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44895e-21, 5.56801e-20, 0, 1.4582e-16, 0, 0, 0
0.151057, 0, 2.90622e-16, 0, 1.41421, -2.90622e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.98918e-21, 1.12895e-19, 0, 2.90502e-16, 0, 0, 0
0.158929, 0, 5.73064e-16, 0, 1.41421, -5.73064e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40221e-20, 2.26625e-19, 0, 5.72823e-16, 0, 0, 0
0.166801, 0, 1.11867e-15, 0, 1.41421, -1.11867e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78576e-20, 4.50517e-19, 0, 1.11819e-15, 0, 0, 0
0.174673, 0, 2.16223e-15, 0, 1.41421, -2.16223e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48152e-20, 8.87129e-19, 0, 2.16129e-15, 0, 0, 0
0.182545, 0, 4.13885e-15, 0, 1.41421, -4.13885e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06848e-19, 1.73073e-18, 0, 4.13701e-15, 0, 0, 0
0.190417, 0, 7.84692e-15, 0, 1.41421, -7.84692e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06357e-19, 3.34603e-18, 0, 7.84337e-15, 0, 0, 0
0.198289, 0, 1.47375e-14, 0, 1.41421, -1.47375e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94933e-19, 6.41169e-18, 0, 1.47307e-14, 0, 0, 0
0.206161, 0, 2.7423e-14, 0, 1.41421, -2.7423e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49115e-19, 1.21797e-17, 0, 2.741e-14, 0, 0, 0
0.214033, 0, 5.05616e-14, 0, 1.41421, -5.05616e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40856e-18, 2.29406e-17, 0, 5.05372e-14, 0, 0, 0
0.221905, 0, 9.23828e-14, 0, 1.41421, -9.23828e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62579e-18, 4.28494e-17, 0, 9.23373e-14, 0, 0, 0
0.229777, 0, 1.6729e-13, 0, 1.41421, -1.6729e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85363e-18, 7.93829e-17, 0, 1.67206e-13, 0, 0, 0
0.237649, 0, 3.00263e-13, 0, 1.41421, -3.00263e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.89727e-18, 1.45887e-16, 0, 3.00108e-13, 0, 0, 0
0.245521, 0, 5.34218e-13, 0, 1.41421, -5.34218e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61768e-17, 2.65997e-16, 0, 5.33936e-13, 0, 0, 0
0.253393, 0, 9.42234e-13, 0, 1.41421, -9.42234e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91768e-17, 4.81252e-16, 0, 9.41724e-13, 0, 0, 0
0.261265, 0, 1.6476e-12, 0, 1.41421, -1.6476e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.22108e-17, 8.6416e-16, 0, 1.64669e-12, 0, 0, 0
0.269136, 0, 2.85647e-12, 0, 1.41421, -2.85647e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27118e-17, 1.54027e-15, 0, 2.85484e-12, 0, 0, 0
0.277008, 0, 4.9104e-12, 0, 1.41421, -4.9104e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63396e-16, 2.72552e-15, 0, 4.90751e-12, 0, 0, 0
0.28488, 0, 8.37028e-12, 0, 1.41421, -8.37028e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85868e-16, 4.78878e-15, 0, 8.36521e-12, 0, 0, 0
0.292752, 0, 1.41489e-11, 0, 1.41421, -1.41489e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96602e-16, 8.35614e-15, 0, 1.41401e-11, 0, 0, 0
0.300624, 0, 2.37186e-11, 0, 1.41421, -2.37186e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.56819e-16, 1.44837e-14, 0, 2.37033e-11, 0, 0, 0
0.308496, 0, 3.9433e-11, 0, 1.41421, -3.9433e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46868e-15, 2.49425e-14, 0, 3.94066e-11, 0, 0, 0
0.316368, 0, 6.50213e-11, 0, 1.41421, -6.50213e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50185e-15, 4.26873e-14, 0, 6.49761e-11, 0, 0, 0
