   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_198.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0298082, 396, 0, 0, 19.9499, 396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0219362, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0140643, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00619235, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0016796, 0, 1.43911e-22, 0, 1.41421, -1.43911e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11046e-24, 0, 0, 3.38085e-28, 0, 1.40175e-26, 0, 1.42786e-22, 0, 0, 0
0.00955155, 0, 3.6554e-22, 0, 1.41421, -3.6554e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82061e-24, 0, 0, 8.71268e-28, 0, 3.6433e-26, 0, 3.62682e-22, 0, 0, 0
0.0174235, 0, 9.08458e-22, 0, 1.41421, -9.08458e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0099e-24, 0, 0, 2.19658e-27, 0, 9.2506e-26, 0, 9.01354e-22, 0, 0, 0
0.0252954, 0, 2.21287e-21, 0, 1.41421, -2.21287e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70751e-23, 0, 0, 5.42747e-27, 0, 2.29932e-25, 0, 2.19556e-21, 0, 0, 0
0.0331674, 0, 5.29073e-21, 0, 1.41421, -5.29073e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08245e-23, 0, 0, 1.31629e-26, 0, 5.6043e-25, 0, 5.24933e-21, 0, 0, 0
0.0410393, 0, 1.24311e-20, 0, 1.41421, -1.24311e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59207e-23, 0, 0, 3.13729e-26, 0, 1.34137e-24, 0, 1.23338e-20, 0, 0, 0
0.0489113, 0, 2.87334e-20, 0, 1.41421, -2.87334e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21713e-22, 0, 0, 7.35661e-26, 0, 3.15647e-24, 0, 2.85085e-20, 0, 0, 0
0.0567832, 0, 6.53947e-20, 0, 1.41421, -6.53947e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.04597e-22, 0, 0, 1.69872e-25, 0, 7.3102e-24, 0, 6.48826e-20, 0, 0, 0
0.0646552, 0, 1.46661e-19, 0, 1.41421, -1.46661e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13166e-21, 0, 0, 3.8658e-25, 0, 1.66771e-23, 0, 1.45512e-19, 0, 0, 0
