   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_200.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0284999, 400, 0, 0, 20.0499, 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0206306, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0127613, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.004892, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00297732, 0, 7.34364e-23, 0, 1.41421, -7.34364e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7163e-25, 0, 0, 4.75006e-28, 0, 7.32643e-23, 0, 0, 0
0.0108466, 0, 1.91776e-22, 0, 1.41421, -1.91776e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48203e-25, 0, 0, 1.26066e-27, 0, 1.91326e-22, 0, 0, 0
0.0187159, 0, 4.89289e-22, 0, 1.41421, -4.89289e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14353e-24, 0, 0, 3.26873e-27, 0, 4.88142e-22, 0, 0, 0
0.0265853, 0, 1.22195e-21, 0, 1.41421, -1.22195e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85584e-24, 0, 0, 8.29597e-27, 0, 1.21908e-21, 0, 0, 0
0.0344546, 0, 2.99184e-21, 0, 1.41421, -2.99184e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.9923e-24, 0, 0, 2.06423e-26, 0, 2.98483e-21, 0, 0, 0
0.0423239, 0, 7.19124e-21, 0, 1.41421, -7.19124e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68068e-23, 0, 0, 5.04243e-26, 0, 7.17438e-21, 0, 0, 0
0.0501932, 0, 1.69878e-20, 0, 1.41421, -1.69878e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97024e-23, 0, 0, 1.21062e-25, 0, 1.69479e-20, 0, 0, 0
0.0580625, 0, 4.16167e-20, 0, 1.41421, -4.16167e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.72633e-23, 0, 0, 3.04199e-25, 0, 4.15192e-20, 0, 0, 0
0.0659318, 0, 9.47451e-20, 0, 1.41421, -9.47451e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21431e-22, 0, 0, 7.0393e-25, 0, 9.4523e-20, 0, 0, 0
0.0738012, 0, 2.12648e-19, 0, 1.41421, -2.12648e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96983e-22, 0, 0, 1.60598e-24, 0, 2.12149e-19, 0, 0, 0
0.0816705, 0, 4.70801e-19, 0, 1.41421, -4.70801e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10032e-21, 0, 0, 3.61459e-24, 0, 4.69697e-19, 0, 0, 0
0.0895398, 0, 1.02876e-18, 0, 1.41421, -1.02876e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40433e-21, 0, 0, 8.02999e-24, 0, 1.02634e-18, 0, 0, 0
0.0974091, 0, 2.21967e-18, 0, 1.41421, -2.21967e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18763e-21, 0, 0, 1.76164e-23, 0, 2.21446e-18, 0, 0, 0
0.105278, 0, 4.7309e-18, 0, 1.41421, -4.7309e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10567e-20, 0, 0, 3.81816e-23, 0, 4.7198e-18, 0, 0, 0
0.113148, 0, 9.96409e-18, 0, 1.41421, -9.96409e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32873e-20, 0, 0, 8.17876e-23, 0, 9.94073e-18, 0, 0, 0
