   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_202.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0284351, 404, 0, 0, 20.1494, 404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0205654, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126957, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00482595, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00304375, 0, 1.54786e-24, 0, 1.41421, -1.54786e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13345e-29, 0, 0, 1.54785e-24, 0, 0, 0
0.0109134, 0, 4.69739e-24, 0, 1.41421, -4.69739e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48761e-29, 0, 0, 4.69736e-24, 0, 0, 0
0.0187831, 0, 1.37553e-23, 0, 1.41421, -1.37553e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03558e-28, 0, 0, 1.37552e-23, 0, 0, 0
0.0266528, 0, 3.90397e-23, 0, 1.41421, -3.90397e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98052e-28, 0, 0, 3.90394e-23, 0, 0, 0
0.0345225, 0, 1.07755e-22, 0, 1.41421, -1.07755e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34303e-28, 0, 0, 1.07754e-22, 0, 0, 0
0.0423923, 0, 2.90008e-22, 0, 1.41421, -2.90008e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27738e-27, 0, 0, 2.90006e-22, 0, 0, 0
0.0502619, 0, 7.62707e-22, 0, 1.41421, -7.62707e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07519e-27, 0, 0, 7.62701e-22, 0, 0, 0
0.0581316, 0, 1.96353e-21, 0, 1.41421, -1.96353e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58659e-26, 0, 0, 1.96352e-21, 0, 0, 0
0.0660013, 0, 4.95549e-21, 0, 1.41421, -4.95549e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06244e-26, 0, 0, 4.95545e-21, 0, 0, 0
0.073871, 0, 1.22756e-20, 0, 1.41421, -1.22756e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02111e-25, 0, 0, 1.22755e-20, 0, 0, 0
0.0817407, 0, 2.98786e-20, 0, 1.41421, -2.98786e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52223e-25, 0, 0, 2.98784e-20, 0, 0, 0
